Tweets,Length,Date,Source,Favourites,RTs
"It’s been a difficult few weeks for our country - but you can count on your governments to work together to make sure you have the support you need. And today, @cafreeland and I spoke with premiers about what more needs to be done as we look to the weeks and months ahead.",272,2020-05-01 01:18:28,Twitter for iPhone,6117,660
"Les dernières semaines ont été difficiles, mais vos gouvernements vont travailler ensemble pour vous fournir le soutien dont vous avez besoin. Aujourd’hui, @cafreeland et moi avons discuté avec les premiers ministres des mesures à prendre dans les semaines et les mois à venir.",277,2020-05-01 01:18:21,Twitter for iPhone,341,49
"This morning, I spoke with @NATO Secretary General @JensStoltenberg about yesterday’s helicopter crash. He offered his condolences and assistance in the coming days as we look into how this tragedy occurred.",207,2020-04-30 23:45:29,Twitter for iPhone,1041,137
"Ce matin, j’ai parlé avec le secrétaire général de l’#OTAN @JensStoltenberg de l’écrasement d’hélicoptère. Il a offert ses condoléances et son soutien pour les prochains jours, tandis que l’enquête sur la tragédie aura lieu.",224,2020-04-30 23:45:05,Twitter for iPhone,273,33
"RT @CanadianForces: It is with heavy hearts that we announce that one member of the #CAF was killed on Wed April 29, 2020 and five other me…",140,2020-04-30 23:27:44,Twitter for iPhone,0,1543
"RT @ForcesCanada: Le cœur lourd, nous vous annonçons qu’une membre des #FAC a péri ce mercredi 29 avril 2020, et que 5 militaires sont touj…",140,2020-04-30 23:27:42,Twitter for iPhone,0,88
"RT @DMDND_SMMDN: Our thoughts are with the families, friends and HMCS Fredericton shipmates of our CAF colleagues involved in this terrible…",140,2020-04-30 23:14:53,Twitter for iPhone,0,100
"RT @DMDND_SMMDN: Nos pensées accompagnent les familles, amis &amp; camarades d’équipage du NCSM Fredericton de nos collègues des FAC victimes d…",144,2020-04-30 23:14:50,Twitter for iPhone,0,36
"Our hearts go out to the loved ones of Sub-Lieutenant Abbigail Cowbrough. While the search operation is underway, we’re keeping the families and friends of the other members in our thoughts. And to all our @CanadianForces members, we’re thinking of you during this difficult time.",280,2020-04-30 21:36:33,Twitter for iPhone,830,106
"Four members of the Royal Canadian Air Force and two members of the Royal Canadian Navy were on board the helicopter that crashed off the coast of Greece yesterday. We can confirm the loss of one life, and search efforts for the other five missing members continue.",265,2020-04-30 21:36:32,Twitter for iPhone,2185,329
"Nous sommes de tout cœur avec les proches de la sous-lieutenante Abbigail Cowbrough. Pendant que l’opération de recherche est en cours, nous gardons les familles et les amis des autres membres d’équipage dans nos pensées. Et on pense aussi à tous les membres des @ForcesCanada.",277,2020-04-30 21:36:14,Twitter for iPhone,208,23
"Quatre membres de l’Aviation royale canadienne et deux membres de la Marine royale canadienne étaient à bord d’un hélicoptère qui s’est écrasé au large de la Grèce, hier. Nous confirmons un décès, et les opérations de recherche continuent pour les cinq autres membres.",268,2020-04-30 21:36:13,Twitter for iPhone,333,45
RT @HarjitSajjan: Our @CanadianForces members serve our country with dignity and courage. We are there for the families and loved ones of t…,140,2020-04-30 18:37:20,Twitter for iPhone,0,93
