Tweets,Length,Date,Source,Favourites,RTs,Username
"Keeping the R down is going to be absolutely vital to our recovery, and we can only do it by our collective discipline and working together. https://t.co/DIRkoc4pp3",164,2020-04-30 19:57:17,Twitter Media Studio,6838,1492,BorisJohnson
"Tonight I proudly clapped outside 10 Downing Street for our fantastic NHS and carers. Thank you all for everything you are doing. 

#ThankYouNHS https://t.co/MB0JoJNeGC",168,2020-04-30 19:21:32,Twitter Media Studio,34666,3081,BorisJohnson
"At today’s press conference I was asked about mental health, which is a huge concern at this time. If you or a loved one are struggling, there is help available: https://t.co/tHBIQW32xB",185,2020-04-30 18:32:09,Twitter Web App,3823,729,BorisJohnson
"3/3: But I must ask you to keep going in the way that you have kept going so far, so we can protect our NHS and save lives.",123,2020-04-30 14:28:14,Twitter Web App,9455,788,BorisJohnson
"2/3: So let me say directly also to British business, to the shopkeepers, to the entrepreneurs, to the hospitality sector, to everyone on whom our economy depends: I understand your impatience, I share your anxiety.",215,2020-04-30 14:28:14,Twitter Web App,7404,672,BorisJohnson
"1/3: I know how hard and how stressful it has been to give up even temporarily those ancient and basic freedoms, not seeing friends, not seeing loved ones, working from home, managing the kids, worrying about your job and your firm.",232,2020-04-30 14:28:13,Twitter Web App,13848,1482,BorisJohnson
"Captain Tom - today, on your 100th birthday, allow me to express the admiration and gratitude of a whole nation for your heroic fundraising mission. https://t.co/4sYkyGIQhb",172,2020-04-30 12:59:16,Twitter Web App,12000,1357,BorisJohnson
Happy Birthday Tom and thank you for your warm wishes! https://t.co/xWl76cCQ8U,78,2020-04-30 10:08:40,Twitter Web App,14267,1563,BorisJohnson
"I want to congratulate all the new police recruits who have graduated in the last six months, who are now keeping our streets and communities safe. 

In these challenging times, your professionalism, devotion and personal courage is an inspiration to us all. https://t.co/IoJILT5jlB",282,2020-04-30 09:43:08,Twitter Media Studio,7715,967,BorisJohnson
"RT @10DowningStreet: Thank you to everyone across the country who is following the rules and helping us beat #coronavirus. 

#StayHomeSaveL…",140,2020-04-30 09:12:50,Twitter Web App,0,387,BorisJohnson
I want to wish @captaintommoore a very special 100th Birthday. Thank you on behalf of the whole country. https://t.co/YqJxtHLCav,128,2020-04-30 07:28:58,Twitter Media Studio,34052,4737,BorisJohnson
"We’ve got to keep going.
 
Follow the guidance on social distancing, and stay at home to protect our NHS and save lives. https://t.co/N2gfpmQcDM",144,2020-04-28 13:10:23,Twitter Web App,8935,1353,BorisJohnson
This morning I took part in a minute’s silence to remember those workers who have tragically died in the coronavirus pandemic. The nation will not forget you. https://t.co/6yV5PCINyM,182,2020-04-28 10:43:44,Twitter Web App,42172,4030,BorisJohnson
"If you can keep going in the way that you have kept going so far, and if we can show the same spirit of unity and determination as we have all shown in the past six weeks, then I have absolutely no doubt that we will beat this together. https://t.co/YrS905v0Uz",260,2020-04-27 17:21:28,Twitter Media Studio,18607,2407,BorisJohnson
