Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,in_reply_to_user_id,user_id,isRT,tco,Language,Month,Quarter
"Had a call this morning with @VP and fellow governors to discuss the latest on #COVID19. We appreciate the continued partnership with the Administration as we continue to take action to contain the spread of COVID-19, expand testing and speed up processing of test results.",297,2020-06-29 16:45:28,Twitter Web App,188,23,dougducey,1277644363141529600,,20217019,False,https://t.co/qsf7lfuDIe,en,June,Q2
Staying home and wearing a mask are some of the simplest and most effective ways to contain the spread of #COVID19.,139,2020-06-29 15:55:47,Twitter Web App,151,37,dougducey,1277631862505013250,,20217019,False,https://t.co/UyF3i4Xgtt,en,June,Q2
"Contract tracing helps contain the spread of #COVID19. If you get a call from public health, answer.",124,2020-06-28 18:57:30,Twitter for iPhone,251,68,dougducey,1277315203646943232,,20217019,False,https://t.co/LL0zv4s1SN,en,June,Q2
"On this day in 1950, Staff Sgt. Joe Campos—from Globe, Arizona—made the ultimate sacrifice for the cause of freedom. He was one of the first American servicemembers to die serving in the #KoreanWar.

📷 @azcentral",236,2020-06-28 17:41:07,Twitter for iPhone,325,57,dougducey,1277295980602208256,,20217019,False,https://t.co/yYc1K7uI4M,en,June,Q2
"Mantén distanciamiento físico, lávate las manos y #UsaCubrebocas. 

Hace la diferencia.",111,2020-06-27 19:09:11,Twitter Media Studio,53,14,dougducey,1276955755334135809,,20217019,False,https://t.co/L32kLzLvJ2,en,June,Q2
"REMEMBER:

#COVID19 is widespread.

You are safer at home this weekend.

If you do go out, wear a mask.",127,2020-06-27 16:43:43,Twitter Media Studio,573,161,dougducey,1276919147541061638,,20217019,False,https://t.co/ywvSsXWkya,en,June,Q2
".@uarizona and Arizona have partnered to expand #COVID19 antibody testing throughout the state, including providing 250,000 tests for health care workers and first responders. Details on testing opportunities ⤵️ @UArizonaPres @UAZHealth",261,2020-06-26 22:58:27,Twitter Web App,68,12,dougducey,1276651065945939973,,20217019,False,https://t.co/baiqUIA9iE,en,June,Q2
We’ve been speaking with hospital leaders from across Arizona today. We’re grateful for their continued partnership as we work together to ensure proper aid and care for all who need it. @YumaRegional @HonorHealth @valleywise_az @MayoClinic @BannerHealth,278,2020-06-26 22:49:54,Twitter Web App,125,17,dougducey,1276648914343485441,,20217019,False,https://t.co/Tz9b10lVMm,en,June,Q2
"Some have announced they plan to voluntarily close. For others, investigators are coordinating with local authorities and will be on alert all weekend. For the safety of all, let’s be responsible this weekend. Thank you for your cooperation. 5/5",245,2020-06-26 21:26:34,TweetDeck,147,22,dougducey,1276627940537536512,20217019.0,20217019,False,,en,June,Q2
"We are looking at you, bars. Violate these guidelines and you will be held accountable. We’ve called out the bad actors, and we will continue to take action and work with local authorities to enforce. 4/",203,2020-06-26 21:25:51,TweetDeck,188,31,dougducey,1276627762959151105,20217019.0,20217019,False,,en,June,Q2
