Tweets,Length,Date,Source,Favourites,RTs,Username,id_str
"I hope you are all safe at home with your families or somewhere you feel safe. I am taking this time to work on myself, physically but emotionally too. I think of you all out there and want you to know I am grateful for your support and love. Sending you positivity from afar🙏🏾 https://t.co/V4RTr0WOh4",301,2020-03-29 17:52:32,Twitter Web App,21688,1750,LewisHamilton,1244321560225361923
"To my little brother, you are a club totting, big bald bubble head who can only count to ten when he's barefoot or wearing sandals (cool runnings quote) happy birthday brother. Loved you since the day you was born! Have a very special quarantine day, make the most of it 🙏🏾 https://t.co/8WoD6oFtx6",297,2020-03-28 11:36:32,Twitter for iPhone,19221,888,LewisHamilton,1243864546911100928
It’s great to see @MercedesAMGF1 and other @F1 teams answering the call in these challenging times. Great job guys 🙌🏾 https://t.co/QNXyf8y19t,141,2020-03-27 20:28:37,Twitter for iPhone,10466,906,LewisHamilton,1243636061634473990
https://t.co/0EoEae3JjU,23,2020-03-21 09:23:43,Twitter for iPhone,35320,3696,LewisHamilton,1241294407942516736
"RT @MercedesAMGF1: #OnThisDay in 2013, @LewisHamilton makes his first start for the Team at the #AusGP! ❤️

The rest is history... 🤜🤛 #OTD…",139,2020-03-17 18:33:26,Twitter for iPhone,0,640,LewisHamilton,1239983197062078464
"Coronavirus can make people nervous, but I want to reassure you all to stay calm. Don’t forget that handwashing is the most important thing you can do to protect yourself and others. For official NHS advice visit: https://t.co/zH7Ce2dRAw  #coronavirus #COVID19 @NHSuk https://t.co/Gr1SGRK5FE",291,2020-03-16 19:12:11,Twitter for iPhone,19495,3011,LewisHamilton,1239630559007162370
"Making the best of the situation 🏄🏾‍♂️
Thanks to the guys at @urbnsurf for letting me spend my evenings practicing my surf and to @ripcurl for providing the wetsuits. It was a lot of fun catching waves with you 🤙🏾 
Until next time Melbourne. https://t.co/BQxtp1oqjr",265,2020-03-15 20:17:04,Twitter for iPhone,13266,847,LewisHamilton,1239284499441160194
"Gutted to not be qualifying today. I decided to stick around Melbourne and go indoor rock climbing. It’s a great way for me to keep focused.
I just wanted to say thanks to all of you who have been sending me such positive messages. Hope you are all staying safe. 🙏🏾 https://t.co/aj4CvgF4sV",289,2020-03-14 10:23:10,Twitter for iPhone,17385,965,LewisHamilton,1238772653181321222
#AusGP https://t.co/VKSFooJH7a,30,2020-03-13 00:28:33,Twitter for iPhone,25864,3455,LewisHamilton,1238260626864078848
"Making this last collection was important to me. The focus being gender neutral and inclusivity. It is for everyone, no matter your background, class, religion or colour. So thank you for being a part of it. https://t.co/xUDAi2fpyw",231,2020-03-11 11:48:21,Twitter for iPhone,9605,662,LewisHamilton,1237706927133593601
"Surf vibes in Melbourne 🌊
Thanks to @urbnsurf and to @haydenshapes. Good hanging with you guys 🤙 https://t.co/V61DMH8C3j",120,2020-03-10 21:33:45,Twitter for iPhone,6847,473,LewisHamilton,1237491858672140288
So grateful for the team at @WIRES_NSW for the opportunity 🙏🏾🐨 https://t.co/owZhIOnnGt,86,2020-03-10 12:28:52,Twitter for iPhone,10503,752,LewisHamilton,1237354735901933568
"I had the incredible opportunity to visit NSW, Australia to see the admirable work @WIRES_NSW is doing to care, rehabilitate and preserve the country’s native wildlife following the recent, devastating fires. It was one of those days that really put things into perspective. 🐨 https://t.co/a1wX1QYuQU",300,2020-03-09 22:25:37,Twitter for iPhone,11095,1222,LewisHamilton,1237142522637496322
https://t.co/z8DK7LFw33,23,2020-03-08 09:57:15,Twitter for iPhone,13950,1006,LewisHamilton,1236591803865825280
8 days til the season starts. You guys ready? #teamlh https://t.co/XTGp7qLXNR,77,2020-03-07 17:35:32,Twitter for iPhone,25471,1345,LewisHamilton,1236344746223730691
RT @MercedesAMGF1: New year = New gear! 😍😍😍 Unboxing our 2020 @F1 team kit with @LewisHamilton! 👇 https://t.co/VrBadtdPVL,121,2020-03-07 17:14:48,Twitter for iPhone,0,790,LewisHamilton,1236339531068121088
"So excited to have launched this SS20 collection with @PoliceLifestyle 🔥
We spent a lot of time collaborating on each frame and I’m really happy with how they’ve turned out. See the full collection 👓🕶 #PoliceXLewis 
https://t.co/irW2kW89LM https://t.co/C6cUjaEXib",263,2020-03-06 20:32:07,Twitter for iPhone,4905,348,LewisHamilton,1236026796698673153
"Today, Prince Harry and I opened the Silverstone Experience Centre. Their mission is to inspire the next generation of kids, in engineering, marshals, mechanics. This is something I am really passionate about, helping the next generation. It was an honour to do this today. https://t.co/PMnWNBoEAY",297,2020-03-06 17:07:59,Twitter for iPhone,22191,2080,LewisHamilton,1235975427518234624
Such a pleasure speaking at @WEMovement today. It’s so inspiring seeing such young people come forward to make a positive difference in the world #WEDay https://t.co/hlG0HIw2bT,176,2020-03-04 21:26:25,Twitter for iPhone,3938,312,LewisHamilton,1235315685611446279
@Carlossainz55 😂,16,2020-02-29 19:49:22,Twitter for iPhone,8272,237,LewisHamilton,1233841710142193664
@FCBarcelona @F1 🙌🏾,19,2020-02-29 15:26:50,Twitter for iPhone,1513,61,LewisHamilton,1233775642505891840
"Huge thanks to @FCBarcelona for sending me the team shirt. I’m a massive fan and i’ll be rooting for you guys tomorrow in El Clásico. 
Visca El Barca 💪🏾⚽️ https://t.co/CGHHlXBpBW",178,2020-02-29 15:10:30,Twitter for iPhone,53534,8147,LewisHamilton,1233771531060359169
"On top of the world 🌍
Excited to announce the new #PoliceXLewis SS20 collection with @PoliceLifestyle. #Ad 
Check it out 👉🏾 
https://t.co/irW2kW89LM https://t.co/Wqn4U0gCoe",172,2020-02-29 14:08:40,Twitter for iPhone,3062,277,LewisHamilton,1233755971975028742
