,kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr
0,get,10,we’re,16,we’re,48,we’re,27
1,we’re,10,get,12,help,26,keep,16
2,keep,8,help,10,support,21,help,15
3,people,7,workers,10,need,17,get,12
4,food,7,keep,9,get,16,need,12
5,need,6,need,8,"today,",14,canada,12
6,here:,5,canada,8,sure,13,here:,12
7,sure,5,businesses,7,keep,13,spoke,11
8,make,5,you’re,7,make,12,"today,",11
9,support,5,know,7,canada,11,you’re,11
10,i’m,5,us,6,new,11,covid-19,11
11,help,4,care,6,business,10,support,10
12,update,4,country,6,people,10,we’ll,9
13,working,4,together.,6,emergency,10,emergency,8
14,covid-19,4,support,6,working,10,across,8
15,response,4,watch,6,you’re,9,click,8
16,safe.,4,update,5,country,9,working,7
17,questions,4,sure,5,across,8,we’ve,7
18,organizations,4,we’ve,5,i’m,8,i’m,7
19,tune,4,working,5,announcing,7,workers,7
20,canada,4,loved,5,businesses,7,country,7
21,kids,3,front,5,giving,7,health,7
22,watch,3,line,5,canadians,7,student,6
23,here’s,3,make,4,here:,7,work,6
24,today,3,across,4,access,7,thanks,6
25,everything,3,health,4,right,7,going,6
26,others,3,stay,4,watch,6,know,6
27,apply,3,thanks,4,like,6,also,6
28,business,3,taking,4,million,6,stay,6
29,workers,3,giving,4,one,6,members,5
30,now:,3,we’ll,4,work,6,us,5
31,#stayhome,3,small,4,taking,6,safe,5
32,family,3,emergency,4,click,6,dr.,5
33,canadians,3,it’s,4,covid-19,6,–,5
34,time.,3,one,4,making,5,talked,5
35,catch,3,that’s,4,details,5,right,5
36,tomorrow,2,new,4,we’ve,5,too.,5
37,many,2,everyone,4,together,5,together,5
38,helping,2,"covid-19,",3,also,5,back,5
39,too.,2,#stayhome,3,safe,5,new,5
40,live,2,"ones,",3,health,5,today.,5
41,health,2,wage,3,mourning,5,update,5
42,don’t,2,use,3,want,5,people,5
43,answers,2,"possible,",3,nova,5,rent,5
44,you’re,2,still,3,organizations,5,last,4
45,you’ll,2,"safe,",3,know,5,make,4
46,"today,",2,right,3,response,5,"covid-19,",4
47,experiencing,2,good,3,it’s,5,together.,4
48,in.,2,steps,3,announcement,5,like,4
49,find,2,people,3,can’t,5,details:,4
50,care,2,business,3,time.,5,ready,4
51,giving,2,live,3,live,4,keeping,4
52,true,2,"today,",3,community,4,announcing,4
53,investing,2,even,3,full,4,month,4
54,daily,2,apart,3,thanks,4,that’s,4
55,live:,2,thank,3,stay,4,business,4
56,applications,2,want,3,protect,4,students,4
57,"families,",2,work,3,steps,4,territories,4
58,latest,2,safe.,3,small,4,announced,4
59,buy,2,covid-19.,3,funding,4,wage,4
60,latest:,2,"year,",3,we’ll,4,covid-19.,4
61,shelters,2,time,3,covid-19.,4,tune,4
62,happening,2,difficult,3,many,4,research,4
63,great,2,talk,2,facing,4,well,4
64,covid-19.,2,live:,2,lost,4,helping,4
65,days,2,paying,2,you.,4,fight,4
66,everyone,2,changes,2,apply,4,government,4
67,communities,2,drop,2,today,4,premier,4
68,let’s,2,equipment,2,update,4,provinces,4
69,born,2,i’m,2,investing,4,giving,4
70,entire,2,together,2,benefit,3,watch,4
71,getting,2,day,2,services,3,pandemic,4
72,stay,2,risk,2,now.,3,friends,4
73,difficult,2,month,2,"need,",3,canadians,4
74,spoke,2,now:,2,much,3,fish,4
75,able,2,call,2,need.,3,million,3
76,distribute,2,don’t,2,scotia.,3,go,3
77,going,2,tough,2,care,3,"help,",3
78,minister,2,"now,",2,first,3,economy.,3
79,tough,2,today,2,today’s,3,agreed,3
80,sending,2,protective,2,millions,3,seafood,3
81,team,2,covid-19,2,essential,3,families,3
82,whole,2,below.,2,us,3,helicopter,3
83,taking,2,summer,2,day,3,call,3
84,edt,2,music,2,feeling,3,things,3
85,open,2,weekend,2,everyone,3,message,3
86,government’s,2,apply,2,owners,3,sure,3
87,benefit,2,introduced,2,struggling,3,summary,3
88,delivery,2,legislation,2,able,3,ahead,3
89,really,2,response,2,action,3,work.,3
90,emergency,2,more:,2,indigenous,3,difficult,3
91,want,2,canada.,2,ones,3,taking,3
92,lives,2,announcing,2,tough,3,efforts,3
93,later,2,every,2,loved,3,able,3
94,banks,2,take,2,happy,3,safe.,3
95,see,2,must,2,wishing,3,today,3
96,front,2,loan,2,difficult,3,subsidy,3
97,@cpho_canada,2,need.,2,resources,3,shared,3
98,lot,1,"together,",2,crisis.,3,home,3
99,"advocate,",1,ever.,2,workers,3,loved,3
