;great;people;white_house;fake_news;thank_you;get;even;states;news;thank_you!;conference;president;back;p.m.;new;many;big;media;good;today;job;ventilators;country;total;like;strong;never;complete;coronavirus;small;far;hard;state;time;second;military;way;lamestream;american;got;endorsement!;congressman;open;said;would;border;businesses;crime;press;york;left;china;much;eastern.;money;want;happy;united;spoke;help;testing;done;u.s.;it’s;fighter;us;make;democrats;invisible;say;fake_news!;always;long;failing;don’t;wanted;must;do_nothing_democrats;@nytimes;care;nothing;work;night;hospitals;countries;loves;doesn’t;america;@foxnews;take;getting;working;business;radical;million;governors;tremendous;first;democrat;also
great;0;16;2;6;12;12;2;2;8;4;2;12;4;0;14;14;14;8;4;4;20;12;6;12;8;8;14;12;6;10;6;12;14;2;10;8;2;2;8;2;12;12;8;4;4;8;8;10;0;6;2;0;2;2;4;2;6;4;6;6;2;12;4;2;12;6;6;2;8;6;4;4;2;0;4;0;6;2;0;4;4;4;2;0;0;10;0;2;4;4;0;2;8;2;2;0;6;6;0;0
people;0;0;2;8;10;6;8;6;4;0;0;6;4;0;2;4;2;8;0;2;6;2;2;12;6;12;4;12;4;6;4;4;2;6;10;4;2;6;8;2;8;10;2;2;4;4;2;6;2;0;4;2;2;2;2;4;2;2;4;6;0;2;0;6;4;4;4;2;0;2;2;6;4;0;4;2;0;4;0;0;6;2;4;0;2;2;2;6;2;2;0;4;4;4;0;2;4;6;2;2
white_house;0;0;0;6;2;4;0;0;28;32;42;0;0;34;2;4;0;4;2;26;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;4;2;4;2;0;0;0;0;0;0;0;0;0;20;0;6;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;2;0;0;2;4;6;4;4;8;0;0;0;0;2;2;6;0;0;0;2;0;0;0;0;0;0
fake_news;0;0;0;0;2;6;6;6;4;0;4;10;6;0;10;0;0;14;2;0;0;0;2;0;6;0;0;0;6;0;4;2;2;2;0;0;6;6;4;6;0;0;2;4;0;0;0;0;4;10;0;8;4;0;0;6;0;6;4;0;0;2;0;4;0;0;4;0;0;8;4;2;2;10;6;2;0;0;6;2;2;0;6;0;0;2;6;0;2;0;0;2;0;0;0;2;0;4;4;2
thank_you;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;2;2;0;4;2;4;0;0;2;4;0;0;0;0;2;0;2;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;2;0;0;2;2;0;0;0;0;0;2;0;0;0;0;4;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;2;0;0;0;0;0;0;0
get;0;0;0;0;0;0;2;6;2;0;0;0;4;0;8;2;4;4;0;0;4;4;4;2;4;2;0;2;0;0;0;2;0;4;2;2;6;2;2;0;2;0;0;0;0;2;0;0;2;2;0;0;0;0;2;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;2;2;0;2;0;0;4;0;0;2;2;4;4;0;2;0;2;2;2;2;0;0;2;0;0;8;2;0;2;2
even;0;0;0;0;0;0;0;4;2;0;0;4;0;0;6;2;2;10;0;0;2;4;6;0;2;2;8;0;0;0;4;0;2;4;0;0;4;8;2;6;0;0;2;2;8;2;0;0;0;0;2;2;0;0;0;6;2;2;2;0;0;4;2;8;0;2;4;0;4;6;2;2;0;0;0;0;0;8;0;0;0;0;0;4;2;0;6;2;4;0;0;0;0;2;2;0;0;0;2;0
states;0;0;0;0;0;0;0;0;2;0;0;8;0;0;4;8;2;6;6;2;2;4;4;0;0;0;4;0;0;0;2;0;0;2;0;2;2;2;2;4;0;0;10;2;6;0;0;0;0;2;0;2;0;0;4;0;2;16;0;2;4;0;0;4;0;2;2;2;0;2;0;2;2;0;2;2;2;0;0;2;0;2;0;2;2;0;0;2;0;0;0;2;2;0;0;6;0;2;2;2
news;0;0;0;0;0;0;0;0;0;22;26;2;0;20;2;0;2;4;4;10;2;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;2;2;4;2;0;0;0;2;0;0;0;0;0;0;6;0;0;16;0;4;0;2;0;0;0;4;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;2;4;0;2;0;0;0;2;2;0;0;2;2;0;6;2;0;0;2;0;0
thank_you!;0;0;0;0;0;0;0;0;0;0;34;0;0;32;0;0;0;0;2;22;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;14;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
