Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,in_reply_to_user_id,user_id,isRT,tco,Language,Month,Quarter
"New Mexico's COVID-19 transmission rate is rising again.

The states around us are seeing record numbers of daily new cases.

Your health and safety, and that of your community, is the number one priority.",229,2020-06-26 16:30:27,Twitter Web App,503,117,GovMLG,1276553420959182849,,1070083706822438912,False,https://t.co/LOnFBXntjX,en,June,Q2
"Anyone traveling into New Mexico by car should absolutely self-isolate for 14 days upon arrival.

COVID-19 spread due to travel continues to remain a problem. Do not place yourself or your community at risk. Do not travel unless absolutely essential.",274,2020-06-25 23:35:23,Twitter Web App,687,247,GovMLG,1276297972284747776,,1070083706822438912,False,https://t.co/fU9s49xbwv,en,June,Q2
"It is more important than ever that you wear a face mask, wash your hands, maintain physical distancing do not gather with groups of people.

Reopening does not mean relaxing. We must remain vigilant in our fight against the virus.

#MaskUp #ProtectNM #AllTogetherNM",290,2020-06-25 23:30:08,Twitter Web App,128,40,GovMLG,1276296650307170304,1.0700837068224389e+18,1070083706822438912,False,https://t.co/dmqEzfjGzC,en,June,Q2
"Decisions about further reopenings depend on the spread of the virus.

We will continue to be as safe as we can be as we make those decisions to keep New Mexicans healthy.

Conditions currently warrant a delay for additional analysis.",258,2020-06-25 23:30:08,Twitter Web App,98,27,GovMLG,1276296648830795777,1.0700837068224389e+18,1070083706822438912,False,https://t.co/H3MC5TX8lJ,en,June,Q2
"COVID-19 has not gone anywhere.

All around us, cases are increasing. As of Wednesday, 26 U.S. states are seeing a higher rate of new cases compared to last week.

We are still in the throws of the pandemic.",231,2020-06-25 23:30:07,Twitter Web App,240,79,GovMLG,1276296647383736320,,1070083706822438912,False,https://t.co/LmcAEzd5EN,en,June,Q2
"Today's #COVID19 update:

- 207 new COVID-19 cases, totaling 11,192 cases statewide

- Five additional deaths, bringing the total to 485 deaths statewide

- 135 individuals currently hospitalized with COVID-19 statewide

More info here:",284,2020-06-25 21:46:41,Twitter Web App,90,32,GovMLG,1276270615373025280,,1070083706822438912,False,https://t.co/m8kcN1sApy,en,June,Q2
Starting now! Tune in at,72,2020-06-25 21:01:06,Twitter Web App,38,9,GovMLG,1276259143003672576,,1070083706822438912,False,https://t.co/6Xq03mOSkC,en,June,Q2
"I'll be joined by state officials this afternoon to give an update on New Mexico's #COVID19 efforts and the public health emergency order.

Tune in to  at 3 PM – you don't have to have an account to watch.

#MaskUp #AllTogetherNM",276,2020-06-25 15:10:02,Twitter Web App,129,37,GovMLG,1276170796277235712,,1070083706822438912,False,https://t.co/6Xq03mOSkC,en,June,Q2
"Today's #COVID19 update:

- 156 new COVID-19 cases, totaling 10,990 cases statewide

- Four additional deaths, bringing the total to 480 deaths statewide

- 149 individuals currently hospitalized with COVID-19 statewide

More info here:",284,2020-06-24 23:00:09,Twitter Web App,88,37,GovMLG,1275926715336818689,,1070083706822438912,False,https://t.co/jaIOzQuQry,en,June,Q2
"The safety of New Mexico's students and educators comes first and will remain of the utmost priority as we continue to navigate the COVID-19 pandemic and begin school reentry. Nothing is more important.

See the @NMPED school reentry FAQs here:",268,2020-06-24 16:50:58,Twitter Web App,31,3,GovMLG,1275833807900270592,1.0700837068224389e+18,1070083706822438912,False,https://t.co/c4BX85WAKV,en,June,Q2
"I know that local leaders are hard at work reviewing these guidelines and determining the best way to implement them in their schools. Next week, @NMPED will host an Educator Town Hall to foster discussion with New Mexico teachers, administrators and staff.",257,2020-06-24 16:50:58,Twitter Web App,27,2,GovMLG,1275833806801362944,1.0700837068224389e+18,1070083706822438912,False,,en,June,Q2
"Across New Mexico, the 2020-2021 school year will begin with a hybrid model in which the number of students in the building is limited to allow for maximum social distancing. Students will rotate between in-person &amp; online learning, with rigorous safety steps required of schools.",308,2020-06-24 16:50:57,Twitter Web App,21,2,GovMLG,1275833805283053569,1.0700837068224389e+18,1070083706822438912,False,https://t.co/T200dwx22X,en,June,Q2
"This plan was informed by the hard work of a task force of great stakeholders, including educators, parents, administrators, public health officials, and many others who looked at various options for safely and expeditiously getting students back on track with learning.",270,2020-06-24 16:50:57,Twitter Web App,20,0,GovMLG,1275833804406419456,1.0700837068224389e+18,1070083706822438912,False,,en,June,Q2
"Yesterday @NMPED announced their School Reentry Plan for New Mexico students &amp; educators, beginning with a hybrid model ensuring distancing &amp; safety for students, families &amp; educators.

See the full plan here:",269,2020-06-24 16:50:57,Twitter Web App,100,40,GovMLG,1275833802762248192,,1070083706822438912,False,https://t.co/wfEJMVT1Ip,en,June,Q2
"Today's #COVID19 update:

- 147 new COVID-19 cases, totaling 10,838 cases statewide

- Seven additional deaths, bringing the total to 476 deaths statewide

- 141 individuals currently hospitalized with COVID-19 statewide

More info here:",285,2020-06-23 22:45:09,Twitter Web App,99,30,GovMLG,1275560552190717952,,1070083706822438912,False,https://t.co/h8U0POQFoO,en,June,Q2
"We will do everything we can as a state to beat this virus, get to the other side, and rebuild our economy post-pandemic even stronger than before, with beloved community events like the Balloon Fiesta and so many more. #AllTogetherNM",234,2020-06-23 18:13:25,Twitter Web App,262,22,GovMLG,1275492170078642178,1.0700837068224389e+18,1070083706822438912,False,,en,June,Q2
"I know this was an extremely difficult decision made after extensive consideration. Ultimately, it's the only way to ensure that the large gatherings of people that make up the @balloonfiesta do not endanger public health amid the ongoing pandemic.",272,2020-06-23 18:13:25,Twitter Web App,445,58,GovMLG,1275492168870899712,,1070083706822438912,False,https://t.co/wnzI9FmR58,en,June,Q2
I am absolutely heartbroken and disgusted by this racist attack. I spoke to Mr. Singh this morning and let him know that our community is with him. We will not stand for such hatred in New Mexico.,220,2020-06-23 16:28:49,Twitter Web App,1720,518,GovMLG,1275465844663828480,,1070083706822438912,False,https://t.co/GXafrZcGW7,en,June,Q2
"Senate Bill 8, mandating body cameras and a big step toward ensuring law enforcement accountability, has passed the Legislature. My thanks to the lawmakers who recognize we must keep up this effort and ensure a safe and just New Mexico for all. #nmpol #nmleg",258,2020-06-22 22:27:44,Twitter Web App,861,143,GovMLG,1275193782426693633,,1070083706822438912,False,,en,June,Q2
"Today's #COVID19 update:

- 128 new COVID-19 cases, totaling 10,694 cases statewide

- 139 individuals currently hospitalized with COVID-19 statewide

Some good news: no additional COVID-19 deaths reported in New Mexico today.

More info here:",291,2020-06-22 22:15:09,Twitter Web App,191,44,GovMLG,1275190617279090688,,1070083706822438912,False,https://t.co/mZ9cEKJose,en,June,Q2
"New Mexico can avoid this fate. We don't have to be like these other states. But only you can decide that.

Only you can make the decision to protect our communities and ultimately save lives.

Avoid groups. Get tested if you've been around others. Wear a mask. #ProtectNM",296,2020-06-22 19:55:09,Twitter Web App,977,344,GovMLG,1275155383665872896,,1070083706822438912,False,https://t.co/uoQ8bnrBtj,en,June,Q2
"New Mexico: the pandemic has not let up.

You are still required to wear a mask or face covering in public.

Wearing a mask significantly reduces the spread of COVID-19 – do your part to protect your community &amp; ensure that others are protecting your health.

#MaskUp #ProtectNM",306,2020-06-22 15:30:18,Twitter Web App,957,321,GovMLG,1275088733545459714,,1070083706822438912,False,https://t.co/MjrNJcRTKM,en,June,Q2
"Today's #COVID19 update:

- 136 new COVID-19 cases, totaling 10,565 cases statewide

- Three additional deaths, bringing the total to 469 deaths statewide

- 134 individuals currently hospitalized with COVID-19 statewide

More info here:",285,2020-06-21 22:30:08,Twitter Web App,90,30,GovMLG,1274831998746419200,,1070083706822438912,False,https://t.co/Y2qxNTMs5P,en,June,Q2
"Wishing a very safe and happy Father's Day to the first Manny and to every dad and father figure today!

While we may not be able to hug our dads like we're used to this year, the love and appreciation we have for our fathers and those who fill that role never changes.",293,2020-06-21 18:00:20,Twitter Web App,468,39,GovMLG,1274764102821277696,,1070083706822438912,False,https://t.co/XnfcRE8nQe,en,June,Q2
"Today's #COVID19 update:

- 172 new COVID-19 cases, totaling 10,430 cases statewide

- Two additional deaths, bringing the total to 466 deaths statewide

- 145 individuals currently hospitalized with COVID-19 statewide

More info here:",283,2020-06-20 23:33:52,Twitter Web App,92,35,GovMLG,1274485652176826368,,1070083706822438912,False,https://t.co/beA1PZ1hZf,en,June,Q2
"Join us TODAY for a statewide virtual #Juneteenth celebration!

The New Mexico Office of African American Affairs is proud to join many wonderful partners in sponsoring this event celebrating New Mexico's Black community.

Tune in live at noon –",293,2020-06-20 16:07:00,Twitter for iPhone,95,15,GovMLG,1274373191406739457,,1070083706822438912,False,https://t.co/dMcYHIMvbE,en,June,Q2
"Of course, the Legislature is also ensuring the state’s finances are on steady footing through January and beyond. My appreciation goes out to all the lawmakers who have come together, including by virtual means, to address these urgent issues.",244,2020-06-20 02:31:20,Twitter Web App,117,10,GovMLG,1274167921699196929,1.0700837068224389e+18,1070083706822438912,False,,en,June,Q2
"I'm encouraged by the progress the Legislature is making amid this most unusual special session on the essential business of election accessibility, tax relief, assistance for small businesses &amp; local govts affected by the COVID-19 pandemic, civil rights &amp; public safety reform.",286,2020-06-20 02:31:19,Twitter Web App,286,37,GovMLG,1274167920768061441,,1070083706822438912,False,,en,June,Q2
"Today's #COVID19 update:

- 112 new COVID-19 cases, totaling 10,260 cases statewide

- Eight additional COVID-19 deaths, bringing the total to 464 deaths statewide

- 147 individuals currently hospitalized with COVID-19 statewide

More info here:",294,2020-06-19 23:20:52,Twitter Web App,72,20,GovMLG,1274119993001574400,,1070083706822438912,False,https://t.co/dTurJcGckh,en,June,Q2
"Join us tomorrow for a statewide virtual #Juneteenth celebration!

The New Mexico Office of African American Affairs is proud to join many wonderful partners in sponsoring this event celebrating New Mexico's Black community.

Tune in live at noon –",296,2020-06-19 19:45:15,Twitter Web App,98,31,GovMLG,1274065727448727553,,1070083706822438912,False,https://t.co/dMcYHIMvbE,en,June,Q2
Check out this #Juneteenth playlist from @UNM African American Student Services today!,110,2020-06-19 16:27:12,Twitter Web App,146,32,GovMLG,1274015888937607173,,1070083706822438912,False,https://t.co/l0MIMiSuHk,en,June,Q2
"Too often, this nation has failed to accurately and productively tell the truth of its history – we must take full advantage of the opportunity to re-align the spotlight.

Every state has essential Black history and culture, including New Mexico.",246,2020-06-19 16:05:12,Twitter Web App,126,17,GovMLG,1274010351416176641,1.0700837068224389e+18,1070083706822438912,False,,en,June,Q2
"Today we celebrate #Juneteenth, marking the day that the nation's final enslaved people were told of their freedom – declared nearly two and half years earlier.

Take a moment today to learn about Juneteenth, a celebration of human dignity and freedom.",276,2020-06-19 16:05:12,Twitter Web App,232,38,GovMLG,1274010350317219841,,1070083706822438912,False,https://t.co/rYQaePGzYm,en,June,Q2
"With renewed attention on systemic racism, including but not limited to police brutality, this is a good time for all New Mexicans to pause &amp; reflect &amp; pray for a more just society for all &amp; to contribute to the essential ongoing &amp; urgent work of making that society a reality.",293,2020-06-19 00:02:19,Twitter Web App,139,17,GovMLG,1273768032838381570,1.0700837068224389e+18,1070083706822438912,False,,en,June,Q2
