Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,in_reply_to_user_id,user_id,isRT,tco,Language,Month,Quarter
"Thank you to @ExxonMobil_AK for the generous donation of 9,600 gallons of hand sanitizer to the State of Alaska. @anthctoday and @Alaska_DHSS are already distributing the hand sanitizer across the state.",227,2020-06-29 23:50:43,TweetDeck,82,17,GovDunleavy,1277751379633647618,,1060655470178787328,False,https://t.co/5XMKhMULan,en,June,Q2
"Time is running out to apply for the housing relief program that we funded with CARES Act federal grants. If you qualify, be sure to get your application in by tomorrow night to be eligible for up to $1200 to help with your mortgage or rent payment. Info:",279,2020-06-26 00:32:24,TweetDeck,16,7,GovDunleavy,1276312318561759232,,1060655470178787328,False,https://t.co/fQyU8Ue87I,en,June,Q2
"Today @CommerceGov announced a $300,000 CARES Act grant to the University of Alaska Anchorage. This grant will help boost their capacity to support economic development as we stabilize Alaska’s economy during these unprecedented times.",259,2020-06-23 23:27:53,TweetDeck,14,2,GovDunleavy,1275571309058027521,,1060655470178787328,False,https://t.co/8kXZoTJ9sa,en,June,Q2
"President @realDonaldTrump:

🚀 @SpaceForceDoD The Home Base for the #FinalFrontier belongs in America’s #LastFrontier. 

Read more in the @dcexaminer:",174,2020-06-22 15:53:01,TweetDeck,93,31,GovDunleavy,1275094448917983234,,1060655470178787328,False,https://t.co/k38TpRhUV1,en,June,Q2
"For the first time in years, #Alaska’s seasonally adjusted unemployment rate is below the national average.  (2/2)",137,2020-06-19 21:37:22,Twitter Web App,16,4,GovDunleavy,1274093945874604033,1.0606554701787873e+18,1060655470178787328,False,https://t.co/XQoaPUBVTH,en,June,Q2
"While there is still more work to do as we stabilize &amp; rebuild #Alaska’s economy, today’s jobs report from the Department of Labor showed a 0.9 percentage point drop in the seasonally adjusted unemployment rate in May, the largest single-month decrease in Alaska’s records. (1/2)",283,2020-06-19 21:37:22,Twitter Web App,34,6,GovDunleavy,1274093945031585792,,1060655470178787328,False,,en,June,Q2
Read the full proclamation at:,54,2020-06-19 18:37:04,Twitter Web App,5,2,GovDunleavy,1274048569930964992,1.0606554701787873e+18,1060655470178787328,False,https://t.co/2ktof5NDJy,en,June,Q2
I was honored to sign Alaska’s #JuneteenthDay proclamation and I encourage all Alaskans to reflect on the importance of this day marking the end of slavery and to recommit ourselves to the ongoing work of guaranteeing liberty and equal rights for all Americans.,285,2020-06-19 18:36:48,Twitter Media Studio,27,8,GovDunleavy,1274048501836443648,,1060655470178787328,False,https://t.co/joIM3hIsWx,en,June,Q2
"Alaskans, this summer is your opportunity to get out and travel in your state. @TravelAlaska has put together a list of travel deals exclusive to #Alaska residents. 

Check them out at",208,2020-06-16 22:50:59,TweetDeck,38,13,GovDunleavy,1273025305154695168,,1060655470178787328,False,https://t.co/PSYB9HyVeF,en,June,Q2
"The number of cases are improving today &amp; our testing capacity, as measured by the positivity rate, remains in the top ten nationwide. Thank you to Alaskans who have been social distancing &amp; keeping your interactions limited. 

For the latest info:  (2/2)",286,2020-06-15 23:21:31,Twitter Web App,13,4,GovDunleavy,1272670601719640066,1.0606554701787873e+18,1060655470178787328,False,https://t.co/m4yZumNuEr,en,June,Q2
"We won’t be having a press briefing tonight, but I wanted to give you an update on #Alaska’s COVID-19 data:

New cases: 3 - Total: 664
New deaths: 0 - Total: 12
New hospitalized: 1 - Cumulative: 53
Recovered: 417
Total tests: 74,437
Positivity rate 3 day average: 0.62%
(1/2)",275,2020-06-15 23:21:30,Twitter Web App,29,6,GovDunleavy,1272670600780058624,,1060655470178787328,False,,en,June,Q2
"No #COVID19 update today. We sadly lost another Alaskan to the virus. Pray for their family 

Numbers today:
New cases: 15 - Total: 625
New deaths: 1 - Total: 12
New hospitalized: 2 - Cumulative: 51
Recovered: 403
Total tests: 70,880
COVID info &gt;&gt;   #alaska",286,2020-06-12 23:50:55,TweetDeck,8,4,GovDunleavy,1271590838980640768,,1060655470178787328,False,https://t.co/E4CduAJaHj,en,June,Q2
"No #COVID19 presser/townhall tonight. Stay healthy &amp; safe Alaska!
 
Today's numbers: 
New cases: 17 (Total: 610)
New deaths: 0 (Total: 11)
New hospitalized: 0 (Cumulative: 49)
Total recovered: 397
Total tests: 69,011
 
The latest on COVID-19 in AK is here:",284,2020-06-12 00:31:09,TweetDeck,18,3,GovDunleavy,1271238573363040257,,1060655470178787328,False,https://t.co/E4CduAJaHj,en,June,Q2
"Yesterday I signed an agreement with the Gulkana Village Council &amp; @AhtnaInc to return the village of Gulkana’s traditional cemetery to the people of Gulkana after nearly 80 years.

Read more about the historic agreement here:  

#akgov#Alaska #Gulkana",303,2020-06-11 18:23:50,TweetDeck,20,6,GovDunleavy,1271146139027271680,,1060655470178787328,False,https://t.co/hK6EGDFrac,en,June,Q2
"LIVE: Press briefing on #COVID19 update in #Alaska. 

Watch live here: 

#akgov",102,2020-06-11 01:01:00,TweetDeck,7,2,GovDunleavy,1270883698544697344,,1060655470178787328,False,https://t.co/xWu1nqV5mw,en,June,Q2
"I’ll be holding a press briefing tonight at 5 p.m. to provide an update on the #COVID19 outbreak in Alaska. Watch live on my Facebook page, or at:  

#akgov @Alaska_DHSS",192,2020-06-10 23:00:00,TweetDeck,15,4,GovDunleavy,1270853247738220545,,1060655470178787328,False,https://t.co/jstJfdvEeN,en,June,Q2
"Here are today’s case counts: 
New cases: 11 (Total: 573)
New deaths: 1 (Total: 11)
New hospitalization: 1 (Cumulative: 49)
Total recovered: 389
Total tests: 66,890
For the latest on #COVID19 in #Alaska, visit:  
(2/2)",241,2020-06-10 00:19:54,TweetDeck,12,10,GovDunleavy,1270510968078921728,,1060655470178787328,False,https://t.co/E4CduAJaHj,en,June,Q2
I won’t be holding a press briefing today on #COVID19. Unfortunately yesterday we lost another Alaskan. My sincere condolences to the family. This death was tied to the cluster of cases at the extended care facility in Anchorage. (1/2),235,2020-06-10 00:19:20,TweetDeck,32,8,GovDunleavy,1270510827850788864,,1060655470178787328,False,,en,June,Q2
"Great news Alaskans! Due to strong returns the AK Dept. of Fish &amp; Game is opening the Russian River Sanctuary Area early to fishing for sockeye salmon! Fishing opens June 11 at 12:01AM. Fish on! 

To read the Emergency Order, click here:  
#akgov #Alaska",281,2020-06-09 22:22:40,TweetDeck,35,7,GovDunleavy,1270481464103104513,,1060655470178787328,False,https://t.co/e1FjTzCqwI,en,June,Q2
"I set aside $10M AK received from the #CARESAct to help Alaskans struggling to pay their rent &amp; mortgages due to #COVID19. Today @alaskahousing &amp; I announced that eligible Alaskans can apply for up to $1,200 in housing relief. 

For more info visit: 
#akgov",288,2020-06-08 23:55:33,TweetDeck,35,11,GovDunleavy,1270142453291479041,,1060655470178787328,False,https://t.co/8kobrYVOgi,en,June,Q2
"No #COVID19 presser tonight. We are closely watching case counts &amp; health care system capacity as reopening progresses
 
Today’s numbers: 
New cases: 11 (Total: 524)
New deaths: 0 (Total: 10)
New hospitalization: 0 (Cumulative: 48)
Total recovered: 380
Total tests: 60,990

#akgov",284,2020-06-06 00:00:00,TweetDeck,31,3,GovDunleavy,1269056410433646592,,1060655470178787328,False,,en,June,Q2
