Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,isRT,tco,Language,Month
"It ends with justice, compassion, and empathy that manifests in our lives and on our streets. I pray we all have the strength for that journey, just as I pray for the souls and the families of those who were taken from us.",222,2020-05-29 23:00:42,Twitter Web App,89278,12546,michelleobama,1266504768924594176,False,,en,May
"It’s up to all of us—Black, white, everyone—no matter how well-meaning we think we might be, to do the honest, uncomfortable work of rooting it out. It starts with self-examination and listening to those whose lives are different from our own.",243,2020-05-29 23:00:41,Twitter Web App,143482,27826,michelleobama,1266504767314034688,False,,en,May
"Race and racism is a reality that so many of us grow up learning to just deal with. But if we ever hope to move past it, it can’t just be on people of color to deal with it.",173,2020-05-29 23:00:41,Twitter Web App,74026,12583,michelleobama,1266504765749501952,False,,en,May
"Like so many of you, I’m pained by these recent tragedies. And I’m exhausted by a heartbreak that never seems to stop. Right now it’s George, Breonna, and Ahmaud. Before that it was Eric, Sandra, and Michael. It just goes on, and on, and on.",265,2020-05-29 23:00:40,Twitter Web App,517844,100693,michelleobama,1266504763501432837,False,https://t.co/lFWEtTzVT8,en,May
"Last year, I celebrated 50 years of Sesame Street with Big Bird, Grover, and the whole gang. This year, I am as proud as ever of @SesameWorkshop, especially as they provide new resources for families looking to encourage learning from home.",288,2020-05-27 19:01:46,Twitter for iPhone,23189,2199,michelleobama,1265719863324139520,False,https://t.co/zLs67Rpqgb,en,May
"It's been such a joy spending my Mondays reading with all of you. To round out the series, we'll spend today reading “Oh, the Places You’ll Go!” and “Can I Be Your Dog?”

Join me at 12PM ET—and stay until the end to see two very special surprise guests! 🐾",303,2020-05-25 14:04:09,Twitter Web App,15654,1723,michelleobama,1264920191017930757,False,https://t.co/AD3dj158oj,en,May
"I'm so proud of the #Classof2020 and all you've accomplished this year. Tonight's #MTVPromathon is for you––you deserve a dance break!

Don't forget to register to vote and invite three friends to do the same by texting PROM to 56005 or by going to .",297,2020-05-23 00:04:04,Twitter Media Studio,13048,1805,michelleobama,1263984001485869056,False,https://t.co/KZPeCe1ryV,en,May
"I can't wait to celebrate the #ClassOf2020 today for @WhenWeAllVote and @MTV’s Prom-athon––hope you have your outfits ready! 
 
Join us all day and tune in for the main event tonight at 9pm ET.",241,2020-05-22 18:46:13,Twitter for iPhone,4655,727,michelleobama,1263904011889119233,False,https://t.co/ggVjRpS3CU,en,May
"The ability to vote freely, fairly—and safely—is bigger than any single issue, party, or candidate. I’m so grateful that this bipartisan group of #CivicCities mayors are joining up with @WhenWeAllVote to make voting more accessible. This work couldn’t be more important.",294,2020-05-21 18:30:47,Twitter for iPhone,9960,2093,michelleobama,1263537742912372736,False,https://t.co/w214njQecd,en,May
"Marriage is a choice you make every day. It can be hard work, but when two people commit to seeing that work through, the rewards are as sweet as they come. Congratulations Marlo and Phil! You two show us how it’s done. 💘",245,2020-05-21 16:00:40,Twitter Web App,30974,2499,michelleobama,1263499963230806016,False,https://t.co/9UQ1S0iUcj,en,May
"Looking forward to joining this incredible lineup with @ReachHigher on June 6th. Get ready to celebrate, #ClassOf2020! 🎓👏🏾",146,2020-05-20 18:02:47,Twitter for iPhone,18310,3614,michelleobama,1263168307647197185,False,https://t.co/bKX3XQAawG,en,May
"For today’s read-along with @PBSKids and @PenguinRandom, I’m excited to read “Giraffe Problems,"" followed by “The Bear Ate Your Sandwich.”

I've also recruited some help from @BarackObama! 

Tune in at 12PM ET here:",263,2020-05-18 15:07:03,Twitter Web App,9677,1492,michelleobama,1262399305496829956,False,https://t.co/7jzfnwKMEM,en,May
👏🏾👏🏾👏🏾,30,2020-05-17 01:23:09,Twitter for iPhone,124455,10650,michelleobama,1261829578055659521,False,https://t.co/7IyOI1SZv3,en,May
"It takes courage to share our stories with the world. But in doing so, we open ourselves up to so much grace, healing, and connection. If you’re looking for where to start, share your story with me using #IAmBecoming––I can’t wait to hear from you.",272,2020-05-15 17:00:17,Twitter Media Studio,20762,2776,michelleobama,1261340638114701312,False,https://t.co/siZquqaY9w,en,May
"I'm so proud of these students, who each registered their classmates and community to vote. These are the kind of actions that make all the difference.

To celebrate these young people, join us on May 22 for #MTVPromathon with @MTV &amp; @WhenWeAllVote. RSVP:",307,2020-05-15 15:07:19,Twitter Media Studio,8692,1411,michelleobama,1261312208690085890,False,https://t.co/ggVjRpS3CU,en,May
Barack and I had so much fun reading “The Word Collector” for a family read-a-long through the @chipublib. This book is one of my favorites—it reminds me of what it was like to get lost in the magic of words as a little kid. I hope you enjoy it as much as we did.,287,2020-05-14 15:56:09,Twitter Media Studio,35096,5134,michelleobama,1260962110265266176,False,https://t.co/jYpv8GVZZN,en,May
"It was so much fun to surprise the students at my old high school, @wyhs. I’m so proud of their strength and resilience, as well as those young people around the country, who have worked so hard during this uniquely challenging school year.",264,2020-05-12 20:14:38,Twitter for iPhone,8529,875,michelleobama,1260302386607919105,False,https://t.co/nwDhwn1tTo,en,May
"This Princeton alum is so proud of you, Nick! Congratulations on becoming valedictorian—and making history. I have a feeling this is just the beginning for you, and I cannot wait to see everything you continue to achieve.",245,2020-05-11 21:45:36,Twitter for iPhone,30610,2935,michelleobama,1259962889118646273,False,https://t.co/b9IVCg05SP,en,May
I'm excited to announce that we’ll be extending the series for two more weeks with a few special guests dropping by. Join me next week at 12PM ET for another read along!,169,2020-05-11 15:21:15,Twitter for iPhone,6102,478,michelleobama,1259866164160839680,False,,en,May
"Today, I’ll be reading one of my favorites “The Very Hungry Caterpillar” by Eric Carle. Tune in at 12pm ET here:",160,2020-05-11 15:20:25,Twitter for iPhone,15641,1793,michelleobama,1259865955779436545,False,https://t.co/yHaK8h28bp,en,May
"This #MothersDay, I'm sending my love to the Circle of Mothers, a group that no mother should ever––ever––have to join. Today, we grieve for their unthinkable losses, and we pledge to remember the names of their children. May their stories fuel our work for change.",265,2020-05-10 17:39:22,Twitter for iPhone,80659,8345,michelleobama,1259538535570444290,False,,en,May
