Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,isRT,tco,Language,Month
🌼💛,26,2020-05-18 17:42:24,Twitter for iPhone,13036,1574,katyperry,1262438402026135552,False,https://t.co/ZKusBNsBKd,en,May
"I told @CoJustsam to sing to where she wanted to go, and looks like she sang it into existence! Congratulations on being this season’s #AmericanIdol and a HUGE virtual hug and thank you to the entire AI crew for getting us through this crazy season 🙃🌟",275,2020-05-18 05:02:06,Twitter for iPhone,10724,1102,katyperry,1262247065859444736,False,https://t.co/vcLifGLSSS,en,May
ICYMI 👀: My first TV performance of #Daisies🌼 on the #AmericanIdol finale is now on YouTube! Hope it transported you out of your living room as much as it transported me into this one 🤗 Watch it at,245,2020-05-18 02:07:59,Twitter for iPhone,26636,5152,katyperry,1262203246090702848,False,https://t.co/brLed7cNKm,en,May
"and don’t forget to VOTE! Voting for all time zones will begin near the start of #AmericanIdol, and ends after the second round of performances 🎤⤵️",171,2020-05-18 00:06:56,Twitter for iPhone,3684,363,katyperry,1262172785696112640,False,https://t.co/CYhqp8PFaL,en,May
"Start on the #AmericanIdol stage, end up in a whole new 🌎, thanks to brand new technology that’s never been seen before on TV 🤯❗️Tune in NOW for the grand finale AND my first television performance of #Daisies! 🌼",236,2020-05-18 00:06:04,Twitter for iPhone,47661,7386,katyperry,1262172567659372544,False,https://t.co/XgIUvqj7Uw,en,May
"Tune in TONIGHT for the #AmericanIdol grand finale AND my first television performance of #Daisies! 🌼 It all starts at 8/7c on @abcnetwork, and I’ll see you at 4pm PT / 7pm ET on Facebook Live to talk about everything!",242,2020-05-17 21:15:46,Twitter for iPhone,20374,2347,katyperry,1262129709137063937,False,https://t.co/dzoVQWkjA6,en,May
sometimes self care is an everything bagel,42,2020-05-16 23:33:35,Twitter for iPhone,99456,17660,katyperry,1261802002926800897,False,,en,May
"Took those sticks and stones, showed ‘em I could build a house 🌼 
#Daisies is out now, watch the full video at",158,2020-05-16 20:39:58,Twitter for iPhone,19018,3477,katyperry,1261758313735176193,False,https://t.co/Tiil6MBijD,en,May
💐,25,2020-05-16 18:52:30,Twitter for iPhone,24491,2472,katyperry,1261731265247457282,False,https://t.co/y0X5MWF1kB,en,May
💛,25,2020-05-16 18:49:16,Twitter for iPhone,28134,2535,katyperry,1261730454664654848,False,https://t.co/KldENoFFfi,en,May
🌼,25,2020-05-16 18:43:30,Twitter for iPhone,10165,1309,katyperry,1261729001061486592,False,https://t.co/rF4xd0PbC4,en,May
🌼 + 🎸= 🤷🏼‍♀️ @houseparty tonight at 7:30p ET #HousepartyHost,109,2020-05-15 23:01:23,Twitter for iPhone,20994,3282,katyperry,1261431514195095553,False,https://t.co/xtbwEWIzSD,en,May
". @AppleMusic 
#NewMusicDaily
#Daisies",86,2020-05-15 20:43:16,Twitter for iPhone,11599,2269,katyperry,1261396752474632192,False,https://t.co/TnTHX9IFJ6,en,May
"Cover yourself in #Daisies...merch! 😜 Get your 🌼-themed bundles 🎶 at . 100% of my proceeds from the face mask sales will go to one of my favorite Santa Barbara based charities, @DirectRelief to support their national Covid-19 efforts",280,2020-05-15 19:06:22,Twitter for iPhone,14812,2633,katyperry,1261372369148342272,False,https://t.co/PNC1XWsKmS,en,May
"I wrote this song a couple months ago as a call to remain true to the course you’ve set for yourself, regardless of what others may think. Recently, it has taken a new meaning for me, in light of what the whole world is experiencing. #Daisies 💛🌼",245,2020-05-15 04:07:50,Twitter for iPhone,25992,5965,katyperry,1261146243419406338,False,,en,May
"Each of us is one in more than seven billion, with our own story of strength and resilience to tell.
🌼DAISIES🌼 is out now. I hope it will be the soundtrack to going for your dreams now... especially the ones we left behind 💛",272,2020-05-15 04:06:50,Twitter for iPhone,69614,16623,katyperry,1261145993002680322,False,https://t.co/ySw2E8TY9Z,en,May
🌼 so soooooooooon #DaisiesTonight,33,2020-05-15 03:16:12,Twitter for iPhone,46576,6639,katyperry,1261133252418387974,False,,en,May
12 hours until #DAISIES 🌼 is out! The music video premiere page is now LIVE at . Hope it’s ok if I zoom bomb your party tonight 😬💁🏼‍♀️🎉,182,2020-05-14 16:08:29,Twitter for iPhone,56684,8410,katyperry,1260965214557630464,False,https://t.co/Tiil6MBijD,en,May
"IN 24 HOURS, I want to be crashing your #Daisies Zoom watch parties 🌼🎉 Download some backgrounds and send me your party info at  and I’ll try to buzz through 🐝 ♥️",209,2020-05-14 04:04:48,Twitter for iPhone,32736,4931,katyperry,1260783092479868928,False,https://t.co/ah3nEkoQZj,en,May
"jtfirstman is the only person that has been making me consistently laugh during quarantina follow him for whiter teeth, stronger nail beds, good grades and to end Covid. @ Live, Love, Laugh, Believe",222,2020-05-13 19:54:21,Instagram,8713,929,katyperry,1260659667908222976,False,https://t.co/CEixqU6KJk,en,May
Join me for a live Q&amp;A and performance with @AmazonMusic this Friday! I’ll be performing 🌼Daisies🌼 for the very first time! Drop your questions here and tune in on #AmazonLive Friday at 10:00a PT on,250,2020-05-13 14:08:55,Twitter for iPhone,26466,4160,katyperry,1260572735799021568,False,https://t.co/WAiufPadAy,en,May
"When did we all stop believing in MAGIC? 

#DAISIES 🎥: 3 days away 
Pre-save at  🌼",129,2020-05-12 20:47:59,Twitter for iPhone,28542,5822,katyperry,1260310776193052672,False,https://t.co/lI71mjIm0J,en,May
sometimes i don’t know what’s worse trying to avoid the virus or the waves of depression that come with this new norm,117,2020-05-12 19:40:05,Twitter for iPhone,110999,19079,katyperry,1260293690766942208,False,,en,May
"I’ll never let ‘em change me til they cover me in... #daisies🌼

FRIDAY @ Daisies",104,2020-05-11 23:18:48,Instagram,16187,2002,katyperry,1259986342441676800,False,https://t.co/ZURcU85ylE,en,May
when your unborn daughter gives you a middle finger from the womb you know you’re in for it #happymothersdaytome😳 @ Middle Finger Up,156,2020-05-11 08:31:02,Instagram,16962,1648,katyperry,1259762931111063552,False,https://t.co/gVGGOIcRYm,en,May
it helped me get my smile back 🌼,56,2020-05-11 07:05:36,Twitter for iPhone,12788,1303,katyperry,1259741428831272964,False,https://t.co/RNFX5hfoTI,en,May
🥺♥️ilysm #DisneySingalong,49,2020-05-11 07:00:05,Twitter for iPhone,9082,1199,katyperry,1259740041196101632,False,https://t.co/jpExleFzCi,en,May
honestly we both look dumb...o 🙃😜 #AmericanIdol,71,2020-05-11 06:54:39,Twitter for iPhone,9450,908,katyperry,1259738675400732673,False,https://t.co/dOkbKbEBoh,en,May
"2 sets of performances = 2 lewks tonight 💁🏼‍♀️ West coast, have your favorites made the top 7? Then vote for who you want in your #AmericanIdol 🌟 GRAND FINALE 🌟 next week! (❗️PS: 4th slide spoiler for tonight’s…",235,2020-05-11 03:52:03,Instagram,6141,702,katyperry,1259692720588820480,False,https://t.co/LceHFzs24S,en,May
Then don’t forget to tune in to @abcnetwork at 7p/6p Central for an ele-phantastic #DisneySingalong and roll straight into the #AmericanIdol Top 7 reveal singing their favorite Disney songs and mom tributes 😩,208,2020-05-10 21:09:30,Twitter for iPhone,4165,458,katyperry,1259591416721727489,False,,en,May
"I SEE NO DIFFERENCE! 🐘 
Have you HERD? It’s the best night of the year - Disney Night/Mother’s Day, and we’ve got a whole trunkful of ❤️👶🏼 for you! I’ll be on Facebook Live at 6:30p ET (3:30p pacific) to answer all of your questions about #AmericanIdol",276,2020-05-10 21:09:03,Twitter for iPhone,31920,3896,katyperry,1259591301655220224,False,https://t.co/Dyje8izGX7,en,May
Have you sent your #KatysDaisies flowers yet?! Which is your favorite bouquet? Don’t forget momma! 🌼,147,2020-05-09 19:21:28,Twitter for iPhone,14514,2431,katyperry,1259201839720837121,False,https://t.co/bEiUNflbAW,en,May
Select a bouquet you wish to share and write your personal message to go along with it. We're sure you'll be able to find the right bloom for just about anyone - even for Mom this Mother’s Day!  🌼🌺🌸🌻🌹🌷💐,249,2020-05-08 16:31:27,Twitter for iPhone,6700,1485,katyperry,1258796667869917187,False,https://t.co/bEiUNflbAW,en,May
"At #KatysDaisies, our goal is to provide the best virtual flower delivery service that can help you tell someone you care, you love them, you miss them, or simply thank them for believing in you.",219,2020-05-08 16:31:09,Twitter for iPhone,18665,3924,katyperry,1258796593366499329,False,https://t.co/AAn4SPwHXs,en,May
"🌼 The first single from #KP5 is called #DAISIES and she’s coming MAY 15, 2020 🌼

THE MUSIC MUST GO ON",149,2020-05-07 16:02:17,Twitter for iPhone,88604,22949,katyperry,1258426939934560256,False,https://t.co/lI71mjIm0J,en,May
Reminding myself that we are called human beings not human doings,89,2020-05-07 07:22:37,Instagram,12113,1227,katyperry,1258296159698710528,False,https://t.co/ANTB0FdQiL,en,May
the world’s starting to feel like one big game of mafia for the truth,69,2020-05-06 21:41:04,Twitter for iPhone,33631,4083,katyperry,1258149807979257856,False,,en,May
i think eventually my tipping point will be one last zoom link,62,2020-05-06 02:00:38,Twitter for iPhone,28677,2352,katyperry,1257852744519438337,False,,en,May
"Sticks and stones may break your bones, but Daisies are the friendliest flower 🌼🤗 don’t forget 10% of every purchase will be donated to @baby2baby to assist their efforts in providing essential items to children and families impacted by COVID-19  #ShoesdayTuesday @kpcollections",302,2020-05-05 23:02:58,Twitter for iPhone,7320,802,katyperry,1257808031212957696,False,https://t.co/BRyYkIrBf5,en,May
Happy CYN-co De Mayo! Grab your 🍸 (or apple juice for me 😩) and join @cynthialovely and me on IG Live at 5pm PT for a little happy hour hang over some DRINKS and we’ll talk music and mentorship 👯☺️,221,2020-05-05 19:02:10,Twitter for iPhone,7556,774,katyperry,1257747431254396928,False,https://t.co/7AjYGUi7Cw,en,May
"what would have been... #TheMetBall2020💔 @ The Metropolitan Museum of Art, New York",107,2020-05-05 05:20:17,Instagram,9420,934,katyperry,1257540600905314305,False,https://t.co/z7u3NwYTpI,en,May
"WIPE (I mean SWIPE😬) over to see how you can vote for your fav #americanidol top 10 FYI 🚨spoiler alert🚨West coast, if you’re looking for that extra roll, tune in to @AmericanIdol now on @abcnetwork to see my big dumb…",241,2020-05-04 03:04:14,Instagram,4646,471,katyperry,1257143972159524864,False,https://t.co/rRtmYfHgkb,en,May
but do you think we’ll make any sense? 🙃,64,2020-05-03 23:29:25,Twitter for iPhone,10656,918,katyperry,1257089912383238144,False,https://t.co/Z7BlUoQ7UE,en,May
