Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,isRT,tco,Language,Month,Quarter
"Get real, Bernie. The only person who's going to cut Social Security if he's elected is Donald Trump. Maybe you should spend your time attacking him.",173,2020-03-06 01:07:39,Twitter Web App,64823,14447,joebiden,1235733748563533824,False,https://t.co/7rwvXWmUWG,en,March,Q1
"For all the hard-won progress we've made in the fight for LGBTQ+ equality, we're not done — not nearly. That's why I just released my plan to advance LGBTQ+ equality in America and around the world:",246,2020-03-06 01:01:00,Twitter Media Studio,7411,2047,joebiden,1235732075506012160,False,https://t.co/RSlFCrVlrZ,en,March,Q1
"Here's the deal, folks: social security is on the ballot this year, and the choice couldn't be clearer: 

I'll protect and expand it. Donald Trump will cut it and take it away.",200,2020-03-06 00:36:41,Twitter Web App,39621,13858,joebiden,1235725955726893056,False,https://t.co/Nyez4ihOPa,en,March,Q1
"I’m confident that with the help of @PeteButtigieg and his supporters, we will unite this country, we will beat Donald Trump, and we will restore honor and decency to the White House.",207,2020-03-05 23:55:00,Twitter Media Studio,21288,3860,joebiden,1235715465890205696,False,https://t.co/zxEG7Dptzt,en,March,Q1
"Not a joke, folks. We added a bunch of new items to our campaign store that I think you'll like. Head to  to stock up today.",171,2020-03-05 23:05:00,Twitter Media Studio,2034,493,joebiden,1235702883212918784,False,https://t.co/xnkThpmavv,en,March,Q1
We should not tear down Obamacare. Period. We need to protect and build on it with a new public option to ensure every American has access to the care they need.,161,2020-03-05 19:35:00,TweetDeck,37025,6267,joebiden,1235650035251122176,False,,en,March,Q1
And to Bailey: Champ and Major would love to have you over any time.,68,2020-03-05 17:21:24,Twitter Web App,19508,1614,joebiden,1235616413479550982,False,,en,March,Q1
"Senator @EWarren is the fiercest of fighters for middle class families. Her work in Washington, in Massachusetts, and on the campaign trail has made a real difference in people's lives. We needed her voice in this race, and we need her continued work in the Senate.",265,2020-03-05 17:20:00,TweetDeck,87421,10282,joebiden,1235616060906205184,False,,en,March,Q1
"I'm blown away by the grassroots energy we've seen from Pete, Amy, and Beto supporters. Tuesday wouldn't have happened without all of you. It's going to take all of us to beat Donald Trump and I'd love to have you on our team:",274,2020-03-05 13:52:56,Twitter Media Studio,24521,4819,joebiden,1235563953830481920,False,https://t.co/PuJ6qyW8Xz,en,March,Q1
We are building the coalition that will defeat Donald Trump.,60,2020-03-05 01:20:00,TweetDeck,48900,6065,joebiden,1235374469079797762,False,,en,March,Q1
