Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,isRT,tco,Language,Month,Quarter
"If you’re worried you have COVID-19, or you think you’ve been exposed to someone who has the virus, please go get tested.",145,2020-06-26 01:43:19,Twitter for iPhone,291,62,fordnation,1276330168785780738,False,https://t.co/ouY1SThSRs,en,June,Q2
"When we invest in young people today, they build a better tomorrow. 

The Youth Opportunities Fund will help 43 grassroots organizations make real impacts in their communities to remove barriers and help our youth achieve success.",254,2020-06-25 22:24:38,Twitter for iPhone,128,25,fordnation,1276280164876529665,False,https://t.co/QNc2cUgenH,en,June,Q2
It’s our responsibility to support young people and help them find a path to lifelong success. We are funding 43 community organizations through the 2020 Youth Opportunities Fund benefiting youth ages 12-25.,255,2020-06-25 17:37:08,Twitter for iPhone,82,15,fordnation,1276207814545940482,False,https://t.co/SbUjAhCPfY,en,June,Q2
Premier Ford Provides a COVID-19 Update,63,2020-06-25 17:02:56,Twitter Media Studio,89,18,fordnation,1276199208543019008,False,https://t.co/Cnh7KR4JqT,en,June,Q2
"We developed a 3 point plan to help the rest of Windsor-Essex move into Stage 2: 
1️⃣ Expanded testing on farms, starting with the largest including mobile testing units 
2️⃣ Access to employment benefits and supports 
3️⃣ New public health guidance",273,2020-06-25 16:19:58,Twitter for iPhone,76,13,fordnation,1276188395354685441,False,https://t.co/CEi3UQud3L,en,June,Q2
"TreRose Bakery has been a family favourite for years! Like many businesses, they’ve made changes to adapt to #COVID19. @PrabSarkaria, @MichaelFordTO, @CFIB and I stopped by to see their hard work. The best way to support our economy is to support #smallbusinesseveryday",293,2020-06-25 14:41:23,Twitter for iPhone,341,39,fordnation,1276163586910543875,False,https://t.co/RixhjO8ELM,en,June,Q2
"Earlier this week I spoke with @AM900CHML about the strength of Ontario industry and people. We have to continue to be diligent about social distancing while we begin to return to our normal lives - but, we will come back stronger than ever!",265,2020-06-25 13:40:31,Twitter for iPhone,94,15,fordnation,1276148270180507648,False,https://t.co/hBxUSoAaAQ,en,June,Q2
"This fall parents can look forward to a curriculum that gives kids the tools they need to be successful, and get good jobs when they graduate. Core skills will now include: 
📝Financial planning 
📝Saving and spending 
📝Budgeting  
📝Coding",261,2020-06-25 13:05:12,Twitter for iPhone,1538,194,fordnation,1276139379807977477,False,https://t.co/hRMom4H7oD,en,June,Q2
"COVID-19 update for June 24, 2020. Check back daily for updates or visit",120,2020-06-25 00:15:54,Twitter for iPhone,44,11,fordnation,1275945781569126400,False,https://t.co/gMeZp5IKu5,en,June,Q2
"As of tomorrow, June 25th at 12:01AM most parts of Windsor-Essex will move to Stage 2, excluding Leamington and Kingsville.",172,2020-06-25 00:04:47,Twitter for iPhone,92,15,fordnation,1275942982739427328,False,https://t.co/pGXNTK8Rhd,en,June,Q2
