Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,in_reply_to_user_id,user_id,isRT,tco,Language,Month,Quarter
I particularly want to thank @SHollinsD23 for her work championing necessary reforms to policing. It is critical we not let these issues fall by the wayside and keep involving one another in conversation to sustain progress being made.,235,2020-06-19 21:53:40,Twitter Web App,22,2,GovHerbert,1274098046876282881,60688326.0,60688326,False,,en,June,Q2
"I am very grateful for the decisive and substantive work we are witnessing from the Legislature this special session. Addressing pressing budgetary, fiscal and social concerns is vital to helping our state navigate the many new challenges we face. #utpol",254,2020-06-19 21:53:40,Twitter Web App,20,1,GovHerbert,1274098046020640769,,60688326,False,,en,June,Q2
"Today, I have issued an executive order moving sections of rural Utah to Green Health Risk Status. For more information please visit",180,2020-06-19 19:57:31,Twitter Web App,84,10,GovHerbert,1274068817765740544,,60688326,False,https://t.co/zgEQt5KIJx,en,June,Q2
"#Juneteenthday commemorates a momentous chapter in our nation’s history for liberty. Although we are working to make positive strides, much can still be done to achieve greater equity and inclusion. I look forward to engaging with all Utahns in pursuit of racial justice.",271,2020-06-19 18:24:50,Twitter Web App,210,22,GovHerbert,1274045492754706432,,60688326,False,,en,June,Q2
"According to May’s employment data, Utah has posted some of the best unemployment and job numbers in the country during the pandemic. While these data are encouraging, numerous Utahns remain unemployed. We must continue to make getting everyone back to work safely a priority.",300,2020-06-19 17:08:30,Twitter Web App,51,2,GovHerbert,1274026281198186496,,60688326,False,https://t.co/Slp7erqzyn,en,June,Q2
"As we now grow out of this downturn, it remains imperative for Utahns to continue to take personal responsibility to follow public health guidance.",147,2020-06-17 19:59:25,Twitter Web App,35,8,GovHerbert,1273344517022691328,60688326.0,60688326,False,,en,June,Q2
Our immediate need is to see that Utahns who lost employment are re-employed as soon as possible. Volume 4 also emphasizes investment in construction-ready infrastructure projects that will have a very high multiplier effect for immediate economic growth.,255,2020-06-17 19:59:24,Twitter Web App,23,1,GovHerbert,1273344516326518784,60688326.0,60688326,False,,en,June,Q2
"Keeping Utah on the path to recovery, I am pleased to showcase Utah Leads Together Volume 4 today. Volume 4 lays the foundation for recovery and has us consider what is most important in the next 100 days, 250 days and 500 days.",228,2020-06-17 19:56:12,Twitter Web App,11,1,GovHerbert,1273343707874357248,60688326.0,60688326,False,,en,June,Q2
"Though our COVID-related economic downturn has not been as deep as most states, thousands of Utahns still have been directly threatened by this recession. But our current position should provide hope that we can recover quicker than other states to an even better place.",270,2020-06-17 19:52:49,Twitter Web App,13,0,GovHerbert,1273342857038815232,60688326.0,60688326,False,,en,June,Q2
I have called a special session of our legislature beginning tomorrow to address this issue. The actions the legislature consider during the special session will put Utah in a position to accelerate recovery and return to more prosperous times.,244,2020-06-17 19:52:49,Twitter Web App,10,0,GovHerbert,1273342856392929285,60688326.0,60688326,False,,en,June,Q2
