Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,isRT,tco,Language,Month,Quarter
"Senate Republicans led the CARES Act, the biggest rescue package in American history that helped our nation weather this storm. Any further legislation will need to focus intently on kids, jobs, and healthcare, and include legal protections to help schools and businesses reopen.",303,2020-06-30 21:03:25,Twitter Media Studio,1863,487,senatemajldr,1278071664945831938,False,https://t.co/WjooKMhtc5,en,June,Q2
More disastrous steps by Beijing to tighten their grip on Hong Kong. Congress and the Administration have taken strong steps to stand with Hong Kong. We need to keep it up and friends of democracy around the world should join us.,253,2020-06-30 19:10:39,Twitter Web App,3904,2448,senatemajldr,1278043289174913024,False,https://t.co/16PrlmSM9Q,en,June,Q2
"House Democrats' last attempt at a coronavirus response was a go-nowhere liberal wish list that even the media laughed off. With 40+ COVID hearings by the end of this week, the Senate is continuing the serious, facts-first approach that built the historic CARES Act.",266,2020-06-29 22:37:27,Twitter for iPhone,3514,857,senatemajldr,1277732942836576257,False,,en,June,Q2
"We must have no stigma, none, about wearing masks when we leave our homes and come near other people. Wearing simple face coverings is not about protecting ourselves, it is about protecting everyone we encounter.",212,2020-06-29 19:39:28,Twitter Web App,67210,9638,senatemajldr,1277688154053644295,False,,en,June,Q2
ICYMI: I joined the @GuyBensonShow to discuss Senate Democrats’ blocking police reform and the Senate’s historic judicial confirmations.,160,2020-06-27 18:29:52,Twitter Media Studio,1616,445,senatemajldr,1276945861499633665,False,https://t.co/bsFztYtJng,en,June,Q2
TUNE IN: I’m joining @GuyBensonShow at 4:00pm ET to discuss Senate Democrats’ obstruction of police reform and our latest milestone in renewing the judiciary.,183,2020-06-26 19:55:10,Twitter for iPhone,696,157,senatemajldr,1276604940451024899,False,https://t.co/lCm5tWLItJ,en,June,Q2
Democrats say they disagree with parts of @SenatorTimScott’s bill. Fine. The Senate has a way to settle policy differences. It’s called legislating. The only reason to duck the whole process is if Democrats would rather preserve a campaign issue than find a bipartisan solution.,278,2020-06-24 17:00:10,Twitter Web App,7785,2714,senatemajldr,1275836125882523648,False,,en,June,Q2
Democrats just blocked the Senate from even considering police reform. They threatened to do this unless I let them short-circuit the amendment process and rewrite @SenatorTimScott’s bill behind closed doors. This issue deserved better than more do-nothing Democratic theatrics.,278,2020-06-24 17:00:01,Twitter Web App,25470,10650,senatemajldr,1275836085596295168,False,,en,June,Q2
"The Senate has confirmed 200 of President Trump’s nominees to lifetime appointments on the federal bench. With today's confirmation, not a single circuit court vacancy exists anywhere in the nation for the first time in at least 40 years.",262,2020-06-24 16:23:15,Twitter Media Studio,7221,2339,senatemajldr,1275826832408031233,False,https://t.co/BvIEuJ62l7,en,June,Q2
"“Equal protection of the laws” means that mayors and governors cannot selectively stand down because they fear the political price for confronting a particular mob.

Maintaining the peace is these leaders’ duty. It is not an option that depends on the lawbreakers’ politics.",298,2020-06-23 20:10:11,Twitter Media Studio,4897,1734,senatemajldr,1275521553787215872,False,https://t.co/o37g7EcXkf,en,June,Q2
"If the far left cannot distinguish between Confederate generals and Washington, Jefferson, and Grant, they have completely exited the real world. 

We are so proud of the imperfect American heroes who built the most perfect union the world has ever seen.",278,2020-06-23 16:47:51,Twitter Web App,6643,2143,senatemajldr,1275470638552100864,False,https://t.co/0UdsOxz5W2,en,June,Q2
"Later this week, thanks to @SenatorTimScott, the Senate will vote to consider police reform legislation on the floor. I hope both sides come together and vote to begin this important debate. The American people deserve more than political posturing. They deserve an outcome.",274,2020-06-22 19:53:20,Twitter for iPhone,5210,1257,senatemajldr,1275154926289723395,False,,en,June,Q2
Thinking of my dad today. Happy Father’s Day to all the dads in Kentucky and across our great country.,126,2020-06-21 15:50:37,Twitter for iPhone,5878,647,senatemajldr,1274731458352099328,False,https://t.co/fBxq8H6eDn,en,June,Q2
I just spoke in Kentucky about Juneteenth and America’s continued work to overcome the stain of our original sin. We must keep working to ensure that the timeless principles of our founding continue to triumph over prejudice and injustice.,239,2020-06-19 18:46:12,Twitter Web App,6189,1317,senatemajldr,1274050870485962752,False,,en,June,Q2
"The Senate just confirmed @POTUS's exceptional choice to sit on the second-most-important federal bench. We Kentuckians are sorry to lose Judge Justin Walker, but we're very proud this brilliant and fair jurist will be serving our nation on the D.C. Circuit.",282,2020-06-18 18:22:10,Twitter Web App,3300,880,senatemajldr,1273682430797414401,False,https://t.co/BBv87PZDgI,en,June,Q2
"The JUSTICE Act provides solutions on police reform that are sober, serious, and significant. The Senate should address this issue now. But we’ll only be able to act if both sides can work together. I hope our Democratic colleagues will come to the table next week.",265,2020-06-18 14:41:13,Twitter Web App,3709,905,senatemajldr,1273626830600355848,False,,en,June,Q2
"Sadly, Democrats began attacking the JUSTICE Act proposal before it was even released.
 
The Senate has recently put division aside to produce major bipartisan bills like the CARES Act and the Great American Outdoors Act. Police reform needs that same spirit. I hope we see it.",277,2020-06-17 19:26:59,Twitter Web App,4874,1445,senatemajldr,1273336356715073537,False,,en,June,Q2
".@SenatorTimScott has put together a strong and significant proposal to increase transparency, grow accountability, and advance needed reforms in policing. The Senate will turn to the JUSTICE Act next week. It will take bipartisan cooperation for the Senate to make a law.",272,2020-06-17 15:55:45,Twitter Web App,1587,409,senatemajldr,1273283197753843712,False,,en,June,Q2
"When Black Americans tell us they do not feel safe in their own communities, we need to listen. When citizens lack faith in our justice system, we need to respond. And when the equal protection of the law feels to some Americans like a contingency of demographics, we need to act.",280,2020-06-17 15:55:36,Twitter Web App,16666,4035,senatemajldr,1273283161984839681,False,,en,June,Q2
"Elaine and I are stunned and heartbroken by Carol Barr’s passing. Her warmth filled whatever room she entered. Her contributions made Kentucky a better place for all of us. We send our sincere condolences to Andy, their girls, and their family at this terribly painful time.",274,2020-06-17 02:30:37,Twitter for iPhone,4494,697,senatemajldr,1273080578682892291,False,,en,June,Q2
"With our country facing a pandemic, an historic economic disruption, and a major discussion of racial justice, Speaker Pelosi has mostly kept her chamber on the longest-running spring break in human history. Over here, in the Senate, we are attending to the needs of the nation.",302,2020-06-16 14:51:31,Twitter Media Studio,9607,3620,senatemajldr,1272904643207626759,False,https://t.co/90RIZ39HEc,en,June,Q2
"Public lands preserve our nation’s beauty, provide recreation for American families, and help their local economies prosper. I am proud the Senate is going to pass historic legislation this week to make sure our National Parks and other lands have the permanent support they need.",304,2020-06-15 20:05:39,Twitter Media Studio,2926,726,senatemajldr,1272621310812860418,False,https://t.co/r3dN3lYMN0,en,June,Q2
The landmark Great American Outdoors Act will help Kentuckians preserve our public lands and ensure that outdoor recreation can continue adding billions of dollars of prosperity to our state every year. I am proud we’re on track to deliver this big win for the Bluegrass.,295,2020-06-11 16:45:01,Twitter Media Studio,1777,374,senatemajldr,1271121269539430405,False,https://t.co/r53JHXjVK3,en,June,Q2
Our republic can survive a pandemic. It can survive civil unrest. But ideas and deliberation are our foundation. America cannot be America if civil disagreement becomes a contradiction in terms. Anti-speech silencing tactics are a cancer in a free and open society.,265,2020-06-10 16:52:44,Twitter for iPhone,28734,8078,senatemajldr,1270760821560393734,False,,en,June,Q2
The liberal tradition in this country used to pride itself on broad-mindedness. But we have spent years watching elite institutions exchange debate and rigor for uniformity and psychological comfort. We saw it with universities. Now the free press is repeating that error.,272,2020-06-10 15:32:41,Twitter Web App,16714,5019,senatemajldr,1270740679149391872,False,,en,June,Q2
"The American people’s response to COVID-19 has been brave and patriotic. For months, citizens have sacrificed an enormous amount to protect their neighbors and our medical system. Their trust cannot be repaid with constitutionally dubious double standards.",256,2020-06-09 17:10:47,Twitter Web App,2840,689,senatemajldr,1270402976218255368,False,,en,June,Q2
"Speech, assembly, and the free exercise of religion are all sacrosanct liberties. Mayors cannot play ""red-light, green-light"" with the First Amendment and cheer certain protests while selectively disadvantaging people of faith. The Bill of Rights is not an a-la-carte menu.",273,2020-06-09 17:10:37,Twitter Web App,21167,7350,senatemajldr,1270402937475551232,False,,en,June,Q2
"I strongly &amp; fully support Americans' right to peacefully protest. But through no fault of the demonstrators, recent days have revealed glaring inconsistencies from some local leaders. While some mayors cheer mass protests, they continue to ban careful church gatherings.",299,2020-06-09 17:10:17,Twitter Media Studio,2214,757,senatemajldr,1270402851492200449,False,https://t.co/zkYCZcMgtw,en,June,Q2
"Abolishing police would only take us farther away from the safety, justice, and equal protection of the laws that every single American deserves.

Minneapolis cannot really think that arts programs and social workers can make law enforcement obsolete.

My remarks:",288,2020-06-08 23:37:38,Twitter Media Studio,26169,7027,senatemajldr,1270137943089446914,False,https://t.co/pn4X751Z5x,en,June,Q2
"Every year, millions of Americans turn to National Parks sites, National Wildlife Refuges, &amp; millions of acres of public lands for recreation or their livelihoods. Legislation from @SteveDaines &amp; @SenCoryGardner will secure them for generations to come.",285,2020-06-08 21:24:13,Twitter for iPhone,1274,364,senatemajldr,1270104369099390982,False,https://t.co/Eyqc0MXL4V,en,June,Q2
"Today, President Trump signed new legislation that will make the PPP even stronger. In addition to @SenatorCollins and @MarcoRubio, @SteveDaines, @SenCoryGardner, and @SenThomTillis have been instrumental in keeping this lifeline for Main Street up and running.",261,2020-06-05 20:01:54,Twitter Web App,774,138,senatemajldr,1268996487750586368,False,,en,June,Q2
"Because of the Paycheck Protection Program from @SenatorCollins &amp; @MarcoRubio, tens of millions of Americans have kept receiving paychecks instead of pink slips during this emergency, and millions of small businesses have lived to see the reopening.",253,2020-06-05 20:01:53,Twitter Web App,908,147,senatemajldr,1268996486878187522,False,,en,June,Q2
"This crisis is not over. Our economic comeback is just beginning. But even in these early days of our careful reopening, the American people are already trouncing expert predictions and starting to come back strong. My full statement:",258,2020-06-05 20:01:53,Twitter Web App,1847,375,senatemajldr,1268996485930246144,False,https://t.co/ECDItd5WaH,en,June,Q2
"The Chinese Communist Party has cheated on trade, stolen foreign technology, executed long-term plans to target the industrial bases of the United States and our allies, and weaponized foreign aid to manipulate developing countries. And continued to repress their own people.",275,2020-06-04 20:32:07,Twitter Web App,4519,1675,senatemajldr,1268641704493690880,False,,en,June,Q2
"Thirty-one years ago, brave Chinese people flooded Tiananmen Square because they hoped a more modern and prosperous China would also become more free. What they got was a massacre of hundreds if not thousands and a society that still cannot even speak about it 31 years later.",276,2020-06-04 20:31:53,Twitter Web App,12252,4237,senatemajldr,1268641648357134348,False,,en,June,Q2
I am glad President Trump has assembled such an impressive team that is working hard for all Americans. (3/3),109,2020-06-04 14:59:23,Twitter Web App,3022,477,senatemajldr,1268557969102438401,False,,en,June,Q2
"I appreciate their dedicated work at this difficult time for our nation and their steadfast commitment to their constitutional duties to preserve peace and order, uphold liberty, and protect the American people so they can freely exercise their rights. (2/3)",258,2020-06-04 14:59:22,Twitter Web App,2372,347,senatemajldr,1268557967651192838,False,,en,June,Q2
"In these challenging times, the President and the American people are very well-served by the expert advice and principled leadership of people like Secretary Esper and Attorney General Barr. (1/3)",197,2020-06-04 14:59:22,Twitter Web App,6066,1149,senatemajldr,1268557966199980036,False,,en,June,Q2
Our nation is united in horror and opposition to the violent killing of Mr. Floyd. It is well past time that we also unite on the side of peace in our streets and peace in our communities. We need to unite against these violent riots.,258,2020-06-02 19:31:34,Twitter Media Studio,4161,1022,senatemajldr,1267901690621186053,False,https://t.co/H0TraEwcWp,en,June,Q2
"Every one of us has an obligation to distinguish peaceful protests over the killings of George Floyd, Breonna Taylor, and Ahmaud Arbery from the violent riots that continue to see innocent people hurt, businesses and neighborhoods destroyed, &amp; law enforcement officers assaulted.",283,2020-06-02 15:51:28,Twitter Web App,8064,1960,senatemajldr,1267846302341234693,False,,en,June,Q2
"State and local leaders must quickly disrupt outside agitators, restore order, and protect citizens. If they can't or won't, I hope the federal government is ready to stand in the breach.
 
There is no constitutional right to commit violent crime or terrorize communities. Period.",304,2020-06-02 01:39:55,Twitter Media Studio,3293,1001,senatemajldr,1267632004067139584,False,https://t.co/HAdTXpvz57,en,June,Q2
"Americans have watched peaceful protests hijacked into violent riots that inflict the kind of injustice they supposedly oppose. Small businesses destroyed. Neighborhoods torn up. Police attacked on city streets.
 
These riots need to stop. Not tomorrow. Not next week. Now.",297,2020-06-02 00:26:34,Twitter Media Studio,3676,1051,senatemajldr,1267613542775128067,False,https://t.co/bhvWyBoW7a,en,June,Q2
"I have fought for civil rights and the First Amendment. I completely support Americans’ rights to peaceably protest and be heard. Our nation cannot deafen itself to the anger, pain, or frustration of black Americans. Our nation needs to hear this.",271,2020-06-01 23:08:08,Twitter Media Studio,1852,461,senatemajldr,1267593806477697031,False,https://t.co/x1eraRv7WD,en,June,Q2
But here’s something that requires no investigation: In no world can arresting a man for an alleged minor infraction involve a police officer putting his knee on the man’s neck for nine minutes while he cries out “I can’t breathe” and then goes silent.,276,2020-06-01 22:23:12,Twitter Media Studio,2063,575,senatemajldr,1267582495547109377,False,https://t.co/sXla0dQbKk,en,June,Q2
"This is an hour of great pain for our nation. Americans everywhere have been grieved and horrified by the killings of African-American citizens. We need the facts, we need the truth, and we need accountability. We need swift justice under law.",267,2020-06-01 21:43:05,Twitter Media Studio,3446,868,senatemajldr,1267572400666939392,False,https://t.co/mRuccN5x7V,en,June,Q2
"Our city, our state, and our country have to pull together. My full statement on the protests and riots in Louisville and across the country:",165,2020-05-29 16:53:41,Twitter for iPhone,2115,542,senatemajldr,1266412409947934721,False,https://t.co/rFOyjC3AHf,en,May,Q2
"Our country is starting to carefully re-open. Any further legislation will need to focus on practical solutions that help kids return to school next fall, help laid-off Americans get re-hired, and stop frivolous lawsuits from stalling our recovery.",272,2020-05-28 15:54:02,Twitter Web App,3800,951,senatemajldr,1266035007312875520,False,https://t.co/pQWG5FTc3y,en,May,Q2
"From the heroic health professionals at @UK_HealthCare to the James B. Beam Institute for Kentucky Spirits making hand sanitizer, the @UniversityofKY has stepped up big-time for the Bluegrass. I was proud to lead the Senate’s action to help make their work possible.",290,2020-05-27 15:42:51,Twitter for iPhone,865,183,senatemajldr,1265669804536598529,False,https://t.co/dHGFxYxNaA,en,May,Q2
"Today I had the honor to thank some of Kentucky’s front-line healthcare professionals. When our nation comes through this pandemic, it will be because American heroes like these won this fight.",217,2020-05-27 01:22:52,Twitter for iPhone,3456,532,senatemajldr,1265453385999962117,False,https://t.co/xudk38p2vf,en,May,Q2
"The CARES Act is investing billions of dollars into families, healthcare workers, and small businesses across the country. In Kentucky, it’s already added up to an $11 billion impact.",207,2020-05-26 14:43:24,Twitter for iPhone,2827,693,senatemajldr,1265292459178733568,False,https://t.co/LWE2gij9B5,en,May,Q2
"As we continue to meet a new generation of American heroes, we set Memorial Day aside to honor the memory of brave men and women who have laid down their lives in military service. May our actions pay tribute to their tremendous sacrifice for our great nation.",284,2020-05-25 12:02:12,Twitter for iPhone,3711,726,senatemajldr,1264889500746108930,False,https://t.co/BQkKdfrRgZ,en,May,Q2
House Democrats are playing with perpetual impeachment while the Senate fights the pandemic. Speaker Pelosi is in no position to be lecturing us about what the appropriate use of Senate time is. The American people deserve answers and we intend to get them.,281,2020-05-22 21:02:39,Twitter Media Studio,6885,2361,senatemajldr,1263938348772724736,False,https://t.co/7oXcXc7LLx,en,May,Q2
"All month, the Senate has been on the job, attending to the needs of our nation. The real contrast is with the House. Two days they've been in session in the last eight weeks. At this point, I’m wondering if we should send Senators over there to collect their newspapers.",295,2020-05-22 18:49:12,Twitter Media Studio,4976,1529,senatemajldr,1263904763302813696,False,https://t.co/MQYTlMgFXX,en,May,Q2
"We need to work smart here. Help the people who are desperately in need, try to save as many jobs as possible, begin to open up the states, and get this economy growing again.",199,2020-05-22 17:00:31,Twitter Media Studio,2915,824,senatemajldr,1263877412657532932,False,https://t.co/8KvfUs4LLW,en,May,Q2
"TUNE IN 📺: I will be joining @marthamaccallum ~7:00 PM EST to discuss the House Democrats’ obsession with impeachment and the Senate’s continued focus on coronavirus relief, legal protections for frontline workers, and other key Senate priorities.",271,2020-05-21 22:55:21,Twitter for iPhone,1115,244,senatemajldr,1263604320848748546,False,https://t.co/ylbrcuMJHW,en,May,Q2
"These past few months have been terrible and trying for our country. But in the midst of this tragedy, our country is pulling together. I’m proud of the ways my fellow Kentuckians are showing us how it’s done.",233,2020-05-21 18:05:46,Twitter Media Studio,1971,423,senatemajldr,1263531446347730945,False,https://t.co/pcSSrxHi7Z,en,May,Q2
"House Democrats have been missing in action for months. They just forced through a remote voting scheme so they can continue their absence. But there’s a problem: Article I, Section 5 of the Constitution.",228,2020-05-21 15:27:35,Twitter Media Studio,14884,6531,senatemajldr,1263491637122142208,False,https://t.co/o3NYQJsprz,en,May,Q2
"My hometown of Louisville, Kentucky is home to the baseball bat factory that makes the world-famous Louisville Slugger. Thanks to the Paycheck Protection Program, 171 employees were pulled off furlough and put right back on the payroll.",260,2020-05-20 21:32:56,Twitter Media Studio,3117,694,senatemajldr,1263221193655623681,False,https://t.co/rvawNGCAMp,en,May,Q2
"You can’t make this up: During a global crisis, House Democrats are arguing that the acquittal of President Trump did not actually end their impeachment. They would rather spend another year trying to cram politics into the legal system than help the Senate govern the country.",301,2020-05-20 18:55:23,Twitter Media Studio,12808,5297,senatemajldr,1263181545143250944,False,https://t.co/X1GU2sNWAM,en,May,Q2
The Senate is working for the American people during this crisis. We’ve been in session for weeks. House Democrats have shown up for work two days in eight weeks. They flew into town to pass a far-left wish list that could not even unite their own conference &amp; promptly left town.,308,2020-05-20 16:33:39,Twitter Media Studio,5965,2553,senatemajldr,1263145874206724100,False,https://t.co/XaUzFgD1Al,en,May,Q2
"The Senate passed FISA reforms last week. We'll soon confirm a new Director of National Intelligence. And led by @LindseyGrahamSC, we’re moving to subpoena people like James Comey and Loretta Lynch to get to the bottom of the 2016 abuses. The American people deserve the truth.",301,2020-05-19 22:00:26,Twitter Media Studio,13293,4278,senatemajldr,1262865723795308552,False,https://t.co/qV2ASwphHE,en,May,Q2
"Democrats spent years hyping the Russian collusion conspiracy theory. That collapsed upon investigation. Here’s what the facts did turn up: A stunning pattern of incompetence, outright bias, or both that brought federal law enforcement into the 2016 campaign.",283,2020-05-19 20:39:17,Twitter Media Studio,7081,2541,senatemajldr,1262845302681280512,False,https://t.co/Cb8zetSyT0,en,May,Q2
