Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,isRT,tco,Language,Month
Can’t wait to watch @Disclosure_Doc on @netflix today!! Executive produced by @Lavernecox who is extraordinary 💕💕💕 Who else is gonna watch?!,164,2020-06-19 17:09:36,Twitter for iPhone,68543,8565,taylorswift13,1274026559062638592,False,https://t.co/tYnZXfYzk5,en,June
"For my family, everything that has transpired recently gives us an opportunity to reflect, listen, and reprogram any part of our lives that hasn’t been loudly and ferociously anti-racist, and to never let privilege lie dormant when it could be used to stand up for what’s right.",278,2020-06-19 04:01:22,Twitter for iPhone,80967,7801,taylorswift13,1273828192663605250,False,,en,June
"Personally, I’ve made the decision to give all of my employees June 19th off in honor of Freedom Day from now on, and to continue to educate myself on the history that brought us to this present moment.",202,2020-06-19 04:01:22,Twitter for iPhone,82204,7182,taylorswift13,1273828191627550720,False,,en,June
"Happy Juneteenth! I want to thank @TheRoot and @RhapsoDani for allowing me to post this video about the significance of today, June 19th, and why it should be celebrated as a National holiday.",216,2020-06-19 04:01:21,Twitter for iPhone,109516,18878,taylorswift13,1273828190251814913,False,https://t.co/7yjwh4Lddg,en,June
"YES!! Thank you to the Supreme Court Justices who voted in favor and all the advocates who have fought so hard for this! We still have a long way to go to reach equality, but this is a beautiful step forward. 🌈❤️🧡💛💚💙💜🌈",242,2020-06-15 17:24:59,Twitter for iPhone,214765,28985,taylorswift13,1272580877231456257,False,https://t.co/zTd3i5P2TL,en,June
"When you fight to honor racists, you show black Tennesseans and all of their allies where you stand, and you continue this cycle of hurt. You can’t change history, but you can change this. 🙏",190,2020-06-12 20:07:58,Twitter for iPhone,129378,14011,taylorswift13,1271534730828283905,False,,en,June
I’m asking the Capitol Commission and the Tennessee Historical Commission to please consider the implications of how hurtful it would be to continue fighting for these monuments.,178,2020-06-12 20:07:58,Twitter for iPhone,103285,9595,taylorswift13,1271534729691631617,False,,en,June
We need to retroactively change the status of people who perpetuated hideous patterns of racism from ‘heroes’ to ‘villains.’ And villains don’t deserve statues.,160,2020-06-12 20:07:57,Twitter for iPhone,73111,9030,taylorswift13,1271534728777252868,False,,en,June
"Taking down statues isn’t going to fix centuries of systemic oppression, violence and hatred that black people have had to endure but it might bring us one small step closer to making ALL Tennesseans and visitors to our state feel safe - not just the white ones.",262,2020-06-12 20:07:57,Twitter for iPhone,82674,10112,taylorswift13,1271534727846137856,False,,en,June
"His statue is still standing and July 13th is ‘Nathan Bedford Forrest Day.’ Due to social pressure, the state is trying to overrule this, and Tennesseans might no longer have to stomach it. Fingers crossed.",206,2020-06-12 20:07:57,Twitter for iPhone,63648,6477,taylorswift13,1271534726457823233,False,,en,June
"Then we get to this monstrosity. Nathan Bedford Forrest was a brutal slave trader and the first grand wizard of the Ku Klux Klan who, during the Civil War, massacred dozens of black Union soldiers in Memphis.",232,2020-06-12 20:07:57,Twitter for iPhone,63936,8384,taylorswift13,1271534725321101319,False,https://t.co/n2DiEt9F3P,en,June
Replacing his statue is a waste of state funds and a waste of an opportunity to do the right thing.,99,2020-06-12 20:07:56,Twitter for iPhone,67157,6658,taylorswift13,1271534724662558720,False,,en,June
"FYI, he was a white supremacist newspaper editor who published pro-lynching editorials and incited the arson of the office of Ida B. Wells (who actually deserves a hero’s statue for her pioneering work in journalism and civil rights).",234,2020-06-12 20:07:56,Twitter for iPhone,77636,8546,taylorswift13,1271534723697909762,False,,en,June
Edward Carmack’s statue was sitting in the state Capitol until it was torn down last week in the protests. The state of Tennessee has vowed to replace it.,154,2020-06-12 20:07:54,Twitter for iPhone,61713,6843,taylorswift13,1271534713396748288,False,,en,June
"As a Tennessean, it makes me sick that there are monuments standing in our state that celebrate racist historical figures who did evil things. Edward Carmack and Nathan Bedford Forrest were DESPICABLE figures in our state history and should be treated as such.",260,2020-06-12 20:07:54,Twitter for iPhone,417500,58082,taylorswift13,1271534712423698434,False,,en,June
We need to fight for mail-in voting for the 2020 election. No one should have to choose between their health and having their voice heard.,162,2020-06-09 19:09:57,Twitter for iPhone,85993,14996,taylorswift13,1270432966058160135,False,https://t.co/4ImsKW1fQN,en,June
This article written by @BarackObama is a fascinating read about changing policy at the state and local levels.,135,2020-06-09 19:09:57,Twitter for iPhone,83735,12866,taylorswift13,1270432964976009219,False,https://t.co/kwwFjaXCuC,en,June
"Racial injustice has been ingrained deeply into local and state governments, and changes MUST be made there. In order for policies to change, we need to elect people who will fight against police brutality and racism of any kind. #BlackLivesMatter",247,2020-06-09 19:09:56,Twitter for iPhone,270759,50560,taylorswift13,1270432961591205888,False,,en,June
"After stoking the fires of white supremacy and racism your entire presidency, you have the nerve to feign moral superiority before threatening violence? ‘When the looting starts the shooting starts’??? We will vote you out in November. @realdonaldtrump",252,2020-05-29 15:33:41,Twitter for iPhone,2230891,469244,taylorswift13,1266392274549776387,False,,en,May
VERY STOKED about this cover of lwymmd on @KillingEve by Jack leopards &amp; the dolphin club!!,119,2020-05-25 02:11:02,Twitter for iPhone,155388,21609,taylorswift13,1264740730771300359,False,https://t.co/fhkLfOssfm,en,May
@etnow I personally really relate to this tweet. 😎,50,2020-05-19 20:31:11,Twitter for iPhone,33241,4364,taylorswift13,1262843265839235075,False,,en,May
"The City Of Lover concert is streaming on @Hulu + @DisneyPlus! And the live songs are available now 💕 

#TaylorSwiftCityOfLover",174,2020-05-18 19:58:45,Twitter Web App,88314,13300,taylorswift13,1262472716608835591,False,https://t.co/KZNhsi9o3Y,en,May
@TheAddyMiller Addy I had to google YGG but a) now I know what it means b) YGG back! c) tell your mom hi she seems cool 😎,121,2020-05-18 03:10:13,Twitter for iPhone,8673,938,taylorswift13,1262218908884402177,False,,en,May
@tracesofswift @winestainedtay MY HEART ❤️,42,2020-05-18 03:04:52,Twitter for iPhone,8855,804,taylorswift13,1262217561946705921,False,,en,May
@nathansrep_ THIS PIC IS SO AWW 🥰 🥺💕,36,2020-05-18 02:42:52,Twitter for iPhone,7887,749,taylorswift13,1262212025284870144,False,,en,May
@LOLbridg Thank you so much for everything you do and how hard you’re working to keep us safe 🙏🙏🙏,97,2020-05-18 02:35:30,Twitter for iPhone,8054,846,taylorswift13,1262210174212870145,False,,en,May
@Ru_ReAdy_FoR_IT I’m so sorry it’s been hard and I’m so touched and flattered that the show is making you smile 😊,113,2020-05-18 02:25:31,Twitter for iPhone,9189,1028,taylorswift13,1262207659534692354,False,,en,May
@13yearsoftay Aww thanks bud 🥺🥺🥺🏹💗,34,2020-05-18 02:17:47,Twitter for iPhone,6650,646,taylorswift13,1262205715957059590,False,,en,May
@loverlauren13 @taylornation13 Cute cute cute 🎆🎆🎆,49,2020-05-18 02:09:40,Twitter for iPhone,7975,789,taylorswift13,1262203673150545921,False,,en,May
@CaleighAMiller YAY! Glad you’re watching 💕,43,2020-05-18 02:09:08,Twitter for iPhone,7233,774,taylorswift13,1262203536391184384,False,,en,May
Stoked to relive our Paris show tonight when the City of Lover concert airs at 10pm ET/9pm CT on @ABCNetwork - then tomorrow on @hulu and @disneyplus 💕 It was the best album release party I could’ve wished for 😆✨💐🎆🕶 love you guys 💋,255,2020-05-17 17:15:45,Twitter for iPhone,190162,30679,taylorswift13,1262069307237941248,False,https://t.co/G9Dm3nYrgv,en,May
"City Of Lover Concert 💕 Airing this Sunday at 10p ET on @ABCNetwork and streaming the next day on @hulu  and @disneyplus! 
#TaylorSwiftCityOfLover

📸: Dave Hogan",185,2020-05-15 15:07:21,Twitter for iPhone,113352,16551,taylorswift13,1261312219477934081,False,https://t.co/cYAu74UCut,en,May
when you’re proud of your buns so you post them on the internet,87,2020-05-14 22:02:11,Twitter for iPhone,460253,35931,taylorswift13,1261054225867472897,False,https://t.co/4wPIi8mb5F,en,May
"PS for those of you who are separated from your loved ones or struggling with this day, my heart is with you 💗",110,2020-05-11 01:58:56,Twitter for iPhone,94704,9457,taylorswift13,1259664254430560257,False,,en,May
