,kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr
0,great,71,great,85,great,91,great,78
1,never,39,thank_you,33,thank_you,58,people,33
2,democrats,32,new,31,people,39,white_house,27
3,president,28,president,30,new,30,fake_news,26
4,@foxnews,28,mini,26,get,27,thank_you,25
5,american,25,big,24,working,27,even,24
6,big,25,@foxnews,23,news,27,get,24
7,house,24,people,23,states,26,states,24
8,iran,24,military,22,federal,25,conference,23
9,going,22,democrat,21,would,25,thank_you!,23
10,many,22,republican,21,coronavirus,25,news,23
11,democrat,21,trump,21,mini,24,president,22
12,new,21,want,20,#kag2020,22,big,21
13,time,21,like,20,p.m.,22,new,21
14,thank_you,20,total,20,united,22,many,21
15,impeachment,20,mike,19,mike,22,p.m.,21
16,party,19,strong,19,fake_news,22,back,21
17,people,19,america,19,way,21,media,19
18,years,19,state,19,never,21,today,19
19,like,19,going,18,keep,21,good,19
20,military,17,look,17,american,20,ventilators,18
21,two,17,would,17,thank_you!,20,job,18
22,even,17,don’t,17,must,19,country,18
23,republican,17,never,17,want,19,like,17
24,would,17,party,17,many,19,strong,17
25,trump,16,mueller,17,good,18,total,17
26,want,16,many,16,hard,17,never,16
27,best,15,complete,16,strong,16,complete,15
28,done,15,well,16,job,16,coronavirus,14
29,strong,15,fake_news,16,media,16,small,14
30,schiff,15,see,16,bernie,15,far,14
31,get,15,russia,15,one,15,time,13
32,back,15,#maga,15,conference,15,hard,13
33,it’s,15,vets,15,going,15,second,13
34,do_nothing_democrats,14,iowa,15,said,14,state,13
35,senate,14,even,14,together,14,lamestream,12
36,impeachment_hoax,14,democrats,14,democrats,14,endorsement!,12
37,said,14,make,14,democrat,14,got,12
38,radical,13,keep,14,go,14,congressman,12
39,another,13,thank_you!,14,america,14,military,12
40,make,13,get,14,york,14,way,12
41,left,13,good,13,don’t,14,american,12
42,united,13,border,13,white_house,14,said,11
43,really,13,endorsement!,13,government,14,border,11
44,states,12,nothing,13,ever,13,crime,11
45,crime,12,states,13,things,13,open,11
46,yet,12,vote,12,even,13,would,11
47,trade,12,working,12,today,13,businesses,11
48,thank_you!,12,last,12,day,13,press,11
49,state,12,bernie,12,like,13,done,10
50,به,12,crazy_bernie,12,also,13,want,10
51,republicans,12,really,12,much,13,united,10
52,made,12,great!,11,support,12,eastern.,10
53,got,11,wonderful,11,order,12,spoke,10
54,nothing,11,win,11,back,12,testing,10
55,china,11,bad,11,nothing,12,happy,10
56,را,11,years,11,make,12,china,10
57,last,11,way,11,us,12,left,10
58,shifty,11,us,11,sleepy_joe,11,york,10
59,unfair,11,dems,11,families,11,money,10
60,chuck,11,witch,11,virus,11,much,10
61,u.s.,10,impeachment_hoax.,10,country,11,help,10
62,working,10,best,10,need,11,fake_news!,9
63,read,10,also,10,love,11,must,9
64,three,10,loves,10,made,11,always,9
65,nancy,10,back,10,governor,11,make,9
66,dems,10,american,10,state,11,do_nothing_democrats,9
67,@foxandfriends,10,united,10,work,11,u.s.,9
68,world,10,country,10,history,11,care,9
69,history,10,congress,10,national,11,democrats,9
70,fake_news,10,go,10,full,11,@nytimes,9
71,election,10,south,10,reserve,11,failing,9
72,one,10,supports,10,complete,10,long,9
73,partisan,10,carolina,10,got,10,nothing,9
74,corrupt,10,china,10,protect,10,us,9
75,و,9,do_nothing_democrats,9,vote,10,say,9
76,today,9,jobs,9,workers,10,it’s,9
77,go,9,impeachment_hoax,9,see,10,don’t,9
78,good,9,including,9,wonderful,9,wanted,9
79,much,9,far,9,best,9,fighter,9
80,deal,9,scam,9,early,9,work,9
81,high,9,done,9,incredible,9,invisible,9
82,“the,9,doesn’t,9,time,9,countries,8
83,ukraine,9,senator,9,bill,9,governors,8
84,see,9,campaign,9,important,9,take,8
85,job,9,two,9,ventilators,9,america,8
86,economy,9,debate,9,u.s.,9,working,8
87,america,9,everyone,9,decision,9,business,8
88,zero,9,money,9,general,9,loves,8
89,also,9,“the,9,win,9,@foxnews,8
90,congress,9,help,9,bad,9,hospitals,8
91,didn’t,8,corrupt,9,total,9,radical,8
92,dollars,8,congratulations,9,president,9,doesn’t,8
93,court,8,history,8,well,9,getting,8
94,mike,8,got,8,really,9,night,8
95,doesn’t,8,totally,8,corrupt,9,million,8
96,ever,8,#2a.,8,biden,9,tremendous,8
97,witch,8,true,8,always,9,wants,7
98,ایران,8,crime,8,far,9,china.,7
99,always,8,honor,8,long,8,every,7
