,Tweets,Length,Date,Source,Favourites,RTs,Language,isRT,Month
82,"The Canada Emergency Wage Subsidy is going to help businesses &amp; workers right across the country. Employees will be able to keep their job, and employers will not only be able to stay afloat, they’ll be ready to gear back up when things get better. More: https://t.co/xykLnEoFGn",282,2020-04-27 17:44:26,Twitter Web App,436,78,en,False,April
83,"Whether you’re a charity that employs 200 people, or a fast-growing start-up that employs 20 – you’ll be eligible for up to $847 a week per employee. You can apply online through the Canada Revenue Agency here: https://t.co/thsNICp2LD",234,2020-04-27 17:44:26,Twitter Web App,505,98,en,False,April
84,"Earlier this month, we introduced the Canada Emergency Wage Subsidy to help protect your job, or help get you back to work. And today, applications for this program are now open.",178,2020-04-27 17:44:25,Twitter Web App,2616,365,en,False,April
90,I’m starting off this week with an update on the Canada Emergency Wage Subsidy – it will help business owners keep employees on the payroll so more workers can keep their jobs. Tune in to my daily update for the latest: https://t.co/aoD08nQVDJ,243,2020-04-27 15:17:41,Twitter Web App,1016,231,en,False,April
94,"Our front line workers are going above and beyond to keep us safe, our shelves stocked, and our country moving. And tonight’s #StrongerTogether event is all about saluting them and supporting @FoodBanksCanada. Click here to get all the details: https://t.co/oflneHfeRq https://t.co/BQqcLILZVz",292,2020-04-26 22:17:22,Twitter for iPhone,3990,838,en,False,April
96,"What an inspiring - and relevant - message from @DoaneUschool’s talented students and @JannArden! Thanks for bringing people together, helping others, and sharing kindness. We need that now more than ever. #ShareKindnessForKids https://t.co/xdImh2jD11",251,2020-04-26 20:25:28,Twitter for iPhone,1145,195,en,False,April
102,"Well done, Principal Faught! Glad to see you remembered your coat... won’t make that mistake twice. And thanks for sharing this message with your students - hope everyone at @HolyCrossCSS is having a good weekend! https://t.co/kRHeIb4AzM",237,2020-04-26 17:32:03,Twitter for iPhone,1865,265,en,False,April
104,"Canada’s laboratory professionals play a key role in our fight against COVID-19. This week, we celebrate their expertise and dedication, and thank them for all they’re doing to help keep our loved ones, health care professionals, and communities safe. https://t.co/SVHmOvVRAX",275,2020-04-26 13:34:47,Twitter for iPhone,2368,418,en,False,April
108,"Hey @BradMBradford, congratulations on an extraordinary accomplishment! What you’ve done for our health care workers is inspiring - they definitely deserve this. Thanks to you and your team for going the extra mile(s) to #CrushCOVID! https://t.co/s8QWCtEJIS",257,2020-04-25 23:34:04,Twitter for iPhone,987,160,en,False,April
110,"Thanks again for helping us get this message out, Tyler. And to all the kids who are adjusting to this new normal: You’re doing a great job pitching in and helping out, so thank you. We need you to stay strong - and I know you’re up for the challenge. Let’s fight this together. https://t.co/AOK37vzJ6E",302,2020-04-25 22:10:34,Twitter for iPhone,3856,714,en,False,April
116,"We’re giving fish and seafood processors the resources they need to adapt to the many challenges brought on by COVID-19 and keep workers safe. For more on the plan we announced today and how it’ll help, click here: https://t.co/Sv1RJk40Kl",238,2020-04-25 17:20:16,Twitter for iPhone,621,83,en,False,April
117,"We’re giving more money to processors so they can buy personal protective equipment for workers and adapt to health protocols. And we’ll help fish processing plants buy new equipment, like freezers, so their product can stay good longer as they respond to a changing market.",274,2020-04-25 17:20:15,Twitter for iPhone,914,101,en,False,April
118,"Across the country, fish and seafood processors are working around the clock to make sure we have food to put on our tables. And today, we’re announcing an investment of $62.5 million to support them so that they can safely continue doing that important work. ⤵️",262,2020-04-25 17:20:15,Twitter for iPhone,4052,490,en,False,April
122,"I’m giving my daily update on how we’re supporting Canadians across the country as they deal with the impacts of COVID-19. Today, we’re announcing our plan to help our fish and seafood sector - tune in here for more information: https://t.co/DmRg9xypjL",252,2020-04-25 15:16:48,Twitter for iPhone,1285,206,en,False,April
124,"This afternoon, @cafreeland and I spoke with premiers about our work to support people across Canada and keep them safe from COVID-19. We also looked at the road ahead and talked about the steps we’ll need to take before we can reopen parts of the economy.",256,2020-04-25 00:30:20,Twitter for iPhone,2237,276,en,False,April
128,"If you’re paying less than $50,000 per month on rent and your business has been affected, you’ll be eligible. Non-profits and charities that are struggling will be eligible too. For more on the Canada Emergency Commercial Rent Assistance, click here: https://t.co/bRXCcwllFn",274,2020-04-25 00:00:46,Twitter for iPhone,1135,270,en,False,April
129,"We’ve reached agreements with all provinces and territories to lower rent for small businesses by 75% for the months of April, May, and June. If your small business has been hit hard by COVID-19, the government will cover 50% of your rent and your property owner will cover 25%.",278,2020-04-25 00:00:44,Twitter for iPhone,11172,2275,en,False,April
134,"Tonight, an entire country will come together virtually to honour those who were taken from us far too soon. We will remember - and we will mourn – together. For info on where to watch and how you can help, click here: https://t.co/1CBJ5DM0rX #NovaScotiaRemembers https://t.co/pTMpXrJTeL",287,2020-04-24 21:50:57,Twitter for iPhone,3018,698,en,False,April
140,"We’ve introduced significant measures to support small business owners through this difficult time, and today I’m announcing more details about the Canada Emergency Commercial Rent Assistance. Watch my announcement live for the details: https://t.co/R15GoWR6p3",260,2020-04-24 15:18:12,Twitter for iPhone,933,192,en,False,April
142,"We must never forget the victims of the Armenian genocide. On this solemn day, we reaffirm our commitment to build a world where everyone can feel safe from discrimination and persecution - no matter who they are, where they’re from, or what they believe. https://t.co/xPqp7LdwY4",279,2020-04-24 13:14:58,Twitter for iPhone,2174,579,en,False,April
146,"Wishing a blessed Ramadan to Muslims observing the month at home this year. By coming together virtually, we’ll be able to stay connected and still honour the values at the heart of Islam - compassion, peace, and service to others. Ramadan Mubarak! https://t.co/sJg0aRUP0a https://t.co/Bl2ESHvICH",296,2020-04-23 22:33:34,Twitter Media Studio,22577,6544,en,False,April
156,"Canada’s health experts and researchers are some of the brightest in the world, and they’re working around the clock to keep you safe and healthy. We’ll keep doing everything we can to support their work. For more on what we announced today, click here: https://t.co/WFAdEJSnF1",277,2020-04-23 19:04:13,Twitter for iPhone,562,86,en,False,April
157,"Under this plan, we’re investing in research that hospitals and universities across the country are doing to develop vaccines and treatments. We’re also investing in clinical trials so that, when we have potential vaccines and treatments, we can test a wide range of options.",275,2020-04-23 19:04:13,Twitter for iPhone,661,80,en,False,April
158,"These are tough times but there’s reason to hope. However, we need to make sure we have long-term solutions too. That’s why we’re putting in place a $1.1 billion national medical and research strategy to address COVID-19.",221,2020-04-23 19:04:12,Twitter for iPhone,2717,401,en,False,April
162,"This task force will be led by Dr. David Naylor, Dr. Catherine Hankins, and Dr. Tim Evans, as well as Dr. Tam and Dr. Nemer. And yesterday, we spoke about how this important research will prepare Canada for the road ahead. https://t.co/Q52DUJvQHo",246,2020-04-23 18:01:13,Twitter for iPhone,757,114,en,False,April
163,"We’re bringing together top health experts and scientists from across the country to create the COVID-19 Immunity Task Force. To track and understand immunity to the virus, they’ll work on blood testing - at least a million Canadians will be tested over the next two years.",273,2020-04-23 18:01:10,Twitter for iPhone,2522,391,en,False,April
166,"Today, I’m announcing more support for medical research to fight COVID-19, and a new national task force to oversee country-wide blood test surveys. Watch live for the details: https://t.co/PF8UtB3Ys9",200,2020-04-23 15:24:36,Twitter for iPhone,1052,222,en,False,April
168,"Two years ago, all Canadians grieved with the people of Toronto after a senseless attack took ten lives and forever changed many more. Today, we remember those we lost and, as the community did that day, we come together to stand with their loved ones. We are #TorontoStrong.",275,2020-04-23 15:13:50,Twitter for iPhone,3664,500,en,False,April
181,"With these measures, we’re going to help you get through this difficult time so you can build that career and future you’ve been working so hard for. To get all the details on the new support we’ve announced today, click here: https://t.co/8L8UknyiQe",250,2020-04-22 18:46:55,Twitter for iPhone,1665,395,en,False,April
182,"We’re also expanding eligibility for student financial assistance. And at the same time, we’re increasing support specifically for First Nations, Inuit, and Métis Nation students. Because as we look ahead to the next school year, we want to make sure we’re there for you then too.",280,2020-04-22 18:46:55,Twitter for iPhone,1326,191,en,False,April
