,Tweets,Length,Date,Source,Favourites,RTs,Language,isRT,Month
361,"We’re doing everything we can to help you - and today, we’re making it possible for more people to access the Canada Emergency Response Benefit. If you’re earning $1,000 or less per month right now, you can apply for the benefit and get the help you need.",255,2020-04-15 16:00:27,Twitter for iPhone,7995,1580,en,False,March
365,"We’re announcing changes to the Canada Emergency Response Benefit so more people can get the help they need during this challenging time. For details on that and more, watch my announcement live: https://t.co/vYrYMXklXU",219,2020-04-15 15:18:24,Twitter for iPhone,1571,477,en,False,March
367,"It’s okay to have tough days. If you’re feeling anxious or stressed, know that you’re not alone. We’re here for you - and we’re making sure there are tools and resources available to help you. Today, @GovCanHealth launched a new mental health portal: https://t.co/l2SFWgUSAp https://t.co/f5UGwUCJ2p",298,2020-04-15 14:42:31,Twitter for iPhone,1964,676,en,False,March
369,We received new shipments of personal protective equipment over the weekend - over a million N95 masks and millions of pairs of gloves - and Canadian-made gowns will be delivered starting Monday. We’ll keep working so those on the front line have what they need to stay safe.,275,2020-04-15 00:33:33,Twitter for iPhone,14410,1802,en,False,March
377,"To make sure First Nations have the resources they need to keep people safe as the COVID-19 situation evolves, we’ve been working closely with @AFN_Updates and National Chief @PerryBellegarde. And today, we talked about what more we can do together: https://t.co/KVBJpJr6Ae",273,2020-04-14 21:49:46,Twitter for iPhone,579,141,en,False,March
385,"These are tough times, but we’re going to help you through them. For more on these investments and the steps we’re taking to address the unique needs of Northerners, click here: https://t.co/7xrMlGs5dK",201,2020-04-14 17:25:34,Twitter for iPhone,420,81,en,False,March
386,"We’re also investing more money in Nutrition North so it’s easier to afford the food and basics that keep you healthy. And to make sure things like groceries and medical equipment get to you, we’re providing funding for Northern air carriers to transport these supplies.",270,2020-04-14 17:25:34,Twitter for iPhone,577,83,en,False,March
387,We’re investing in health care and community preparedness so your local health centre has the resources they need to fight COVID-19 and keep you safe. And we’re giving @GCCanNor more funding to help small business owners and entrepreneurs in the North.,252,2020-04-14 17:25:33,Twitter for iPhone,366,49,en,False,March
388,"In small towns and big cities, from coast to coast to coast, we’re working to make sure you get the help you need - no matter where you live. Today, we’re announcing new investments to support Northern communities as they deal with the COVID-19 pandemic and its impacts.",270,2020-04-14 17:25:33,Twitter for iPhone,3031,391,en,False,March
393,"We’re working to make sure everyone has access to the food, supplies, health care, and services they need during this tough time. Tune in now for my daily update on our response to COVID-19 and the steps we’re taking: https://t.co/nnhByk4obr",241,2020-04-14 15:16:53,Twitter for iPhone,1003,162,en,False,March
408,"Vaisakhi is a time to focus on what matters - family, friends, and being there for our neighbours. And although we can’t come together at a Nagar Kirtan or a Gurdwara this year, I want to wish all Sikh Canadians celebrating a very happy Vaisakhi! https://t.co/mF9PbUdTLq https://t.co/s0i56qGBXB",294,2020-04-13 13:33:14,Twitter Media Studio,4539,1032,en,False,March
410,"Wishing a happy and healthy New Year to Tamils celebrating Puthandu. As we give thanks for the blessings in our lives today, let's find new ways to mark this special occasion - so that when we get through this, we can all celebrate together. https://t.co/9F2iZo2ZNQ",265,2020-04-13 13:14:11,Twitter Web App,1821,447,en,False,March
412,@brocktyler Thanks for the laugh... it’s my new hand-washing song.,66,2020-04-12 23:04:02,Twitter for iPhone,2086,280,en,False,March
415,"We’ve all heard that music is good for the soul - and I think we could all use a little of that right now. So thank you for this moving tribute to front line health care workers, @OSMconcerts. https://t.co/BeujqhBwq6",216,2020-04-12 19:10:23,Twitter for iPhone,1230,218,en,False,February
419,"@TerryFoxCanada Thanks for sharing this photo - hard to believe it’s been 40 years. But still to this day, Terry’s courage, optimism, and determination are an example for all of us. And to those who continue to carry his message of hope forward: Thank you.",256,2020-04-12 17:30:16,Twitter for iPhone,291,52,en,False,February
420,"This weekend is a chance for all of us to reflect on what matters, and to think about where we are. I know this hasn’t been easy, but I also know that we’ll get through this together. And this long weekend, that’s my message to you. Watch my daily update below. https://t.co/41vlutRJzi",285,2020-04-12 15:15:46,Twitter Media Studio,7125,1202,en,False,February
424,"Happy Easter! This is a time for joy, for hope, and - normally - for coming together. So while we may have to get creative and celebrate differently this year, Easter’s themes of love, forgiveness, and renewal are more relevant than ever. https://t.co/zDO6WHDJaU https://t.co/DpEgPwz9IX",286,2020-04-12 13:02:57,Twitter Media Studio,6488,1124,en,False,February
428,"Today, we introduced the largest economic measures our country has seen since the Second World War. This legislation has passed the House and is headed to the Senate now - and we’ll keep working to make sure workers and businesses across the country get the support they need.",276,2020-04-11 23:01:53,Twitter for iPhone,9015,1260,en,False,February
432,"Every one of us has a role to play in protecting our loved ones, our front line workers, and our country from the threat we now face. And even though we must stand apart to stay safe, we must stand united to defeat COVID-19. Watch my speech from today: https://t.co/VQiAW4X6ZQ https://t.co/7wrNdOe3jj",300,2020-04-11 22:13:50,Twitter for iPhone,1992,381,en,False,February
438,"Our generation is facing its greatest challenge yet, but I know we can - and will - overcome it together. Watch live as I speak in the House of Commons about our collective duty to help each other get through this difficult time: https://t.co/vpiGUOcbQv",253,2020-04-11 16:34:40,Twitter for iPhone,2230,464,en,False,February
440,"We’ve been working on legislation to support workers and businesses with a new wage subsidy. To make sure you get that support as quickly as possible, Parliament will be back in session tomorrow. I’ll be speaking there at noon - and I’ll keep you updated here too, so stay tuned.",279,2020-04-11 01:59:59,Twitter for iPhone,4420,582,en,False,February
444,"Whether you’re marking Easter, Passover, Tamil New Year, or Vaisakhi, I know it’s a big weekend - it’s a time when you’d usually get together with your whole family. But as you #StayHome to keep everyone safe, remember you’re never far apart when you can stay connected virtually!",280,2020-04-11 00:28:36,Twitter for iPhone,7296,1338,en,False,February
450,"You can apply for these interest-free loans at your bank or credit union. And if the loan is repaid within 2 years, 25% of it will be forgiven. We know you’re facing difficult decisions, but we’re here to take some of the pressure off. Get more info: https://t.co/L1o3SVFChf",274,2020-04-10 18:04:10,Twitter for iPhone,1426,306,en,False,February
451,"If you’re a small business owner worried about paying the bills, we’ve got your back. We launched the Canada Emergency Business Account yesterday so you can get a loan of up to $40,000 for whatever you need - whether that’s covering monthly expenses or paying your employees.",275,2020-04-10 18:04:10,Twitter for iPhone,7373,1532,en,False,February
454,"We’re pulling out all the stops to get you the support you need, and today I’m giving an update on the help we’re giving small businesses and new tools to help you and your family during this difficult time. Watch my update live for info on that and more: https://t.co/NZJyPKZWWP",279,2020-04-10 15:17:43,Twitter for iPhone,1018,188,en,False,February
458,"There’s no doubt these are tough times, but as a country we’ve gotten through tough times before. We’ve stood together, united and strong, because that’s what we do as Canadians. And that will always be our path forward - no matter what tomorrow may bring. https://t.co/7XvhifUTcb",280,2020-04-10 02:16:44,Twitter Media Studio,4575,798,en,False,February
462,"Spoke on the phone with @PremierOfNL. We’re working together to get you the help you need right now, and our talk today focused on the steps we’re taking to make sure the province has what it needs to keep you safe. For more on our call, click here: https://t.co/wcdBgA7sLb",273,2020-04-10 01:58:16,Twitter for iPhone,643,109,en,False,February
464,"Just had another call with @cafreeland and Premiers from across the country tonight to talk about the Team Canada effort to support you and keep you safe. We’re all in this fight together, and we’ll get through this together.",225,2020-04-10 01:37:59,Twitter for iPhone,6076,623,en,False,February
466,"@NLESDCA O Canada has never sounded better! Thanks for showing us the power music has - and for reminding us that even though we need to stay apart right now, we can still be together.",184,2020-04-10 00:33:54,Twitter for iPhone,348,55,en,False,February
469,"I know it’s tough, but we can’t stop now - we still need everyone to #StayHome as much as possible. Because if we all do our part, this will work and we will be able to #PlankTheCurve together. For a look at how that’s possible, check out the video below. #TBT https://t.co/jzousGzNCi",284,2020-04-09 22:45:38,Twitter for iPhone,3930,1009,en,False,February
473,"Peter Cory was known for his wisdom, his integrity, and his sincerity. As a former member of the Royal Canadian Air Force and as a former Supreme Court Justice, his contributions to our country have been tremendous. My thoughts are with his loved ones as they mourn his passing.",278,2020-04-09 22:04:02,Twitter for iPhone,974,120,en,False,February
479,"If you don’t have to leave your home, don’t. Because every time you do go out, you’re not only putting yourself at risk - you’re putting your loved ones, your neighbours, and our front line workers at risk too. So do your part: #StayHome and save lives. https://t.co/7vZ8NxFb2V",277,2020-04-09 18:29:26,Twitter for iPhone,6476,1976,en,False,February
481,"HAPPENING NOW: I’m giving an update on our government’s ongoing response to the COVID-19 pandemic and the measures we’re taking to keep you, your loved ones, and our front line workers safe. Watch my update live: https://t.co/2k8Umob5H9",236,2020-04-09 15:17:01,Twitter for iPhone,801,161,en,False,February
485,"At Vimy Ridge, they fought for the values we hold dear. And today, we honour the courage and sacrifice of all those who fought and gave their lives in one of the bloodiest battles in our country’s military history. #CanadaRemembers https://t.co/v5AX8Y0jbO",255,2020-04-09 12:17:53,Twitter for iPhone,2393,525,en,False,February
489,"If businesses use March to compare revenue, they’ll only need to show a 15% drop because many only felt the impacts of COVID-19 halfway through the month. And as for charities and non-profits, they can either include or exclude government funding in their revenues.",265,2020-04-08 19:05:24,Twitter for iPhone,595,95,en,False,February
490,"We said businesses would have to show a 30% drop in revenues when comparing one month this year to one month last year - but that could be hard for some non-profits, start-ups, and new businesses. So to help, we’ll let them use January and February as reference periods.",270,2020-04-08 19:05:24,Twitter for iPhone,711,103,en,False,February
491,"To help small business owners pay workers even if they’ve slowed down or stopped their operations because of COVID-19, we introduced the Canada Emergency Wage Subsidy. And because we want this to help as many people as possible, we’re going to put in place more flexible rules.",277,2020-04-08 19:05:22,Twitter for iPhone,3765,647,en,False,February
497,"To help small businesses and young people affected by COVID-19, we’re making changes to Canada Summer Jobs. We’re extending the timeframe for job placement, giving CSJ employers a subsidy of up to 100% to cover the cost of hiring each employee, and more: https://t.co/j5IdPMfikp",278,2020-04-08 17:17:09,Twitter for iPhone,1020,272,en,False,February
499,LIVE NOW: We’re announcing changes to the Canada Summer Jobs program and the Canada Emergency Wage Subsidy to make sure more businesses and more workers get the help they need. Tune in here for the details: https://t.co/WzmIt8CfO1,230,2020-04-08 15:18:05,Twitter for iPhone,923,219,en,False,February
501,"Wishing everyone celebrating tonight a happy and healthy Passover. And while this year’s Passover will be different from any other year, I know the spirit of perseverance, love, and renewal will be as strong as ever. Chag Pesach Sameach! https://t.co/mOQfZ2lfrA https://t.co/B6eVMgVOJu",285,2020-04-08 14:02:33,Twitter Media Studio,1755,330,en,False,February
505,"In this challenging time, @CanadianLabour is stepping up to help Canadians in the fight against COVID-19. Thanks for sharing your ideas on what else we can do, and for everything you’re doing for people across the country. @Hassan_Yussuff, thank you for leading the charge. https://t.co/tSrxvlsGi8",297,2020-04-08 02:04:41,Twitter for iPhone,2134,312,en,False,February
507,"Had a good call with Mayor @DrewDilkens this afternoon. We spoke about the essential work that health care workers in Windsor and across the border are doing, and the steps we’re taking to support them during this time. Thanks for the discussion, Drew.",252,2020-04-08 00:44:03,Twitter for iPhone,1578,186,en,False,February
511,"I completely agree. And while we don’t need a pandemic or a special day to recognize the incredible work that caregivers are doing to help our most vulnerable, I do want to thank all of you who are working day and night to take such good care of our loved ones. We’re so grateful. https://t.co/0JiAP75EFI",304,2020-04-07 19:33:55,Twitter for iPhone,2540,377,en,False,February
517,"The demand for critical supplies like test kits, ventilators, and personal protective equipment is going up. So to keep our front line workers safe &amp; care for Canadians with COVID-19, we’re increasing production of these items here in Canada. Find out how: https://t.co/gQIWJKn9o1",284,2020-04-07 16:40:36,Twitter for iPhone,2746,604,en,False,February
519,"Our health care workers need protective gear to keep themselves safe, treat patients, and slow the spread of COVID-19. Today, we’re announcing the steps we’re taking to increase production of medical supplies and equipment here in Canada. WATCH IT LIVE: https://t.co/9xwzbFNfBV",277,2020-04-07 15:15:48,Twitter for iPhone,1160,240,en,False,February
521,"Nurses, doctors, paramedics, and all health care workers are working around the clock to keep us safe - and on this #WorldHealthDay, we really can’t thank them enough. But they need all of us to do our part too and #StayHome. My full statement: https://t.co/CyjeTHzWhQ",268,2020-04-07 14:24:01,Twitter for iPhone,3327,841,en,False,February
523,"I want to thank the dedicated public servants who are making sure the application process for the Canada Emergency Response Benefit continues to run smoothly. And I’d like to remind everyone that you can apply for the benefit tomorrow if you were born in April, May, or June. ⤵️ https://t.co/HO2ameogeg",302,2020-04-07 01:43:29,Twitter for iPhone,5167,1042,en,False,February
529,"@walsht This is really great, Tyler. I think my kids - and a whole lot of others - will get a kick out of this, all while hearing how they can help out too. Thanks for helping spread that message.",196,2020-04-06 23:26:45,Twitter for iPhone,1016,103,en,False,January
534,Sending my best wishes to Prime Minister @BorisJohnson for a full and speedy recovery. My thoughts are with you and your family right now. Hope to see you back at Number 10 soon.,178,2020-04-06 20:38:00,Twitter for iPhone,19095,2037,en,False,January
538,"LIVE NOW: We’re pulling out all the stops to get you and your family the support you need in these tough times, and today I’ll be giving an update on our government’s plan. Tune in here for the latest: https://t.co/I2s89ZpdlX",225,2020-04-06 15:16:54,Twitter for iPhone,740,142,en,False,January
540,"Today, we remember. We remember the 16 lives cut short, and offer our love and support to everyone whose lives were forever changed. To the Broncos, the families, and the entire Humboldt community: We are here for you - today and always. #HumboldtStrong https://t.co/ZFvE2Doyd5",277,2020-04-06 13:31:08,Twitter for iPhone,4523,892,en,False,January
542,"Applications for the Canada Emergency Response Benefit open today for those who were born in January, February, or March. If you were born later in the year, don’t worry - you’ll be able to apply later this week. See below for more info: https://t.co/VRY8UuRVxx",261,2020-04-06 13:00:24,Twitter for iPhone,2456,1109,en,False,January
546,"Shirley Douglas was a tremendous talent, a tireless advocate, and a fearless activist who never stopped fighting for what she believed in. Her passing is a true loss for our country, and I’m sending my condolences to @RealKiefer and their entire family during this difficult time.",280,2020-04-06 02:38:48,Twitter for iPhone,7476,704,en,False,January
548,"If you’re a small business owner or entrepreneur, be sure to set a reminder for 9:45AM EDT tomorrow so you can catch @AmberMac’s Instagram Live with Minister @Mary_Ng. They’ll take your questions about the supports available to you and your business during this uncertain time.",277,2020-04-06 00:09:05,Twitter for iPhone,2050,583,en,False,January
554,We need everyone to stay home as much as possible so we can #PlankTheCurve together. Here’s a quick explanation of what flattening or planking the curve actually means - and why choosing to #StayHome is so important. ⤵️ https://t.co/vGk5HbmnF1,243,2020-04-05 20:42:38,Twitter Media Studio,16121,5324,en,False,January
561,"Sunday mornings can be a busy time in a house with kids, I know. So if your kids weren’t able to catch the @CBCKidsNews video chat when it aired, or if they want to hear some of the answers again, here’s a link to watch the whole thing: https://t.co/xEWc3P7B4M",260,2020-04-05 17:32:26,Twitter for iPhone,1203,387,en,False,January
565,Tune in now for my daily update on our response to the COVID-19 pandemic: https://t.co/vBQFI1Ko90,97,2020-04-05 15:17:18,Twitter for iPhone,691,146,en,False,January
567,"Two days ago, I asked if your kids had any questions about COVID-19. Turns out they did - thousands of great ones were quickly sent in. @CPHO_Canada and I answered as many of them as we could, and you can catch it all on CBC or at https://t.co/U1jTZpJJcy in just 30 minutes!",274,2020-04-05 12:30:11,Twitter for iPhone,8100,1319,en,False,January
571,"Applications for the Canada Emergency Response Benefit open on Monday, but to make sure the system can handle all of the requests, we’re staggering the days you can apply based on your birth month. Find out when you can apply below: https://t.co/AVBmB7ekL5",256,2020-04-05 00:03:50,Twitter for iPhone,6424,3334,en,False,January
575,"Looking to get the latest information on COVID-19? We’ve released a new app so you can stay up-to-date, check your symptoms at any time, and find answers to the questions that have probably crossed your mind. Get it here: https://t.co/WRtvNx9fDW",245,2020-04-04 22:23:22,Twitter for iPhone,2025,741,en,False,January
579,"The communities that need this funding have now been identified, and money is getting to them so they can keep people safe. For people from Victoria to Hamilton, and Regina to St. John’s, know that help has arrived. Get all the details here: https://t.co/Yy717LhTl7",265,2020-04-04 20:32:54,Twitter for iPhone,1603,246,en,False,January
580,"No one should have to choose between being somewhere they’re unsafe and risking getting COVID-19. So we’re investing in shelters for Indigenous women and children fleeing violence, sexual assault centres and women’s shelters, and shelters for those experiencing homelessness.",275,2020-04-04 20:32:54,Twitter for iPhone,14836,2368,en,False,January
583,"HAPPENING NOW: I’m giving my daily update on the COVID-19 outbreak and the Team Canada effort underway to make sure you, your family, and your business have what’s needed to pull through. Tune in for the latest: https://t.co/6MsBfPTtdm",235,2020-04-04 15:17:21,Twitter for iPhone,1350,195,en,False,January
586,"To every health care worker in Canada, we say thank you. I’m reminding people again to #StayHome this weekend to protect our front line workers. https://t.co/bJfs5NxpUS",168,2020-04-04 00:59:39,Twitter Media Studio,11352,2179,en,False,January
597,"We’re working with industry to produce the supplies our health care workers need - like masks, face shields, ventilators, and test kits. We reached an agreement with @AmazonCA to distribute these items to the provinces &amp; territories via @CanadaPostCorp &amp; other delivery partners.",287,2020-04-03 18:42:27,Twitter for iPhone,3632,668,en,False,January
601,"We’re doing everything we can to reach people and communities experiencing food insecurity, and we’re going to keep working with @FoodBanksCanada, @SalvationArmy, @SecondHarvestCA, @APlaceForFood, @BreakfastCanada, and others so they can too. More here: https://t.co/quzFJMlFib",277,2020-04-03 17:40:10,Twitter for iPhone,681,143,en,False,January
602,"With this funding, organizations across the country can buy and distribute the food they need. They can also hire temporary workers to make up for volunteer shortages. And they can buy personal protective equipment to keep themselves and their clients safe.",257,2020-04-03 17:40:10,Twitter for iPhone,1049,142,en,False,January
603,"With more Canadians turning to food banks and community organizations to feed their families, and with fewer food donations coming in, these organizations need our help more than ever. So we’re investing $100 million to make sure they can keep helping people in these tough times.",280,2020-04-03 17:40:09,Twitter for iPhone,6534,1162,en,False,January
607,"WATCH LIVE: We’re going to support Canada’s food banks and local food organizations to make sure vulnerable Canadians can get the food they need, when they need it most. Tune in now for the details: https://t.co/g9CXmr3jds",222,2020-04-03 15:16:09,Twitter for iPhone,859,184,en,False,January
609,"Canadians can count on their leaders working together as we get through this. Today, @cafreeland and I spoke with Premiers again about coordinating our efforts on all fronts. This is a Team Canada effort. 🇨🇦",207,2020-04-03 01:28:14,Twitter for iPhone,11989,1479,en,False,January
613,"Hi Noah! Great idea. So here’s what I’m thinking: If you send your questions in by 6PM EDT tomorrow and get your friends to do the same, @CPHO_Canada and I will answer some this weekend. Get all the info here: https://t.co/xDvWqBsAGl https://t.co/MjAoWabNX5",257,2020-04-02 22:49:22,Twitter for iPhone,7143,2321,en,False,January
617,"This still holds true and it’s very simple. If you don’t have to go outside, don’t. Because by staying home, you’ll keep yourself and so many others safe. #StayHome #TBT https://t.co/ATg4I2LP2W",193,2020-04-02 19:01:37,Twitter for iPhone,3028,747,en,False,January
621,HAPPENING NOW: I’m speaking from Rideau Cottage to give an update on our government’s response to the COVID-19 situation and the steps we’re taking to help you get through this difficult time. Watch it live: https://t.co/F1BCZiPeD2,231,2020-04-02 15:16:23,Twitter for iPhone,827,170,en,False,January
623,"On #WorldAutismAwarenessDay, I want to acknowledge the very real and unique challenges that people with autism and their families are currently facing. Now more than ever, let’s show each other kindness and compassion - and let’s celebrate everything that makes us who we are.",276,2020-04-02 13:00:28,Twitter for iPhone,7311,1879,en,False,January
631,To those working around the clock on the front lines - from farmers and seafood processors to delivery drivers and air cargo workers - we really can’t thank you enough for the work you’re doing. We’ll keep doing everything we can to support you and keep you safe.,263,2020-04-01 22:12:30,Twitter for iPhone,13307,1945,en,False,January
635,"Spoke on the phone with President @CyrilRamaphosa of South Africa today. We talked about the latest COVID-19 developments and shared with each other the measures we’re taking to keep people safe and support our economies. For more on our call, click here: https://t.co/WhtwS9jEet",279,2020-04-01 20:31:28,Twitter for iPhone,559,114,en,False,January
