state,newcases,newdeaths,month
Alabama,999,14,March
Alabama,6069,258,April
Alabama,10884,358,May
Alabama,20093,320,June
Alabama,49678,630,July
Alabama,38335,602,August
Alabama,28643,358,September
Alabama,37584,427,October
Alabama,57239,611,November
Alabama,111702,1249,December
Alaska,133,2,March
Alaska,220,5,April
Alaska,116,1,May
Alaska,663,4,June
Alaska,2543,9,July
Alaska,2400,13,August
Alaska,2632,18,September
Alaska,7540,25,October
Alaska,16160,38,November
Alaska,14333,83,December
Arizona,1,0,January
Arizona,0,0,February
Arizona,1297,24,March
Arizona,6350,296,April
Arizona,12288,586,May
Arizona,59463,739,June
Arizona,94709,2050,July
Arizona,27758,1336,August
Arizona,16645,623,September
Arizona,27451,325,October
Arizona,81084,661,November
Arizona,196783,2239,December
Arkansas,564,8,March
Arkansas,2717,53,April
Arkansas,3972,72,May
Arkansas,13524,137,June
Arkansas,21734,183,July
Arkansas,18713,344,August
Arkansas,22473,572,September
Arkansas,28493,556,October
Arkansas,45169,577,November
Arkansas,67779,1174,December
California,3,0,January
California,25,0,February
California,8555,184,March
California,41887,1873,April
California,62644,2185,May
California,119039,1841,June
California,270120,3139,July
California,210268,3798,August
California,108584,2878,September
California,114123,1763,October
California,301944,1548,November
California,1070668,6756,December
Colorado,2990,69,March
Colorado,12217,706,April
Colorado,11157,670,May
Colorado,6334,245,June
Colorado,14250,151,July
Colorado,10849,111,August
Colorado,13293,109,September
Colorado,36754,248,October
Colorado,126658,751,November
Colorado,101077,1819,December
Connecticut,3128,69,March
Connecticut,24572,2188,April
Connecticut,14501,1687,May
Connecticut,4313,378,June
Connecticut,3296,110,July
Connecticut,3069,33,August
Connecticut,4671,43,September
Connecticut,13657,108,October
Connecticut,46088,404,November
Connecticut,68413,975,December
Delaware,319,10,March
Delaware,4415,142,April
Delaware,4764,214,May
Delaware,1976,143,June
Delaware,3314,76,July
Delaware,2641,20,August
Delaware,3184,31,September
Delaware,4338,72,October
Delaware,10703,64,November
Delaware,21802,154,December
District of Columbia,495,9,March
District of Columbia,3828,215,April
District of Columbia,4478,242,May
District of Columbia,1526,85,June
