;#indiana;state;work;hoosier;indiana;hoosiers;indianas;states;award;care;new;local;people;high;build;play;2020;governors;conference;fellowship;opportunity;service;take;students;#sotu;live;helping;achieve;excited;together;team;honored;program;proud;@potus;recognizing;action;shoreline;great;@lgsuzannecrouch;welcome;agreement;strong;roads;birthdays;connect;@indot;ed;technology;costs;#indianas;economy;enter;working;background;wabash;possible;momentum;quality;forward;@higheredins;@southshoreline;focused;grateful;efforts;privilege;federal;honor;health;steps;@agrinovusin;educators;helped;focus;agbiosciences;shes;double;delivered;person;bold;talent;positioned;leaders;leadership;signed;full;manufacturing;empowering;role;future;talk;vital;commitment;12;whats;continue;along;simcox;resources;range
#indiana;0;2;2;2;2;6;0;2;2;2;0;0;2;4;2;0;0;0;2;2;2;0;2;0;6;0;0;4;0;2;0;4;0;2;6;0;0;0;0;0;2;2;2;0;0;0;0;2;2;2;0;2;0;2;4;2;0;0;0;0;0;0;0;0;0;0;2;2;2;0;4;0;0;2;4;2;0;2;2;0;2;2;2;2;0;2;2;2;0;4;2;0;2;0;2;0;0;2;0;0
state;0;0;4;2;4;0;2;2;0;0;2;4;4;2;4;0;0;0;4;0;2;2;2;0;0;2;0;2;2;4;0;2;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;4;2;0;2;2;0;2;2;2;4;2;2;2;2;2;0;2;2;0;2;0;0;2;0;0;0;2;0;4;0;0;2;0;0;0;2;2;0;0;0;4;0;0;0;0;2;0;0;0;0
work;0;0;0;0;4;2;4;2;0;0;4;4;4;0;6;4;2;2;4;0;0;0;0;2;0;6;2;2;0;2;2;2;0;0;0;2;2;2;2;0;2;0;0;2;0;0;2;0;2;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;2;2;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;2;2;0;0;0
hoosier;0;0;0;0;2;0;2;0;4;2;2;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;4;0;0;2;0;2;2;0;0;2;2;0;0;2;0;0;0;0;2;2;0;4;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;2;2;0;2;2;2;0;0;0;0;2;2;2;0;2;0;0
indiana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;2;0;0;2;0;2;0;0;0;2;0;0;2;2;0;0;0;0;0;0;2;2;2;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;2;2;0;0;0;2;2;0;0;0;2;0;0;2;0
hoosiers;0;0;0;0;0;0;2;0;0;2;2;2;0;4;2;2;0;2;0;2;0;0;2;0;2;2;0;0;2;0;2;0;2;2;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;2;2;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2
indianas;0;0;0;0;0;0;0;0;0;0;4;2;2;0;2;2;0;0;0;0;0;0;2;2;0;2;4;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;2;2;0;0;0;0;0;0;4;0;2;0;0;0;0;0;4;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0
states;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;2;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;2;4;0;2;0;0;0;0;2;2;2;2;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;2;2;2;0;0;0;0;2;0;0;0
award;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;2;0;4;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;4;0;0;0;2;2;0;0;0;0;2;2;0;0;2;0;0
care;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
