;president;united;trump;states;great;people;new;world;american;news;administration;government;state;democrats;national;media;working;federal;country;thank;clinton;corrupt;fake;work;support;history;law;house;best;help;2016;hard;trade;obama;may;fbi;republican;center;real;white;billion;massive;donald;health;man;following;big;party;bernie;police;job;good;greatest;military;attack;russia;policy;important;senator;hillary;north;year;americans;former;election;fight;friday;security;order;largest;night;department;presidential;nothing;closely;enforcement;able;war;saying;senate;court;rush;bill;threat;team;city;nation;announced;another;thing;sanders;international;part;washington;place;despite;congress;incredible;general;bad
president;0;22;32;22;4;6;8;2;4;10;6;2;4;4;4;10;6;4;0;2;0;8;8;2;4;8;4;4;0;0;2;4;4;6;4;8;0;0;0;4;0;6;6;0;0;2;0;2;2;0;4;4;4;0;4;4;0;0;2;0;4;2;2;2;6;0;6;4;8;0;4;0;2;4;2;2;2;2;2;2;0;4;0;4;2;0;2;0;0;0;2;8;0;2;2;2;6;4;2;2
united;0;0;12;68;6;16;0;10;6;2;6;6;4;2;0;6;4;2;4;4;0;2;2;0;6;6;4;0;0;0;2;0;6;2;0;2;0;2;0;0;4;0;4;2;0;2;0;0;0;0;2;4;4;4;4;4;4;2;0;0;2;2;2;0;2;0;2;0;0;4;2;0;0;0;2;2;0;4;2;0;2;0;0;2;0;0;4;0;2;2;0;2;0;0;0;4;2;2;0;0
trump;0;0;0;14;4;4;10;0;0;8;12;6;4;6;2;4;2;6;0;0;2;2;6;0;2;2;2;4;0;4;2;2;0;6;8;6;2;0;0;4;4;4;16;0;2;4;2;4;0;2;4;2;2;2;4;2;2;0;0;2;0;2;0;4;4;4;2;4;4;2;6;0;4;2;0;2;4;0;0;4;0;4;2;4;0;2;0;0;0;2;0;0;0;2;0;4;2;2;0;0
states;0;0;0;0;2;14;0;10;6;2;8;6;4;2;2;6;4;4;4;4;2;2;2;0;6;6;4;0;0;0;4;0;6;4;0;2;0;2;0;0;4;0;4;2;0;2;0;0;2;0;2;4;4;4;4;4;4;2;0;2;2;2;2;0;4;0;2;0;0;2;0;0;0;0;2;2;0;4;2;0;2;0;0;4;0;0;4;0;2;2;2;2;0;0;0;4;2;0;0;0
great;0;0;0;0;0;16;8;2;8;4;0;0;6;2;2;4;6;2;10;8;0;2;4;8;2;4;6;2;6;0;0;8;2;0;2;0;4;0;4;4;2;0;2;0;2;2;4;0;0;0;2;4;2;2;2;0;0;2;2;0;2;4;4;0;0;2;0;0;4;0;4;0;0;0;0;4;2;2;0;0;0;0;2;0;0;2;2;0;2;2;0;0;0;2;2;2;2;2;0;2
people;0;0;0;0;0;0;8;8;18;0;2;4;6;2;6;2;2;6;6;2;2;0;0;2;2;2;8;0;4;0;0;0;0;2;4;0;2;2;2;2;0;0;2;6;0;4;0;0;2;2;0;2;2;0;0;0;2;0;0;2;2;0;2;0;0;0;2;2;4;2;0;2;0;2;0;4;2;4;0;2;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;2;0;0;0
new;0;0;0;0;0;0;0;6;6;0;0;2;4;2;6;0;0;4;0;0;4;6;0;2;0;2;0;0;0;0;0;4;4;0;4;0;4;2;0;2;2;0;2;2;2;2;2;2;2;0;0;2;2;0;0;0;0;2;2;2;0;2;0;0;0;4;0;2;2;2;6;0;2;2;0;0;0;0;0;2;0;4;2;0;2;2;2;2;0;0;2;0;0;2;0;0;2;0;0;0
world;0;0;0;0;0;0;0;0;4;0;4;6;2;0;2;0;4;2;4;0;2;2;0;0;0;2;0;4;2;2;2;0;4;4;0;0;0;2;0;2;2;0;0;4;0;2;0;0;0;0;0;0;6;2;2;0;2;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;2;0;2;2;0;2;0;0;2;0;0;0;6;4;0;4;0;0;0;0;0;0;0;0;0;0
american;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;0;2;4;0;0;0;2;0;0;2;0;0;4;0;0;0;2;2;2;0;2;4;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;2;0;2;0;0;2;2;0;0;0;0;0;2;2;0;0;0;2;0;0;2;2;2;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;2;0;2;2
news;0;0;0;0;0;0;0;0;0;0;4;2;2;4;2;8;6;2;0;2;4;4;20;0;0;2;0;6;2;0;0;6;0;0;2;0;0;2;2;4;0;0;4;0;0;2;2;0;0;0;0;0;2;0;2;0;0;0;2;2;0;0;0;0;4;0;2;0;0;0;0;4;0;0;0;0;2;0;4;0;2;4;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0
administration;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;2;2;2;0;2;2;4;0;0;2;0;6;0;2;0;0;4;12;0;2;0;0;0;4;4;2;0;0;0;0;0;0;0;0;2;0;0;0;4;2;4;2;0;0;0;0;0;4;2;6;0;2;2;2;0;0;0;2;0;0;2;2;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2
