;minnesotans;minnesota;home;health;stay;safe;covid19;tune;people;local;thank;state;care;update;justice;communities;work;safety;lives;together;community;protect;plan;please;minnesotas;law;businesses;#staysafemn;public;testing;continue;response;pandemic;signed;order;live;workers;year;help;situation;life;station;means;curfew;support;honor;week;take;rebuild;critical;providing;#mnstrong;minneapolis;george;across;tested;paul;provide;#stayhomemn;news;systemic;change;seek;urge;social;good;protecting;mask;enforcement;times;facilities;wear;food;part;ensure;st;place;announced;making;media;tv;family;night;bill;grateful;improve;peace;service;restore;schools;supreme;serve;safely;action;strong;security;court;spread;floyds;slow
minnesotans;0;20;24;22;12;22;18;12;8;16;14;8;10;12;4;8;10;10;16;6;10;10;12;6;8;10;4;6;4;4;8;10;8;10;10;2;4;6;10;4;8;6;2;6;8;4;8;6;2;4;2;8;2;0;8;8;4;8;6;10;2;0;2;8;0;2;2;4;2;2;2;6;6;2;4;2;4;4;8;2;6;0;2;2;2;2;6;4;6;2;0;0;4;2;0;2;0;0;0;0
minnesota;0;0;10;8;4;10;4;4;8;6;10;12;6;0;8;4;12;2;6;6;6;4;2;0;4;8;6;4;8;0;2;4;2;4;4;8;0;2;0;0;2;0;2;2;2;8;6;4;0;2;0;6;0;0;2;0;2;4;4;4;2;4;2;4;4;0;2;0;4;6;2;2;0;4;2;0;6;4;4;0;0;2;0;2;2;0;4;4;2;2;4;6;0;0;2;0;4;2;0;2
home;0;0;0;6;20;12;2;0;6;2;4;2;4;0;2;6;2;0;4;0;4;4;4;10;2;4;0;4;4;2;6;0;0;2;6;2;0;4;2;2;0;0;4;4;2;2;4;6;0;2;0;0;0;0;0;6;2;2;6;0;0;0;0;2;4;2;0;4;2;0;0;10;0;2;2;0;2;4;6;0;0;2;2;0;0;0;2;0;6;0;0;0;2;2;2;0;0;4;0;4
health;0;0;0;0;4;0;4;4;6;2;8;0;6;4;0;0;8;10;6;0;4;4;2;2;2;2;0;4;12;2;0;4;6;8;4;0;6;2;8;0;2;0;0;0;2;0;2;4;0;2;0;2;0;0;2;2;0;2;2;0;0;0;2;0;2;0;2;2;0;0;2;4;0;0;4;0;0;0;4;0;0;0;0;2;0;4;0;0;0;0;0;0;4;2;2;2;0;0;0;0
stay;0;0;0;0;0;12;2;0;6;0;0;0;2;0;0;2;0;0;4;2;2;2;4;4;0;0;2;6;2;2;6;0;2;0;4;0;0;0;2;0;0;0;2;2;2;0;0;4;0;2;0;0;0;0;0;6;0;0;4;0;0;0;0;0;6;0;0;4;0;2;0;10;4;4;0;0;0;4;4;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;2;2;0;4;0;4
safe;0;0;0;0;0;0;2;4;2;8;4;4;2;4;0;6;4;0;0;2;0;0;8;4;0;6;2;2;0;0;4;2;2;4;4;0;0;4;2;0;0;4;0;4;0;2;4;2;0;4;0;6;0;0;2;2;2;4;4;4;0;0;0;4;2;0;0;2;2;4;2;2;2;4;0;0;2;2;4;0;4;0;0;2;0;0;2;2;4;2;0;0;0;0;0;4;0;0;0;0
covid19;0;0;0;0;0;0;0;10;0;0;0;2;2;8;0;0;2;4;4;0;4;2;2;0;6;2;2;2;0;4;6;14;2;2;2;2;0;0;0;0;4;0;2;0;2;2;0;2;0;0;2;0;0;0;0;4;0;2;2;0;0;0;0;0;4;0;0;0;0;0;2;2;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2
tune;0;0;0;0;0;0;0;0;0;12;0;0;2;24;2;0;0;4;0;0;0;2;6;0;2;0;0;0;0;0;0;14;0;0;0;6;0;0;0;8;0;12;0;0;0;0;0;0;0;0;10;0;6;0;0;0;6;6;0;6;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;6;0;0;0;8;6;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0
people;0;0;0;0;0;0;0;0;0;0;2;2;0;0;6;4;6;2;4;6;2;4;2;4;0;0;4;2;2;0;2;0;2;2;2;2;2;0;0;0;4;0;0;0;4;0;2;2;2;2;0;4;0;2;2;4;0;2;0;0;0;0;2;2;0;0;2;2;0;2;2;4;0;0;2;0;2;2;2;0;0;2;0;0;2;0;0;2;0;0;2;0;4;2;0;2;2;0;2;0
local;0;0;0;0;0;0;0;0;0;0;2;8;0;14;0;6;2;0;0;2;2;2;8;0;0;2;2;0;2;2;0;0;2;0;2;0;2;0;0;8;0;14;0;2;4;0;0;0;0;0;6;0;6;0;6;0;8;6;0;10;0;2;0;4;0;0;0;0;2;0;2;0;0;0;2;6;0;0;0;8;8;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0
