;trump;united;american;president;people;states;great;help;working;thank;billion;city;police;real;security;government;5;military;media;bad;new;court;stop;nations;donald;department;man;another;bernie;support;million;radical;saudi;character;full;country;called;announced;presidential;announce;trying;death;political;social;senator;may;given;broncos;air;minister;left;closely;party;hard;national;win;week;china;protesters;campaign;together;super;report;force;next;blizzard;making;story;press;winning;supporting;looking;calling;live;supreme;star;building;proud;wisconsin;judge;thought;told;northern;network;foreign;show;russia;serious;news;washington;federal;important;house;month;downtown;high;end;iran;game;arabia
trump;0;6;6;10;2;4;0;4;2;0;2;0;0;2;0;0;0;2;2;2;0;0;2;2;6;2;0;0;0;0;0;2;0;0;0;4;2;4;2;0;0;2;2;0;2;2;2;0;0;0;4;2;2;2;0;0;0;2;0;4;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;4;2;0;0;2;0;0;0;2;2;0;0;2;0;2;0;2;0;2;0;0;0
united;0;0;2;12;4;16;0;2;0;0;0;0;0;0;2;2;0;2;2;0;0;0;0;6;2;0;0;0;2;2;0;2;0;0;0;6;2;0;2;2;0;0;6;0;0;0;0;0;0;0;2;2;0;2;0;0;0;2;2;0;2;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;2;0;0;0;2;0;2;4;0;0;2;0;0;0;0;2;0;0;0;4;0;0;0
american;0;0;0;4;10;2;2;2;4;0;0;0;0;4;2;2;0;2;2;0;0;0;0;0;2;2;0;0;0;2;0;2;0;2;4;0;0;2;2;0;0;2;0;0;2;0;2;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;4;0;0;0
president;0;0;0;0;4;8;0;2;2;0;0;0;2;0;2;2;0;0;2;2;0;0;0;4;6;0;0;0;0;0;0;0;0;2;2;2;0;0;2;2;0;2;4;0;0;0;0;0;0;0;2;4;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;2;0;0;0;2;2;0;4;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0
people;0;0;0;0;0;4;2;2;4;0;0;2;2;0;4;2;0;2;0;2;0;0;2;0;2;0;0;0;0;2;0;2;0;2;4;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;2;0;2;0;0;0;0;4;0;2;0;0;0;2;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0
states;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;6;2;0;2;0;0;0;4;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;2;0;2;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;4;0;0;2;0;0;0;0;2;0;0;0;4;0;0;0
great;0;0;0;0;0;0;0;2;2;4;0;0;0;0;0;0;2;2;0;4;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;4;2;0;2;0;2;2;0;0;0;0;0;2;0;0;0;2;2;0;0;0;2;0;0;0;2;0;2;2;2;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
help;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
working;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;2;0;0;0;0;2;0;0;0;2;2;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;6;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
billion;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;2;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2
city;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
police;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
real;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
security;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
government;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;0;0;0;0;0;0;0;2;2;0;2;2;0;0;0;2;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0
5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0
