;#covid19;phase;pennsylvanians;pennsylvania;counties;reopening;help;health;yellow;people;businesses;home;masks;guidance;safe;continue;thank;safety;stay;mask;green;food;work;wear;commonwealth;vote;pandemic;pa;reopen;place;plan;move;red;restrictions;resources;may;care;social;june;2;lives;public;spread;distancing;election;protect;new;business;cases;mail;still;unemployment;assistance;order;together;primary;available;county;sign;please;paians;register;working;making;find;virus;follow;heres;wearing;pennsylvanian;everyone;possible;learn;support;workers;take;signed;provide;registration;update;across;program;risk;#maskuppa;contact;million;sacrifices;ballot;equipment;prevent;face;covid19;employees;community;violence;required;part;medical;meals;12
#covid19;0;36;70;56;38;42;50;44;30;46;30;48;34;24;24;42;36;20;38;24;22;22;32;22;24;2;26;28;28;14;14;14;20;22;26;12;14;24;4;8;28;26;30;20;0;26;24;12;38;0;22;10;14;18;10;2;20;10;4;20;20;0;14;20;8;20;10;14;20;16;10;12;8;16;4;14;6;10;0;2;12;8;10;6;16;14;16;0;6;18;4;2;6;6;2;6;14;16;8;2
phase;0;0;4;18;74;62;0;10;88;6;32;10;16;34;6;14;0;28;8;4;52;0;0;4;2;0;0;6;8;28;6;44;48;36;0;18;12;12;14;0;4;8;6;10;0;0;12;10;4;0;16;0;0;0;0;0;4;12;0;6;4;0;2;6;0;4;16;6;10;2;4;6;2;0;2;4;0;0;0;0;0;0;0;0;2;0;2;0;2;4;0;6;0;0;0;8;0;0;0;10
pennsylvanians;0;0;0;12;6;8;18;18;6;12;6;18;18;6;32;22;38;2;8;18;4;10;8;18;24;4;16;4;12;6;8;6;2;2;20;4;6;10;4;2;14;8;6;8;4;10;8;4;8;2;8;8;6;10;12;2;8;2;4;8;2;2;8;10;2;14;2;0;10;2;8;14;2;10;2;6;2;2;0;4;16;2;6;14;6;6;14;0;4;10;2;8;4;6;6;4;8;6;2;0
pennsylvania;0;0;0;0;24;34;10;12;12;32;20;18;20;10;18;10;10;10;12;12;8;0;16;10;8;2;0;2;20;12;14;10;14;12;2;6;10;10;4;4;6;14;8;10;2;8;6;18;10;2;6;0;4;6;6;4;6;0;2;2;0;0;4;4;6;0;4;4;10;2;2;2;6;0;4;2;2;0;0;0;10;0;6;10;10;4;6;0;4;6;6;6;2;4;2;14;2;2;0;2
counties;0;0;0;0;0;52;2;10;64;4;18;14;10;22;6;10;0;12;14;2;30;2;2;4;2;0;0;6;12;6;8;38;44;18;0;20;0;14;10;0;2;10;10;12;0;0;12;6;6;2;10;0;2;8;2;0;4;4;0;4;6;0;4;4;2;6;0;2;10;0;6;2;8;0;2;2;2;0;0;0;0;0;4;0;0;0;2;0;0;6;0;6;0;0;0;0;0;2;0;10
reopening;0;0;0;0;0;0;6;12;52;12;16;12;4;18;8;16;4;22;12;4;34;2;8;2;8;0;8;8;10;16;22;30;30;22;2;12;4;2;6;2;2;10;4;2;0;0;6;4;10;0;10;0;2;2;4;0;2;8;0;2;4;0;2;2;0;2;6;6;8;2;4;2;8;0;0;2;0;2;0;0;0;0;4;0;2;2;2;0;2;4;0;4;0;0;0;0;0;2;0;10
help;0;0;0;0;0;0;0;14;2;20;16;10;16;10;8;4;12;4;8;12;2;20;2;14;14;0;14;12;4;2;10;0;4;0;24;0;4;0;0;2;6;2;16;0;0;2;4;6;4;0;0;4;10;12;0;0;16;2;0;6;10;0;0;6;8;2;2;2;4;14;2;2;4;12;6;4;4;8;0;0;2;12;2;6;6;6;6;0;6;10;4;8;2;2;4;2;0;2;4;2
health;0;0;0;0;0;0;0;0;8;6;0;8;14;12;10;12;4;26;6;12;6;4;8;12;4;0;8;16;8;6;12;6;4;6;14;2;28;12;0;0;4;22;12;12;0;10;4;4;8;0;12;0;0;4;4;0;8;0;0;12;0;0;4;0;2;10;4;6;10;2;6;2;0;8;12;6;2;2;0;0;8;0;8;2;4;2;2;0;4;4;4;6;6;6;0;0;2;4;0;4
yellow;0;0;0;0;0;0;0;0;0;6;24;10;14;26;6;14;0;22;8;4;34;2;0;6;4;0;0;6;10;24;6;34;54;28;0;22;12;12;6;0;2;6;6;10;0;0;12;6;6;0;10;0;0;0;0;0;4;6;0;6;6;0;0;4;0;4;8;6;8;2;2;6;2;0;2;2;0;0;0;0;0;0;0;0;2;0;2;0;0;6;0;4;0;0;0;4;0;0;0;14
people;0;0;0;0;0;0;0;0;0;0;12;12;14;6;12;8;6;6;8;10;2;4;8;10;10;0;8;8;2;4;6;6;2;12;4;8;2;10;0;2;14;14;8;10;0;12;4;10;6;0;6;0;4;6;8;0;4;0;0;0;0;0;6;0;2;4;0;0;4;6;2;4;2;2;0;6;0;2;0;0;4;4;2;6;6;4;6;0;0;4;4;2;0;2;6;6;2;0;0;2
