;colorado;home;violence;george;state;covid19;floyd;coloradans;hard;peaceful;peacefully;join;news;facebook;work;command;thank;together;space;important;murder;protest;hope;strict;unjust;damage;justice;demonstrations;still;killing;turn;proud;#covid19colorado;best;unfortunately;force;president;#doingmypartco;working;stand;information;help;live;facts;safe;precautions;lost;air;salons;twitter;times;difficult;video;senseless;new;states;symptoms;people;city;doctor;inperson;close;protesters;announcement;law;began;sources;granted;class;part;2021;extremely;main;sacrifice;announced;welcomed;hear;unrest;ask;star;educate;allowed;tomorrow;#thankblue;heard;moment;photo;industry;victims;dedication;grief;visit;local;mask;prestigious;house;individuals;night;covid19learn;tag
colorado;0;4;0;0;4;0;0;2;4;0;0;0;4;0;2;6;4;4;6;2;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;4;4;2;2;0;2;0;0;2;0;0;0;4;0;0;2;2;2;0;0;2;0;0;0;0;0;0;0;2;2;0;2;0;0;0;2;0;0;2;0;2;2;0;0;0;2;0;0;2;0;0;2;2;0;0;0;0;2;0;2;2;0;0;0;0
home;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;4;0;0;4;0;0;0;0;4;0;0;0;0;2;0;0;2;0;4;0;2;2;0;0;0;0;0;2;0;0;4;0;2;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0
violence;0;0;0;4;4;0;4;2;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
george;0;0;0;0;2;0;8;4;0;4;2;2;0;0;2;0;0;0;0;0;4;4;2;0;4;0;2;4;2;4;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;4;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0
state;0;0;0;0;0;0;2;0;2;0;2;0;4;0;0;2;0;2;2;2;0;2;0;0;0;0;0;0;2;2;2;0;0;0;0;2;2;2;2;0;2;0;0;4;0;0;0;2;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0
covid19;0;0;0;0;0;0;0;2;0;0;0;2;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;2;2;2;0;0;0;0;0;0;2;0;0;0;0;2;2;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0
floyd;0;0;0;0;0;0;0;4;0;4;2;2;0;0;2;0;0;0;0;0;4;4;2;0;4;0;2;4;2;4;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;4;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0
coloradans;0;0;0;0;0;0;0;0;2;2;2;2;0;0;4;0;2;0;0;0;4;0;2;0;4;0;2;2;0;0;0;0;2;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0
hard;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0
peaceful;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;2;2;2;0;2;2;2;4;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
