Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,isRT,tco,Language,Month,TweetsTokenized
"If you’ve been to Vancouver but never visited the @PunjabiMarket, you’re missing out. Today marks their 50th anniversary, and I’d like to congratulate everyone who played a part in reaching this incredible milestone. I can’t wait to come back and visit you all again! #PM50",297,2020-05-31 23:02:25,Twitter for iPhone,2491,344,JustinTrudeau,1267229979449966594,False,https://t.co/YsWHvESqDh,en,May,"['youve', 'vancouver', 'visited', '@punjabimarket', 'missing', 'marks', '50th', 'anniversary', 'id', 'congratulate', 'everyone', 'played', 'part', 'reaching', 'incredible', 'milestone', 'cant', 'wait', 'visit', '#pm50']"
"For decades, Michel Gauthier was a passionate advocate and fierce champion for the people of Roberval–Lac-Saint-Jean and Quebec. My thoughts are with his family, friends, and former colleagues as they mourn his passing.",219,2020-05-31 14:46:23,Twitter for iPhone,1222,126,JustinTrudeau,1267105145638268929,False,,en,May,"['decades', 'michel', 'gauthier', 'passionate', 'advocate', 'fierce', 'champion', 'people', 'robervallacsaintjean', 'quebec', 'thoughts', 'family', 'friends', 'former', 'colleagues', 'mourn', 'passing']"
"Thank you. To those who are working on the front lines and not letting anything stop them, and to those who are volunteering and helping those who need it most, thank you so much. In Montreal and across the country, your efforts are critical. #riennarretelentraide",288,2020-05-30 20:02:44,Twitter for iPhone,2121,280,JustinTrudeau,1266822370527936512,False,https://t.co/Rg8Rlf1GDa,en,May,"['thank', 'working', 'front', 'lines', 'letting', 'anything', 'stop', 'volunteering', 'helping', 'thank', 'montreal', 'across', 'country', 'efforts', 'critical', '#riennarretelentraide']"
"An estimated 1 in 385 Canadians live with MS. On this #WorldMSDay, whether you’re getting active or getting creative, @MSSocietyCanada wants to know how you’re showing your support and challenging MS. Learn more here and let’s #MakeMSMatter together:",298,2020-05-30 14:35:36,Twitter for iPhone,1280,310,JustinTrudeau,1266740044817203206,False,https://t.co/OJRjMwGRxq,en,May,"['estimated', '1', '385', 'canadians', 'live', 'ms', '#worldmsday', 'whether', 'active', 'creative', '@mssocietycanada', 'wants', 'showing', 'support', 'challenging', 'ms', 'learn', 'lets', '#makemsmatter', 'together']"
"For more information on the new supports we announced today and the steps we’re taking to help Indigenous people get through this pandemic, click the link below:",185,2020-05-29 17:08:31,Twitter for iPhone,513,80,JustinTrudeau,1266416139476893701,False,https://t.co/c3wmTeA32E,en,May,"['information', 'new', 'supports', 'announced', 'steps', 'taking', 'help', 'indigenous', 'people', 'pandemic', 'click', 'link']"
"Today, we’re announcing more support for Indigenous peoples and communities across the country that will:
✔️ improve access to public health and mental health resources
✔️ help families pay for groceries and make ends meet
✔️ fund new shelters for women and girls fleeing violence",280,2020-05-29 17:08:30,Twitter for iPhone,3881,526,JustinTrudeau,1266416137916551173,False,,en,May,"['announcing', 'support', 'indigenous', 'peoples', 'communities', 'across', 'country', 'improve', 'access', 'public', 'health', 'mental_health', 'resources', 'help', 'families', 'pay', 'groceries', 'ends', 'meet', 'fund', 'new', 'shelters', 'women', 'girls', 'fleeing', 'violence']"
"I’m giving an update on the steps we’re taking to keep you safe from COVID-19, and announcing new funding to help Indigenous families and communities during this crisis. Tune in now for the details:",222,2020-05-29 14:32:09,Twitter for iPhone,831,134,JustinTrudeau,1266376789707747333,False,https://t.co/CswTQU28bh,en,May,"['giving', 'update', 'steps', 'taking', 'safe', 'covid19', 'announcing', 'new', 'funding', 'help', 'indigenous', 'families', 'communities', 'crisis', 'tune', 'details']"
"Every day, @UN peacekeepers lay the groundwork for true and lasting peace. They protect the most vulnerable, promote human rights, and are on the front lines in the fight against COVID-19. Today, we thank them for all they do and the sacrifices they make.",279,2020-05-29 13:01:45,Twitter for iPhone,1137,221,JustinTrudeau,1266354041950539777,False,https://t.co/vDVElzJTUt,en,May,"['@un', 'peacekeepers', 'lay', 'groundwork', 'lasting', 'peace', 'protect', 'vulnerable', 'promote', 'human', 'rights', 'front', 'lines', 'fight', 'covid19', 'thank', 'sacrifices']"
"This evening, @cafreeland and I touched base with the premiers again. We talked about the need to take better care of the people who built our country, support jobs and businesses, and more. We’re focused on working together to help you and your family right now.",263,2020-05-29 03:04:11,Twitter for iPhone,3855,449,JustinTrudeau,1266203656371744768,False,,en,May,"['evening', '@cafreeland', 'touched', 'base', 'premiers', 'talked', 'take', 'care', 'people', 'built', 'country', 'support', 'jobs', 'businesses', 'focused', 'working', 'together', 'help', 'family']"
"We all have the same goal right now: ending this pandemic. And we know that ramping up the development and distribution of vaccines, testing, and treatment is the way to do it. That’s why we’re stepping up and supporting #GlobalGoalUnite in the fight against COVID-19.",292,2020-05-28 21:04:03,Twitter for iPhone,1509,310,JustinTrudeau,1266113025544785923,False,https://t.co/vss7R8a3IT,en,May,"['goal', 'ending', 'pandemic', 'ramping', 'development', 'distribution', 'vaccines', 'testing', 'treatment', 'stepping', 'supporting', '#globalgoalunite', 'fight', 'covid19']"
"The only way the global economy can recover, and the only way our own economy can bounce back, is by doing this work together. So that’s what we’ll do - and we’ll report back with concrete proposals to the world’s economic challenges by mid-July. There’s no time to lose.",271,2020-05-28 19:30:50,Twitter for iPhone,1175,131,JustinTrudeau,1266089567775526914,False,,en,May,"['global', 'economy', 'recover', 'economy', 'bounce', 'work', 'together', 'report', 'concrete', 'proposals', 'worlds', 'economic', 'challenges', 'midjuly', 'theres', 'lose']"
"There’s no doubt this work is necessary for small island states and developing countries - but it’s important for Canada too. Because across our country, jobs and businesses depend on the health and stability of economies around the world.",239,2020-05-28 19:30:50,Twitter for iPhone,1041,106,JustinTrudeau,1266089566454366209,False,,en,May,"['theres', 'doubt', 'work', 'necessary', 'island', 'states', 'developing', 'countries', 'important', 'canada', 'across', 'country', 'jobs', 'businesses', 'depend', 'health', 'stability', 'economies', 'world']"
"That’s why @AntonioGuterres, @AndrewHolnessJM, and I cohosted a virtual meeting today with leaders and organizations from around the world. We heard about current economic challenges, ideas for moving forward, and what more we can all do to help those who need it most.",269,2020-05-28 19:30:49,Twitter for iPhone,363,46,JustinTrudeau,1266089561953832961,False,,en,May,"['@antonioguterres', '@andrewholnessjm', 'cohosted', 'virtual', 'meeting', 'leaders', 'organizations', 'world', 'heard', 'current', 'economic', 'challenges', 'ideas', 'moving', 'forward', 'help']"
"All countries are being tested by the COVID-19 pandemic. Lives and livelihoods everywhere are being threatened by the virus and its impacts. In order to successfully rebuild our economies, we need to work together - and we need to think outside the box.",253,2020-05-28 19:30:48,Twitter for iPhone,5672,762,JustinTrudeau,1266089558569082882,False,,en,May,"['countries', 'tested', 'covid19', 'pandemic', 'lives', 'livelihoods', 'everywhere', 'threatened', 'virus', 'impacts', 'order', 'successfully', 'rebuild', 'economies', 'work', 'together', 'think', 'outside', 'box']"
