;president;west;governor;#wvgov;@realdonaldtrump;virginia;state;@jimjusticewv;life;trump;friend;#wvpol;jobs;#sotu;best;unborn;great;support;virginians;impeachment;people;#prolife;economic;tonight;vote;jim;states;welcome;@wvgop;country;law;mine;bills;proud;forward;desk;child;union;virginias;justice;watch;across;new;economy;delegate;recent;bill;signing;hand;created;improve;democratled;#sotu2020;endorsement;proudly;#wvlegis;senate;yesterday;defend;announced;@wv4life;address;#keepamericagreat;seen;prolife;policies;joined;work;@cline2;respected;incumbent;health;falling;nearly;voted;another;sign;largest;farce;@macwarnerforwv;crime;@sencapito;part;precious;endorses;government;surging;electronically;comes;underserved;executive;confidence;set;share;morgantown;@deanjeffries4wv;wake;fall;close;america
president;0;12;8;8;16;10;6;6;2;8;6;4;6;6;4;0;4;4;2;6;2;2;2;4;2;2;2;0;4;4;0;4;2;4;2;0;0;4;2;2;2;0;0;4;2;4;2;2;2;2;2;4;4;0;0;2;4;0;0;0;2;4;4;0;2;4;2;4;2;2;0;0;2;0;2;0;0;0;2;2;2;2;0;0;0;0;2;0;0;0;0;2;0;2;2;2;0;0;2;2
west;0;0;8;12;8;14;4;6;6;8;6;6;4;8;4;0;4;4;6;4;4;4;2;2;0;4;2;2;2;2;0;4;0;4;2;2;0;0;4;4;2;4;4;2;2;2;0;2;2;4;4;4;4;4;2;0;0;2;0;4;4;0;4;2;4;2;2;2;0;0;2;2;0;2;2;2;0;2;2;0;0;2;2;0;2;0;0;0;0;2;2;0;2;0;0;0;0;2;2;2
governor;0;0;0;14;6;4;4;12;10;2;2;6;2;0;4;4;0;6;4;4;0;6;0;0;2;4;4;0;2;4;2;2;0;0;2;4;4;2;0;4;0;2;0;0;0;2;2;2;0;0;0;2;0;4;4;0;2;0;4;2;4;2;2;0;4;0;0;0;0;2;2;0;2;0;0;0;2;2;2;0;2;0;0;2;2;0;2;0;2;0;0;2;0;0;0;0;0;0;2;0
#wvgov;0;0;0;0;4;8;6;10;10;2;2;8;2;0;4;4;2;4;4;2;4;6;2;0;2;4;2;2;2;4;4;2;4;0;2;4;4;2;0;4;2;4;2;0;4;0;4;4;0;0;2;2;0;4;4;4;2;4;4;2;4;2;2;0;4;0;4;2;2;2;2;2;2;0;0;0;2;2;2;2;2;0;2;2;2;2;2;2;2;2;2;2;0;0;0;2;2;0;2;0
@realdonaldtrump;0;0;0;0;0;6;4;4;0;6;6;4;4;4;4;0;4;2;2;6;2;0;2;4;2;2;2;0;4;4;0;4;0;4;2;0;0;4;2;2;2;0;0;4;0;2;0;0;2;0;2;4;2;0;0;0;2;0;0;0;0;4;4;0;0;4;0;2;0;2;0;0;2;0;2;0;0;0;2;0;2;2;0;0;0;0;2;0;0;0;0;2;0;2;2;0;0;0;2;2
virginia;0;0;0;0;0;0;0;2;2;6;4;4;2;4;2;0;2;2;0;4;4;2;2;0;0;2;0;2;2;2;0;4;0;2;0;0;0;0;0;2;2;2;2;0;2;2;0;0;0;2;2;4;4;0;0;0;0;2;0;0;2;0;4;0;2;2;2;2;0;0;0;2;0;0;2;0;0;0;2;0;0;2;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;2
state;0;0;0;0;0;0;0;4;2;0;0;2;4;2;4;0;0;2;2;0;0;2;2;2;0;0;0;0;0;2;0;0;2;0;4;2;0;4;2;0;2;2;2;0;2;0;2;4;0;2;0;0;0;2;2;2;2;0;0;2;0;4;0;2;0;2;2;2;2;2;0;0;2;2;0;2;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;2;2;0;0;2;0;2;0;0
@jimjusticewv;0;0;0;0;0;0;0;0;8;0;0;4;2;0;2;2;0;6;4;2;0;6;0;0;2;2;4;0;0;2;0;0;0;0;2;2;2;2;0;2;0;2;0;0;0;2;0;2;0;0;0;0;0;4;2;0;2;0;2;2;4;2;0;0;4;0;0;0;0;2;2;0;2;0;0;0;0;2;0;0;2;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0
life;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;4;4;0;0;6;0;0;0;2;2;0;0;0;2;0;0;0;2;4;4;0;0;2;0;2;0;0;0;0;2;2;0;0;0;0;0;4;4;0;0;0;4;2;4;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
trump;0;0;0;0;0;0;0;0;0;0;6;2;2;4;2;0;2;0;2;4;0;0;0;2;0;2;0;0;2;2;0;4;0;4;0;0;0;0;2;2;0;0;0;2;0;2;0;0;2;2;2;4;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
friend;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;0;2;4;0;0;0;2;0;2;0;0;2;2;0;4;0;4;0;0;0;0;2;2;0;0;0;2;0;0;0;0;2;0;2;4;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
#wvpol;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;2;0;2;2;2;0;0;0;0;4;2;2;2;4;0;2;0;0;0;0;0;2;0;4;2;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;2;2;2;0;2;0;0;0;0;2;2;0;2;0;0;0;0;2;2;0;2;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0
jobs;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;2;0;0;0;2;2;0;2;0;0;0;4;0;0;2;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;2;0;0;2;2;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;2;2;2;0;0;2;0;0
#sotu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;2;2;0;2;0;0;2;4;2;0;4;0;0;0;0;0;0;2;0;0;0;2;0;2;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2
best;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;4;0;2;0;0;0;0;0;2;2;2;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;2;2;2;0;0;0;0;0;2;0;0;2;2;0;2;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;2;2;0
unborn;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
great;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;2;2;0;0;0;0;2;0;0;0;0;2;0;2;0;0;4;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;0;0;2;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;2;2;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
virginians;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;2;0;0;0;0;0;0;2;2;2;0;0;2;2;0;2;0;2;0;0;0;2;2;0;2;0;0;4;2;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
impeachment;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;2;0;4;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
