;thank;covid19;update;people;#covid19;ontario;#ontariospirit;continue;stay;april;visit;work;2020;working;workers;daily;updates;safe;help;check;home;health;frontline;please;support;businesses;province;ontarians;together;care;premier;vulnerable;ontarios;critical;great;across;medical;provides;ford;fight;families;everyone;#strongertogether;part;lives;essential;million;action;learn;community;needs;heroes;tune;women;morning;men;safety;access;incredible;cant;protect;week;making;food;provide;hard;family;healthy;best;emergency;government;grateful;ones;ensure;announced;online;loved;seniors;economy;nova;victims;challenging;stop;important;spread;virus;providing;difficult;remember;spoke;scotia;challenges;may;times;supplies;plan;give;stronger;wish;collective
thank;0;8;0;20;18;16;24;10;10;2;0;22;0;38;26;0;0;12;10;0;10;4;20;8;12;8;14;8;8;16;2;12;6;10;12;18;8;0;0;10;4;8;10;8;2;6;0;6;6;4;0;16;0;12;2;12;0;14;14;4;0;2;4;8;2;14;2;4;4;0;2;16;6;4;2;0;6;2;0;0;0;6;4;8;2;0;4;2;0;4;0;4;0;6;10;0;8;2;0;2
covid19;0;0;88;6;2;6;4;8;4;50;50;4;50;2;2;52;50;2;8;50;2;8;4;2;2;4;8;6;6;2;28;2;4;8;8;4;4;28;28;6;2;0;0;0;2;6;2;2;0;0;2;2;8;4;10;4;2;4;2;0;4;0;0;0;6;0;4;2;2;0;6;2;0;0;2;8;0;2;2;0;0;4;6;0;10;2;2;2;0;2;0;4;0;0;2;2;0;0;2;2
update;0;0;0;0;10;0;2;0;0;50;50;0;50;0;0;50;50;0;0;50;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;28;28;0;0;0;0;0;0;0;0;0;0;2;0;0;18;0;12;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0
people;0;0;0;0;16;28;8;6;8;0;2;8;0;8;8;2;0;10;14;0;8;8;6;6;10;8;10;12;10;4;2;6;4;8;16;4;6;0;0;4;6;2;4;0;10;0;8;2;10;6;0;4;0;2;2;2;2;6;2;4;2;6;6;0;0;0;2;2;4;0;6;6;0;2;6;4;0;2;2;8;4;2;0;0;0;6;2;2;4;2;8;4;2;2;4;4;6;2;4;2
#covid19;0;0;0;0;0;16;6;24;18;0;0;8;2;20;14;0;2;16;6;0;10;10;8;14;8;8;8;12;4;8;0;10;4;12;2;10;4;0;0;18;0;6;2;12;4;2;10;8;2;2;4;2;12;0;8;0;4;4;2;6;4;4;6;4;10;6;4;10;8;8;2;4;2;2;8;6;2;4;0;0;0;4;6;0;6;12;2;2;2;4;0;2;2;0;0;8;8;0;0;8
ontario;0;0;0;0;0;0;8;12;12;0;0;12;2;6;4;0;0;10;12;0;6;10;0;6;8;10;10;10;12;2;2;2;8;6;8;8;2;0;0;4;8;4;0;2;6;0;10;0;4;2;6;0;0;2;2;2;4;4;4;8;2;0;0;2;0;2;2;2;2;2;4;4;2;6;6;2;2;0;2;0;2;10;2;2;0;6;0;0;6;4;0;4;2;4;2;2;4;6;0;2
#ontariospirit;0;0;0;0;0;0;0;0;2;0;0;2;0;6;8;0;0;0;12;0;2;0;6;2;4;2;8;2;8;0;0;0;0;2;2;8;2;0;0;4;2;0;8;0;0;2;4;2;2;2;0;2;2;0;2;0;0;2;8;4;0;0;2;4;2;2;0;0;2;0;2;0;0;0;4;2;0;0;0;0;0;2;0;2;2;2;2;0;0;0;0;0;0;2;0;0;0;2;0;0
continue;0;0;0;0;0;0;0;0;16;0;0;10;4;8;4;0;0;14;4;0;6;12;4;14;4;8;6;12;2;4;0;4;10;0;0;4;2;0;0;6;2;6;2;10;2;2;2;0;0;2;0;0;0;0;2;0;6;0;0;2;6;0;2;0;4;8;6;8;4;8;8;0;2;6;2;0;2;0;2;0;0;2;8;0;8;8;2;4;0;4;0;6;4;0;0;0;2;2;0;6
stay;0;0;0;0;0;0;0;0;0;0;0;6;2;10;4;0;0;14;8;0;28;8;4;22;4;2;0;10;4;2;0;2;10;8;4;2;2;0;0;8;2;4;0;14;6;2;4;0;0;2;2;2;0;0;0;0;4;6;0;4;2;2;2;0;4;2;4;8;2;8;0;2;2;4;2;0;2;2;4;0;2;0;4;2;6;6;2;0;0;2;0;0;2;0;0;0;4;0;2;6
april;0;0;0;0;0;0;0;0;0;0;50;0;50;0;0;50;50;0;0;50;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0
