;new;yorkers;york;ny;trump;still;traveler;trusted;help;across;federal;state;safe;nys;coronavirus;great;president;hate;fight;weekend;health;#coronavirus;novel;law;political;continuing;solidarity;nyers;call;decision;discrimination;travel;18883643065;take;confirmed;country;people;states;areas;sign;concerns;ensure;lake;stand;coming;cases;#nohateinourstate;ban;risk;tests;multiple;rights;proud;restore;covid19;control;lgbtq;received;necessary;snowmobiling;update;protect;history;low;use;symptoms;morning;program;shouldnt;policy;effect;hes;urge;lives;honor;hundreds;govt;#getcountedny;name;administrations;water;family;legislation;negative;dmv;situation;power;government;another;banning;home;zero;full;innocent;everyone;@dhsgovs;announce;unconscious;eliminate;@vp
new;0;36;34;6;10;8;8;8;2;8;0;8;2;8;6;6;4;6;6;2;4;10;10;4;6;6;8;0;8;4;4;8;6;6;8;4;2;6;6;0;8;6;6;8;4;8;4;4;6;4;0;2;2;0;4;0;2;6;6;0;4;4;4;6;6;6;2;6;4;2;4;2;4;0;2;6;0;2;2;6;0;0;0;6;2;6;4;2;4;4;2;4;4;0;4;4;2;0;2;4
yorkers;0;0;10;2;8;8;8;8;2;4;0;6;0;4;2;2;4;4;2;0;2;8;10;2;6;6;2;0;6;4;0;6;6;6;8;0;0;2;4;0;6;4;2;4;2;8;2;4;6;4;0;2;2;0;4;0;2;2;6;0;4;4;0;6;4;6;2;6;2;2;2;2;4;0;2;6;0;2;0;6;0;0;0;6;0;0;4;2;4;4;0;4;0;0;4;4;2;0;0;0
york;0;0;0;2;4;6;2;2;0;4;0;4;2;2;2;2;2;2;4;2;0;8;6;2;0;4;4;0;4;2;2;4;2;4;6;4;0;6;2;0;2;2;4;2;0;6;2;2;4;4;0;0;0;0;0;0;0;4;4;0;4;2;2;4;2;2;0;2;2;0;2;0;2;0;0;2;0;2;2;0;0;0;0;4;2;2;0;0;0;0;0;2;2;0;2;2;0;0;2;4
ny;0;0;0;0;4;0;4;4;0;6;4;0;0;2;0;0;2;0;2;0;0;0;0;0;4;0;0;6;0;2;4;0;0;0;0;2;2;0;2;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;2;2;2;4;2;0;0;0;4;0;0;0;0;2;0;0;2;0;2;2;0;2;0;0;2;0;0;2;0;0;2;0
trump;0;0;0;0;0;0;14;14;0;0;4;2;0;2;0;0;4;0;4;0;0;0;0;4;6;0;0;6;0;8;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;6;0;4;0;4;0;0;0;0;4;0;0;4;0;0;0;0;2;0;4;2;2;6;0;0;2;0;0;6;0;0;0;0
still;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;2;0;0;6;6;0;0;6;0;0;4;0;0;4;4;4;8;0;0;0;0;0;4;2;0;0;0;8;0;0;4;4;0;0;0;0;2;0;0;0;4;0;4;2;0;4;0;4;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;6;0;0;0;2;0;0;0;4;0;2;2;0;0;0;0;0
traveler;0;0;0;0;0;0;0;14;0;0;4;0;0;2;0;0;4;0;4;0;0;0;0;2;6;0;0;6;0;8;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;0;4;0;4;0;0;0;0;4;0;0;4;0;0;0;0;0;0;4;2;2;6;0;0;0;0;0;6;0;0;0;0
trusted;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;4;0;4;0;0;0;0;2;6;0;0;6;0;8;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;0;4;0;4;0;0;0;0;4;0;0;4;0;0;0;0;0;0;4;2;2;6;0;0;0;0;0;6;0;0;0;0
help;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;4;0;0;0;0;0;0;0;2;0;0;2;2;2;0;2;0;2;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
across;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;4;0;0;2;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;2;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
federal;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;0;0;0;0;2;2;2;0;4;0;2;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;4;2;0;4;0;0;0;0;0;2;0;0;0;2;4;2;2;0;0;0;4;0;2;0;0;0;0
state;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;2;2;0;2;0;0;2;0;0;2;2;2;2;0;0;0;2;0;2;2;0;0;0;2;0;0;0;2;0;2;2;2;0;0;2;0;2;0;2;2;0;0;2;2;2;0;0;0;0;0;0;0;4;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0
safe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;2;4;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
nys;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;2;2;0;0;0;0;2;4;0;0;4;4;0;2;0;2;2;0;0;4;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;4;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;4;0;0;0;2;0;2;0;0;0;0;0;0;0;2
