;great;thank_you;fake_news;people;states;white_house;news;media;big;conference;job;president;strong;coronavirus;good;country;ventilators;china;@foxnews;eastern;testing;endorsement;state;lamestream;hard;work;border;help;military;press;congressman;american;second_amendment;businesses;crime;business;left;@nytimes;america;enemy;care;united;money;happy;do_nothing_democrats;new_york;spoke;wanted;fighter;sources;failing;night;democrats;hospitals;invisible;trump;story;times;world;countries;tremendous;million;working;loves;#maga;take;governors;radical;government;especially;joe;530;call;party;morning;congress;late;sleepy;ohio;helping;fake;wants;needed;vets;democrat;friend;tough;everyone;recently;bernie;worse;moving;hospital;given;supporter;russia;tom;history;economy;governor
great;0;16;10;32;4;2;12;4;12;0;36;0;6;8;12;6;10;8;8;0;14;6;20;6;0;2;4;12;20;0;8;10;4;4;2;12;4;0;12;2;2;2;2;0;6;0;0;2;8;0;2;6;6;2;0;10;0;0;8;6;2;4;2;4;2;6;6;2;2;4;4;0;2;2;4;8;4;2;0;0;2;2;2;16;14;0;4;2;0;0;0;2;0;6;0;0;12;4;0;8
thank_you;0;0;2;4;4;0;0;0;2;0;4;2;0;0;2;0;0;2;2;0;0;0;2;0;6;4;2;2;6;0;0;2;0;0;4;0;2;0;0;0;0;4;2;0;0;0;2;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;6;0;10;0;2;2;2;0;6;0;0;6;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2
fake_news;0;0;0;12;2;0;4;14;4;0;2;2;0;2;2;8;0;8;0;0;2;0;0;12;0;2;0;2;0;0;0;0;0;0;0;4;2;8;2;8;2;2;0;0;6;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;2;4;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;2;0;4;0;0
people;0;0;0;0;4;0;2;10;16;0;8;4;6;6;6;8;4;14;4;0;4;10;12;10;6;10;6;14;14;0;6;6;8;4;0;6;0;4;4;12;0;4;0;0;2;4;2;0;0;0;0;2;2;2;0;2;0;2;0;0;8;4;6;4;2;0;4;0;2;4;6;0;0;0;0;10;2;2;0;2;2;0;2;14;2;0;0;0;2;0;0;10;0;2;2;0;8;2;0;6
states;0;0;0;0;0;0;4;0;4;0;6;2;0;6;4;4;2;10;0;0;0;0;2;0;0;2;2;2;0;0;2;0;0;0;0;2;2;0;2;2;0;22;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;2;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;4;0;0;2;4;2;0
white_house;0;0;0;0;0;0;0;0;0;0;4;2;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;8;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
news;0;0;0;0;0;0;0;0;6;0;2;0;0;2;6;0;2;0;0;0;2;0;2;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0
media;0;0;0;0;0;0;0;0;4;0;2;4;0;2;4;4;0;2;0;0;2;0;0;26;2;2;0;0;0;0;0;0;0;0;0;0;4;0;0;8;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;2;0;2;2;4;0;0;2;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
big;0;0;0;0;0;0;0;0;0;0;4;2;4;4;6;8;0;0;0;0;0;4;6;2;4;0;6;4;2;0;2;0;4;0;6;0;4;2;0;2;0;2;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;4;0;2;2;0;0;0;0;0;2;2;4;0;2;0;0;0;0;4;0;2;0;0;10;2;0;2
conference;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
