;oregon;health;oregonians;face;covid19;public;counties;safe;state;stay;phase;black;county;pandemic;reopening;communities;spread;help;oregons;2;lives;people;covering;multnomah;live;coverings;local;home;protect;wildfires;justice;next;statewide;racial;support;comes;cases;wear;voices;river;continue;pause;indoor;new;care;marion;hood;mask;polk;enter;protections;press;conference;healthy;rights;risk;work;action;voting;please;take;violence;country;grocery;week;away;police;call;beginning;president;women;community;spaces;decision;join;started;students;session;act;safety;stand;change;calling;visit;end;requirement;ensure;clackamas;taken;lot;lincoln;washington;wearing;june;starting;share;celebrating;class;may;address
oregon;0;16;4;0;10;2;4;8;8;4;2;6;2;4;4;6;2;8;0;2;4;10;0;0;4;0;4;4;4;6;4;0;2;4;2;8;6;0;2;0;2;2;0;2;4;0;0;0;0;0;0;0;0;4;2;6;2;2;4;4;4;2;8;0;0;2;2;0;0;2;2;2;0;0;2;6;0;0;0;2;2;4;2;8;0;0;2;0;4;8;0;0;0;2;0;4;2;0;4;0
health;0;0;6;4;10;12;2;10;4;4;4;0;4;8;2;6;6;0;2;2;2;4;4;2;0;0;4;4;6;0;0;2;2;0;2;2;6;0;2;0;4;4;0;2;8;0;0;2;0;2;8;0;0;4;4;6;0;0;4;2;6;0;4;0;2;8;0;0;0;4;0;4;0;4;2;0;0;0;2;8;0;0;2;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;4;0
oregonians;0;0;0;2;6;6;2;4;4;6;0;0;0;8;2;0;4;4;0;0;2;0;0;0;0;2;0;2;0;0;6;0;0;4;0;2;0;2;4;0;2;0;2;0;4;0;0;2;0;0;6;0;0;4;2;4;4;2;0;2;0;2;0;2;2;2;4;6;4;2;0;0;0;4;0;0;0;2;2;0;4;0;2;0;2;0;2;0;2;0;0;0;0;0;2;0;0;0;2;2
face;0;0;0;0;6;14;10;6;0;10;0;0;2;0;0;0;6;2;2;0;4;0;14;6;2;10;8;4;2;0;0;4;0;0;2;0;0;6;0;6;0;0;10;4;0;6;6;2;6;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;2;0;0;2;8;0;2;0;0;0;0;4;0;0;2;0;0;6;0;6;0;0;6;6;8;2;4;0;0;0;0;0
covid19;0;0;0;0;0;6;4;6;2;2;2;0;2;4;6;4;10;6;0;0;0;0;4;2;0;2;2;4;0;0;0;2;2;0;2;2;6;4;0;0;0;2;2;4;0;0;0;2;0;2;0;0;0;2;0;4;2;2;2;2;6;2;4;2;0;2;4;0;2;0;0;0;0;0;0;0;2;4;0;4;0;0;4;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;6;2
public;0;0;0;0;0;0;12;8;2;4;0;0;2;2;2;0;8;2;2;0;6;0;6;8;2;10;2;0;2;0;0;6;2;0;2;0;2;8;2;8;0;4;12;4;2;8;8;4;8;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;6;2;0;4;4;2;0;0;10;2;2;0;0;0;2;2;0;0;4;0;0;8;2;8;0;0;8;8;2;2;4;2;0;0;0;0
counties;0;0;0;0;0;0;0;6;2;4;8;0;6;0;2;2;2;0;0;8;6;0;2;10;2;10;2;0;2;0;0;2;0;0;0;2;2;4;0;10;2;0;12;4;0;10;10;2;10;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;2;0;0;0;10;0;2;0;0;0;0;0;0;0;0;2;0;6;0;8;0;0;8;8;2;4;4;2;0;0;0;0
safe;0;0;0;0;0;0;0;0;4;6;2;2;2;2;2;4;2;4;4;2;2;0;2;2;4;4;4;2;2;0;2;0;0;2;2;0;2;2;2;2;0;0;4;0;0;2;2;4;2;0;2;0;0;4;2;4;0;0;2;4;2;2;2;2;0;0;0;2;2;2;2;0;2;0;2;0;4;0;0;2;2;0;0;2;0;0;0;2;0;0;2;2;2;0;2;2;0;0;2;0
state;0;0;0;0;0;0;0;0;0;0;2;4;0;2;0;0;0;0;2;2;4;2;0;0;2;0;2;4;0;0;0;2;0;0;2;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;2;2;2;0;2;2;2;0;2;2;2;4;0;2;0;0;0;0;2;0;0;4;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;2;2;0;2;0;0;0
stay;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;2;2;2;2;2;4;0;6;2;2;2;8;6;2;0;4;2;0;2;0;0;0;4;2;2;0;0;2;0;0;2;2;2;2;0;2;0;0;4;0;0;0;2;0;2;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;4;0;0;2;0;0;0;2;2;0;2;2;2;0;2;0;0;0;0;0
