;trump;president;great;united;new;states;people;house;white;news;man;federal;fbi;government;state;country;american;administration;world;york;2016;national;job;republican;democrats;good;may;fake;party;help;obama;former;election;big;campaign;working;police;department;history;media;year;donald;washington;city;presidential;article;best;clinton;times;americans;america;committee;russia;thank;reserve;love;military;million;greatest;week;political;called;post;trying;report;investigation;california;left;thing;senate;end;radical;justice;coming;health;work;amazing;nothing;law;money;story;announce;hillary;men;security;nfl;proud;china;real;night;fact;congress;attack;complete;university;act;another;released;team;general
trump;0;88;28;16;34;16;30;32;34;22;6;16;16;14;8;8;8;34;6;8;14;10;12;10;6;6;14;12;6;6;10;12;8;6;26;0;4;8;4;10;2;40;10;4;10;6;4;10;6;4;4;6;14;0;4;0;0;4;4;6;10;4;2;6;6;10;4;6;6;2;4;0;14;4;2;0;2;2;2;2;6;2;8;0;0;2;2;4;2;10;4;6;6;4;6;0;0;2;0;4
president;0;0;30;32;14;28;16;36;28;16;8;14;12;12;4;2;10;6;4;4;12;12;20;4;10;6;12;12;8;6;10;16;8;4;10;2;4;4;14;8;2;18;8;0;6;2;4;16;4;6;8;4;8;4;6;2;4;2;6;2;8;12;2;2;4;8;4;4;4;2;4;2;6;2;2;6;2;6;4;4;0;4;10;2;0;2;6;6;4;6;2;8;4;2;4;4;0;4;2;8
great;0;0;0;12;26;10;30;8;6;6;20;8;2;6;14;18;18;4;6;12;10;8;24;14;10;2;10;6;8;4;0;4;4;6;0;4;2;6;2;8;6;4;4;8;4;4;4;2;4;4;10;2;0;16;4;14;6;0;4;4;4;4;4;4;6;0;0;4;6;4;6;4;2;6;4;6;12;6;2;4;0;4;2;6;0;0;10;2;0;6;2;4;0;6;2;2;6;2;6;2
united;0;0;0;0;10;144;16;12;10;16;8;8;4;16;8;6;10;12;16;2;0;6;2;4;8;0;4;8;4;6;6;4;2;4;2;8;0;6;6;4;6;2;0;0;4;0;2;0;2;4;4;0;2;4;2;0;8;0;4;2;8;6;6;4;4;2;0;6;0;4;4;6;2;0;2;2;2;4;2;0;2;4;0;0;10;0;2;8;0;0;2;0;4;6;0;0;4;2;0;4
new;0;0;0;0;0;12;16;10;10;10;2;4;10;6;12;6;8;8;6;54;4;8;10;14;2;8;4;4;8;4;4;6;0;8;12;2;2;6;0;4;8;4;16;8;8;6;8;6;28;6;6;6;4;2;2;4;4;6;2;4;8;4;6;2;8;4;2;4;2;2;0;6;6;4;2;0;2;4;4;4;8;4;6;6;0;2;2;2;0;2;0;0;4;4;4;2;2;6;4;6
states;0;0;0;0;0;0;16;10;8;14;4;10;4;18;6;6;6;10;14;2;0;4;2;4;8;0;4;6;4;4;4;4;2;4;2;6;0;6;4;4;6;4;4;0;4;0;2;0;2;2;2;0;2;4;2;0;8;0;4;2;6;4;6;6;4;2;2;6;0;4;4;6;2;0;2;0;2;2;2;0;2;2;0;0;10;0;0;8;0;0;0;0;2;6;0;0;2;2;0;4
people;0;0;0;0;0;0;0;4;2;6;4;8;2;12;4;8;18;12;6;6;6;2;6;6;8;6;4;6;2;2;4;0;2;4;2;4;2;2;2;4;4;4;2;6;0;4;2;4;6;4;4;2;2;6;4;2;2;4;6;2;10;2;2;6;0;2;2;4;4;4;6;2;2;4;4;2;10;6;2;6;4;2;4;2;4;0;6;0;2;4;4;2;4;8;4;4;0;0;0;0
house;0;0;0;0;0;0;0;0;74;12;2;4;10;4;4;0;6;8;2;4;6;6;4;2;14;4;12;0;2;4;6;12;6;2;8;10;2;0;2;2;0;4;10;2;4;0;0;6;4;4;0;8;4;2;0;0;2;4;6;2;4;6;2;2;0;2;2;4;0;6;2;6;2;2;0;0;0;4;0;4;2;6;2;2;2;2;4;4;2;0;2;4;6;2;2;0;0;6;4;2
white;0;0;0;0;0;0;0;0;0;14;4;2;6;2;2;0;6;4;2;6;0;6;4;0;6;2;12;0;0;2;2;10;2;2;4;4;2;0;0;2;2;4;8;2;0;0;0;4;4;4;2;0;2;2;0;0;0;0;6;0;6;2;4;0;0;0;2;2;0;4;0;4;0;2;2;0;0;2;2;2;2;4;2;0;2;2;2;4;4;0;2;2;4;2;4;0;0;4;2;2
news;0;0;0;0;0;0;0;0;0;0;6;2;6;6;6;2;4;6;0;2;4;4;2;2;2;6;2;44;0;0;2;4;2;6;6;2;8;0;0;22;2;2;4;0;4;2;0;0;6;6;2;4;4;2;0;0;2;2;0;0;6;4;4;8;4;4;2;2;2;0;2;2;0;4;0;2;0;6;0;2;8;0;2;0;2;0;0;8;0;4;4;0;2;0;0;0;0;2;4;2
man;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;8;6;0;6;2;6;2;0;2;2;2;0;2;4;2;2;2;4;0;2;0;14;6;2;4;2;0;2;2;0;4;0;0;2;0;4;0;2;2;0;2;4;0;0;2;2;0;2;0;0;2;0;0;2;2;0;2;2;2;0;0;2;0;4;0;0;2;0;0;0;0;0;0;2;0;2;0;4;0;2;2;4;2;0;2
federal;0;0;0;0;0;0;0;0;0;0;0;0;0;30;4;6;6;8;0;2;2;4;6;0;0;8;0;2;0;8;2;2;0;2;2;0;0;0;0;2;0;2;4;4;0;2;0;4;0;4;2;0;0;0;30;2;2;4;0;2;2;0;4;2;0;0;0;0;8;0;2;0;0;2;2;0;0;2;8;2;0;2;4;0;2;0;0;0;0;0;0;0;0;0;0;10;0;0;0;2
