;#covid19;covid19;state;health;county;help;live;thank;1;new;coronavirus;provide;businesses;take;care;together;city;update;arizona;emergency;working;stay;response;home;workers;positive;watch;hospital;continue;services;distancing;testing;important;meals;social;pandemic;weeks;por;public;ensure;schools;spread;work;press;updates;critical;@drcarachrist;information;@azdhs;meal;support;great;order;grateful;lives;national;please;could;lost;action;hit;safe;share;stream;mental;measures;lab;learn;news;cases;5;credit;west;congregate;staff;living;combat;department;en;court;patients;people;states;que;increase;program;possible;outbreak;longterm;child;tech;visit;diagnosed;impacts;minnesotans;dr;deal;democrats;hard;gov
#covid19;0;2;4;8;2;4;4;8;8;4;0;12;0;2;2;2;0;4;6;2;2;2;6;0;0;2;6;0;6;4;2;6;2;0;2;0;0;0;4;2;2;4;2;2;4;2;6;2;6;0;4;2;4;0;2;0;2;0;0;0;0;2;2;2;0;4;2;2;0;2;0;0;0;0;2;0;2;6;0;0;0;2;2;0;0;0;0;2;0;0;0;0;2;2;0;4;4;2;0;2
covid19;0;0;8;0;4;4;6;2;4;2;4;2;2;0;6;2;2;2;0;2;2;0;6;2;4;4;4;2;0;0;2;2;0;0;2;4;0;0;0;2;4;2;2;4;2;6;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;4;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;4;4;2;0;2;2;2;0;0;0;0;2;0
state;0;0;0;2;4;0;0;2;4;4;2;2;0;4;2;2;4;0;0;4;2;4;0;0;0;2;0;2;4;0;0;0;0;2;0;2;2;0;2;4;2;0;0;0;0;2;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;2;0;0;0;2;2;2;0;2;0;0;0;2;2;0;0;2;2;0;0;0;0;2;0
health;0;0;0;0;2;4;0;2;2;0;0;2;0;2;8;2;0;2;2;2;2;2;0;2;0;0;2;2;0;2;0;0;0;0;0;0;4;0;10;0;2;0;0;0;0;0;2;0;2;0;2;0;0;2;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;2;0;0;0;2
county;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;4;4;0;0;2;2;0;0;0;6;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2
help;0;0;0;0;0;0;0;2;2;4;4;0;2;0;4;0;2;0;0;0;2;0;4;2;4;4;0;2;0;0;2;0;2;0;2;2;0;0;2;2;2;2;2;0;0;2;0;2;0;0;0;2;0;2;0;0;0;0;2;0;2;0;2;0;2;0;0;0;0;2;2;0;0;0;0;0;2;0;0;2;0;0;0;0;2;2;2;4;0;0;0;2;0;0;0;0;2;0;4;0
live;0;0;0;0;0;0;0;0;2;0;8;6;0;0;0;0;0;8;0;0;0;0;6;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;4
thank;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;0;0;2;0;6;2;2;0;2;0;0;0;2;0;2;0;0;0;2;0;2;0;0;0;0;0;4;0;0;2;2;0;2;0;2;2;0;0;0;0;2;0;0;0;0;4;0;0;0;2;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;2;0
1;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;2;0;2;2;2;0;0;0;0;2;0;0;2;0;0;2;2;0;0;0;0;0;2;2;2;2;0;0;0;2;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0
new;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;2;0;2;0;0;0;0;2;2;0;2;2;0;0;0;0;2;0;2;0;0;0;2;0;0;2;0;2;2;0;0;0;0;2;4;2;2;2;0;2;0;2;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;4;0;0;0;2;2;0;0;0;0;0;2;0;2;0
