;great;president;trump;people;states;united;state;history;house;government;new;campaign;man;court;amazing;white;best;news;job;another;democrats;help;year;party;big;thank;administration;russia;nba;important;republican;crime;senate;good;florida;number;complete;love;thing;australia;continues;american;incredible;national;transparent;michael;night;pay;federal;show;investigation;sorry;shot;war;may;support;donald;passed;protect;isis;home;picture;islamic;bitcoin;killed;former;guys;general;stop;jim;mayor;paul;share;video;act;week;watching;past;set;accused;businesses;working;plan;republicans;group;city;million;browser;win;supreme;reason;deal;obama;says;fight;fbi;called;radical;beautiful;comment
great;0;2;2;6;0;0;6;4;2;0;0;0;6;0;4;2;0;2;6;2;0;0;2;0;2;4;2;0;2;4;4;2;2;2;2;2;2;2;0;0;0;4;2;0;0;0;2;0;2;0;0;0;0;2;0;0;2;2;6;0;0;0;0;0;0;0;2;0;2;2;0;0;2;0;0;0;2;0;2;0;0;4;0;0;2;4;0;0;0;0;0;0;0;0;2;2;0;0;4;2
president;0;0;12;0;4;4;0;4;4;2;0;2;0;2;0;4;0;4;4;0;4;2;2;0;0;2;2;2;0;0;0;0;0;2;0;2;2;0;0;0;6;2;0;4;2;2;0;0;2;0;4;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;4;2;0;0;0;0;0;2;0;0;0;0;0;2;2;0;2;0;0;0;0;0;2;0;0;2;2;0;2;4;4;0;0
trump;0;0;0;0;4;4;0;0;2;2;2;8;0;0;0;4;0;4;0;2;0;2;0;0;0;0;4;4;0;0;0;0;0;2;2;2;0;0;0;0;4;0;0;2;0;4;0;0;4;0;2;0;0;4;0;0;4;0;0;0;0;0;0;0;0;2;0;4;2;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;2;0;0;4;2;0;0;0
people;0;0;0;0;0;0;4;0;2;4;0;0;0;0;2;2;4;0;2;2;2;0;2;2;2;0;0;0;0;2;2;0;2;0;0;2;0;2;2;0;0;4;2;0;0;0;2;2;0;2;0;0;0;0;0;0;0;2;2;0;0;2;2;0;0;0;2;0;0;0;0;4;4;2;0;0;0;0;2;0;0;0;0;0;4;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0
states;0;0;0;0;0;14;0;2;2;2;2;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;4;2;0;0;2;0;2;0;0;0;0;0;4;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;4;0;0;0;0;0
united;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;0;2;0;0;0;2;0;0;2;2;0;4;2;0;0;2;0;2;0;0;0;2;0;4;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;2;4;0;0;0;0;0
state;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;2;0;0;2;0;2;0;0;0;2;0;2;0;2;0;2;0;2;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;4;0;0;0;0;0;0;0;2;0;2;2;0;4;0
history;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;2;4;0;2;0;2;4;0;2;0;0;0;0;2;0;2;0;2;0;0;2;2;0;2;0;0;4;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0
house;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;10;2;0;2;0;4;0;2;4;0;2;0;0;2;0;2;0;4;0;0;0;0;2;2;0;0;2;0;2;2;2;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0
government;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;2;0;0;0;2;2;0;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;2;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
