;kansas;covid19;kansans;state;live;briefing;press;safe;pandemic;2;facebook;work;please;stay;ks;help;cst;phase;may;visit;updates;public;watch;plan;health;new;tune;spread;order;communities;home;school;22;lives;kansan;thank;thanks;continue;12;recovery;page;yesterday;regarding;workers;hear;important;daily;latest;healthy;move;forget;difficult;economic;program;executive;broadcast;#saferathome;social;people;ad;great;together;efforts;federal;community;icymi;distancing;jobs;2020;1;family;support;@kdhe;astra;discuss;economy;forward;year;mask;secretary;take;signed;officials;education;friends;hold;reopen;safety;census;place;recognize;teachers;challenges;hard;masks;deserve;proud;testing;times;mitigate
recovery;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;6;0;0;12;0;4;0;0;4;4;0;0;0;2;2;2;4;4;4;0;0;0;4;2;0;0;4;10;2;2;2;0;0;0;0;0;0;0;4;0;4;0;0;4;0;2;0;0;2;2;0
page;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;2;16;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;8;4;0;0;6;0;12;0;0;0;0;4;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0
yesterday;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;0;2;0;0;0;2;0;6;0;2;2;0;0;0;0;2;4;0;4;2;4;0;0;0;0;0;0;0;0;2;2;0;2;0;8;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0
regarding;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;2;2;0;0;10;4;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;8;0;0;0;2;0;0;0;0;0;0;0;0;0;0
workers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;2;0;0;0;0;6;0;0;2;0
hear;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
important;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;2;2;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0;0;0;0;0;2;0;4;0;0;0;2;2;0;0;2;2
daily;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
latest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;12;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;2;4;0;12;0;0;0;0;4;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0
healthy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;2;0;2;2;0;0;4;2;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;2;0;2;0;0;0;0;2;2;2;0;0;2
move;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;4;0;4;0;2;6;0;0;0;4;2;0;2;0;4;0;4;0;4;12;0;2;0;0;0;2;0;2;0;6;4;0;0;0;0;2;0;0;0;0;4;0;2
forget;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
difficult;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;2;0;4;4
economic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;4;2;2;4;0;0;2;2;2;0;0;2;6;2;0;4;0;0;0;0;0;0;0;2;0;2;0;0;4;0;2;0;0;0;0;0
program;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;2;0;0;0;2;0;0;0;2;0;0;0;4;0;2;2;2;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0
executive;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;2;0;0;2;2;2;0;2;4;0;0;0;0;0;2;0;0;2;2;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
broadcast;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0
#saferathome;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;2;0;0;0;4;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;2;0;2;4
social;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;20;0;0;0;0;0;2;2;0;0;0;0;4;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;6;0;0;2;2;4
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;2;0;2;0;2;0;2;2;2;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
ad;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;2;0;0;2;0;0;0;16;0;0;0;0;4;0;0;2;6;0;0;0;8;2;0;0;0;0;0;0;0;0;0;2;0;0
