;nevada;state;nevadans;thank;#covid19;nv;health;help;#stayhomefornevada;continue;medical;plan;covid19;emergency;work;reopening;home;tune;forward;states;across;testing;great;public;nevadas;support;guidance;care;dr;team;together;unemployment;update;grateful;federal;proud;spread;services;response;call;making;country;safety;experts;protect;good;business;phase;staying;criteria;stay;businesses;social;safe;service;directive;new;press;conference;workers;week;insurance;claims;working;helping;pandori;pandemic;1;commitment;next;crisis;lives;updates;joined;students;ppe;people;order;center;due;recovery;check;take;families;thanks;hard;funding;government;statespecific;job;5;school;part;communities;system;leaders;best;soon;please;year
nevada;0;34;22;32;18;6;16;12;10;4;4;20;26;0;8;8;22;18;8;20;10;12;16;12;4;2;2;4;10;6;6;2;14;10;10;12;6;0;6;4;4;8;4;8;6;8;10;4;12;6;8;4;2;6;4;4;2;8;8;2;4;2;2;2;6;10;4;4;2;0;6;2;0;8;0;6;2;6;2;2;12;2;8;4;2;2;2;8;2;2;8;0;2;4;0;2;6;6;6;0
state;0;0;28;20;16;20;16;12;18;16;12;4;10;22;16;4;10;2;6;6;20;12;14;22;6;4;8;0;16;12;4;4;12;6;6;16;2;8;6;6;10;6;8;2;8;4;6;6;4;6;6;6;2;2;6;6;8;4;4;6;4;2;4;2;2;14;4;6;6;4;8;2;0;8;2;10;2;8;4;8;2;0;2;6;4;8;2;4;0;6;4;2;6;6;2;6;2;0;2;2
nevadans;0;0;0;18;12;8;14;8;8;10;8;10;10;10;16;12;16;6;12;10;0;4;8;6;2;2;2;0;4;10;8;10;10;6;6;6;2;4;4;4;6;0;4;6;2;10;8;4;10;4;8;6;0;6;2;4;4;6;6;0;6;4;8;8;8;4;2;2;4;2;8;2;4;6;4;2;2;12;2;8;6;0;4;2;2;4;6;0;4;8;8;4;2;4;2;0;0;6;8;0
thank;0;0;0;0;10;8;6;10;22;8;4;6;2;2;6;6;12;2;10;4;6;2;10;2;6;4;2;4;2;6;10;2;2;10;0;2;0;0;0;4;10;2;2;0;2;2;4;2;8;0;2;0;0;6;12;0;0;2;2;4;6;0;0;2;10;0;8;2;12;2;2;0;2;0;6;6;0;0;4;0;0;2;0;2;0;6;0;0;2;0;0;0;2;8;0;2;2;4;0;2
#covid19;0;0;0;0;0;12;14;10;10;8;20;2;0;10;8;2;4;4;2;6;2;2;2;4;4;6;4;6;2;4;6;2;2;12;0;4;16;0;14;8;6;2;6;0;6;0;0;2;2;0;2;0;2;0;6;4;4;2;2;2;2;0;2;4;4;0;4;2;6;0;6;2;2;2;6;2;2;0;4;4;2;2;2;2;0;0;2;0;0;0;0;0;6;0;4;2;6;2;2;0
nv;0;0;0;0;0;0;12;12;6;10;2;0;0;12;10;0;2;0;2;8;4;4;2;6;2;10;2;2;6;2;0;4;2;2;10;6;6;2;6;2;0;0;4;2;2;2;0;0;0;0;0;2;10;0;8;2;6;0;0;4;2;4;2;2;6;2;2;0;4;2;6;2;2;0;0;0;0;2;4;0;2;2;0;2;0;2;8;2;0;0;0;0;4;6;0;2;0;0;0;2
health;0;0;0;0;0;0;0;12;6;2;10;8;4;4;6;2;6;2;0;6;0;6;4;22;4;6;2;14;10;2;2;0;6;2;2;0;6;4;2;0;6;2;12;2;8;0;0;2;4;0;4;2;4;2;4;2;0;4;4;6;0;8;0;8;0;8;2;2;2;0;12;6;0;6;2;2;0;2;4;2;4;2;0;0;2;0;0;0;2;0;2;0;2;2;2;0;2;0;2;0
help;0;0;0;0;0;0;0;0;6;4;8;4;2;6;6;2;8;0;2;4;2;2;2;10;6;2;2;6;0;2;0;4;2;6;6;4;2;4;0;4;0;0;2;0;4;4;0;0;6;0;4;0;2;4;2;2;0;0;0;0;0;2;4;4;2;0;6;0;0;2;8;4;0;2;2;0;2;0;2;0;0;0;0;2;0;2;4;2;0;0;0;2;4;0;0;0;2;0;0;2
#stayhomefornevada;0;0;0;0;0;0;0;0;0;8;6;0;0;6;2;0;10;2;4;4;2;2;6;0;2;4;4;4;0;2;8;0;0;4;0;4;4;0;0;2;0;0;0;2;4;0;4;0;4;0;8;0;6;4;0;2;0;0;0;4;4;0;0;4;4;0;2;2;4;0;2;2;2;0;2;2;2;4;0;0;0;0;2;2;2;0;0;0;0;0;0;4;4;0;2;2;2;2;0;0
continue;0;0;0;0;0;0;0;0;0;0;4;2;2;2;4;2;2;0;4;2;4;2;0;0;2;4;4;4;2;4;2;6;0;2;0;2;0;2;2;2;2;2;0;4;0;0;4;2;0;2;4;2;6;0;4;2;6;2;2;2;2;2;2;0;0;0;0;2;4;0;2;2;0;2;6;2;2;6;0;4;0;0;2;8;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;2
