;west;virginia;governor;plan;primary;#wvgov;economy;2020;work;election;virginians;state;republican;justice;coronavirus;reopen;guidelines;announced;covid19;@jimjusticewv;#westvirginiastrong;thank;action;tax;aspects;endorsement;novel;strong;#covid19;business;required;coal;please;largest;reelection;morning;@wvautodealers;virginias;political;various;jim;experts;comeback;#thecomeback;industry;return;committee;file;roadmap;people;lowincome;safe;visit;ready;portal;good;plans;postponed;@irsnews;represents;top;serves;senate;pleased;lay;automobile;automotive;association;pandemic;real;behalf;individual;online;endorsed;endorse;slow;putting;27;check;spread;trade;leadership;submit;ranked;stay;organizations;regarding;receive;countrys;@speakerhanshaw;response;joined;attorney;secretary;amendment;listen;provide;@nra;truck;hardworking
west;0;14;8;6;8;6;6;8;2;6;6;4;4;6;2;4;4;4;2;2;4;2;2;0;2;2;0;4;4;2;0;2;2;2;4;2;2;4;2;2;4;0;4;2;4;0;2;0;4;2;0;0;2;0;0;0;2;2;0;2;2;2;2;2;2;2;2;2;2;0;2;0;0;2;2;0;2;2;0;0;2;2;0;0;0;2;2;0;0;2;0;2;2;2;0;0;2;0;2;2
virginia;0;0;6;4;8;6;6;8;0;6;2;4;4;4;2;4;4;2;2;2;2;0;2;0;2;2;0;4;4;2;0;2;2;2;4;2;2;4;2;2;4;0;4;2;4;0;2;0;4;2;0;0;2;0;0;0;2;2;0;2;2;2;0;0;0;2;2;2;2;0;0;0;0;2;2;0;2;2;0;0;2;0;0;0;0;2;2;0;0;0;0;2;2;2;0;0;2;0;2;0
governor;0;0;0;4;8;8;0;6;4;6;4;0;6;6;0;0;0;6;0;6;2;0;4;0;0;4;0;0;0;2;0;2;0;4;4;0;2;0;4;0;4;2;0;0;4;0;4;0;0;2;0;2;0;0;0;0;0;0;0;2;0;2;0;2;2;2;2;2;0;2;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;2;0;0;2;2;0;0;0;0;2;0;0;2;2;0
plan;0;0;0;0;0;4;6;0;4;0;2;4;0;2;0;6;2;2;0;2;6;0;0;0;4;0;0;2;2;0;0;0;2;0;0;2;0;2;0;4;0;2;2;4;0;0;0;0;2;2;0;2;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0
primary;0;0;0;0;0;6;0;8;0;8;2;2;6;4;0;0;0;4;0;4;0;0;4;0;0;4;0;0;2;2;0;2;0;4;4;2;2;0;4;0;4;0;0;0;4;0;4;0;0;2;0;0;0;0;0;0;0;2;0;2;2;2;0;0;0;2;2;2;0;0;0;0;0;2;2;0;0;2;0;0;2;0;0;0;0;2;0;0;2;0;0;2;2;2;2;0;0;2;2;0
#wvgov;0;0;0;0;0;0;2;4;2;6;2;0;4;2;0;2;2;4;0;6;0;0;4;0;0;4;0;2;0;0;0;2;0;2;2;0;2;2;4;0;2;2;2;0;2;0;4;0;2;2;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;2;2;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;2;2;0
economy;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;6;4;0;2;0;4;0;0;0;4;0;0;4;2;0;0;0;2;0;0;2;0;4;0;4;0;0;4;4;0;0;0;0;4;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0
2020;0;0;0;0;0;0;0;0;0;6;2;2;4;4;0;0;0;2;0;2;0;0;2;0;0;2;0;0;2;2;0;2;0;2;4;2;2;0;2;0;4;0;0;0;4;0;2;0;0;2;0;0;0;0;0;0;0;2;0;2;2;2;0;0;0;2;2;2;0;0;0;0;0;2;2;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;2;2;2;0;0;0;0;2;0
work;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;2;2;2;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;4;0;2;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;2;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0
election;0;0;0;0;0;0;0;0;0;0;2;2;4;2;0;0;0;4;0;4;0;0;4;0;0;4;0;0;2;0;0;2;0;2;2;2;2;0;4;0;2;0;0;0;2;0;4;0;0;2;0;0;0;0;0;0;0;2;0;2;2;2;0;0;0;2;2;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;2;0;0;2;2;0
