;hawaii;#covid19;#hawaiicovid19;director;community;state;health;bruce;dr;anderson;business;medical;news;live;dept;provide;people;help;economic;#live;speakers;guest;@higov_health;questions;2020;conference;tomorrow;unemployment;support;april;supplementary;14;tune;join;josh;signed;proclamation;department;recovery;ask;public;efforts;scott;facebook;care;covid19;latest;sba;conditions;connection;resiliency;murakami;dhs;curve;difficult;resources;crisis;virus;hawaiis;family;working;lead;medquest;order;green;emergency;assistance;oshima;alan;essential;governor;healthcare;discuss;safety;relations;days;residents;sign;details;protect;deepest;university;lt;owners;plan;dawn;gov;@staradvertiser;due;lost;island;1015am;kouchi;food;response;@ryankaleitsuji;calling;thank;condolences;services
hawaii;0;12;4;12;8;12;12;10;10;10;0;6;2;0;6;0;4;4;2;0;4;6;2;0;2;0;0;2;2;0;2;2;0;0;8;2;2;8;2;0;2;2;4;0;0;0;0;0;2;0;2;2;2;0;0;0;0;2;0;2;4;0;2;0;6;0;2;2;2;0;6;2;2;2;4;2;2;0;0;2;4;4;4;0;0;2;2;0;0;2;0;0;4;0;0;0;0;0;4;0
#covid19;0;0;4;8;8;8;2;6;4;6;2;2;8;2;2;4;2;4;4;4;2;2;4;2;6;4;4;2;0;4;2;4;4;0;2;2;2;4;4;2;0;4;4;2;2;0;4;0;2;2;4;2;2;0;2;2;2;2;4;2;4;4;2;0;0;0;2;4;4;0;2;2;2;0;0;2;2;0;0;0;2;0;0;0;2;2;0;2;2;2;0;2;2;0;0;2;0;0;2;2
#hawaiicovid19;0;0;0;2;2;2;4;4;4;2;4;2;4;4;2;4;0;4;0;2;4;4;2;4;2;2;4;0;4;2;4;4;2;4;0;4;4;2;0;4;0;2;2;2;4;2;0;0;0;2;0;0;2;2;2;2;4;0;0;2;0;0;0;2;0;0;0;0;0;2;0;2;0;2;0;4;2;2;4;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;2;2;2;2;0;0
director;0;0;0;0;0;6;6;14;8;14;2;2;0;2;10;2;2;2;4;0;4;6;4;2;0;0;2;6;0;0;0;0;4;0;8;0;0;6;2;2;0;2;6;0;0;2;4;2;0;0;2;6;4;0;2;2;0;0;0;0;0;0;4;0;6;0;4;2;2;0;6;2;6;0;4;0;0;0;0;0;0;0;4;0;0;0;2;0;2;2;0;0;2;0;0;0;0;0;0;0
community;0;0;0;0;0;6;6;0;2;0;6;4;2;6;0;4;2;2;6;2;0;0;0;2;0;0;4;0;4;0;0;0;0;6;0;0;0;2;4;2;2;4;0;8;0;2;2;0;2;6;4;0;0;0;0;2;2;2;4;4;2;6;0;0;0;2;0;4;4;0;0;0;0;0;2;0;0;0;0;2;4;0;0;2;2;4;2;0;2;0;2;2;0;0;0;0;2;2;4;2
state;0;0;0;0;0;0;2;4;2;4;2;4;2;0;0;0;4;0;2;2;0;2;2;0;2;2;0;0;0;2;4;2;0;2;4;4;4;4;0;0;2;0;2;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;2;2;2;2;0;0;0;0;4;2;0;0;0;2;2;0;0;0;0;2;0;0;0;2;2;0;2;2;2;0;4;0;0;0;0;2;0;0
health;0;0;0;0;0;0;0;6;8;6;0;6;0;4;6;0;4;2;2;0;4;4;0;2;0;0;4;2;6;0;0;0;2;2;4;0;0;6;2;2;2;2;2;2;0;2;0;0;2;0;2;2;0;0;0;0;0;0;2;2;4;2;0;0;4;2;2;2;2;0;2;2;2;6;2;0;2;0;0;4;0;0;4;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2
bruce;0;0;0;0;0;0;0;0;14;18;2;0;0;0;12;0;0;0;4;2;10;10;10;0;0;0;0;4;0;0;0;0;0;0;6;0;0;6;2;0;0;2;4;0;0;2;2;2;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;2;0;4;2;4;0;4;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2
dr;0;0;0;0;0;0;0;0;0;12;0;4;0;2;8;0;0;0;2;2;10;8;8;0;0;0;2;2;2;0;0;0;0;2;4;0;0;4;2;0;2;2;4;2;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;2;0;0;4;2;2;2;2;0;2;0;2;0;2;0;0;0;0;0;0;2;4;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;4
anderson;0;0;0;0;0;0;0;0;0;0;2;0;0;0;12;0;0;0;4;2;8;8;8;0;0;0;0;4;0;0;0;0;0;0;6;0;0;6;2;0;0;2;4;0;0;2;2;2;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;2;0;4;2;4;0;4;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2
