;west;#wvgov;governor;virginia;state;@jimjusticewv;president;@realdonaldtrump;great;virginians;coronavirus;jobs;covid19;life;across;justice;novel;#covid19;year;law;online;order;@wv4life;reelection;announced;numbers;yesterday;address;states;decade;new;#covid2019;job;unborn;economy;#prolife;watch;joined;seen;forward;work;businesses;employment;economic;thousands;paperwork;friend;thank;information;prevent;best;@nrlc;help;support;program;#wvpol;people;issued;abortion;child;executive;virginias;continue;file;candidacy;2019;senate;week;visit;#sotu;trump;@wvlegislature;bornalive;home;strong;working;defend;survivors;leaders;seniors;act;welcome;2020;protection;@jimjusticewvs;provide;jim;#wvcovid19;county;recent;100;office;leadership;public;country;sign;safe;month;hand;stronger
jobs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;4;6;0;2;0;6;8;0;4;0;4;0;0;0;4;0;0;0;4;2;4;0;0;0;0;2;6;0;2;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;4;0;2;0;2;0;0;0;0;0
covid19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;6;0;0;4;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;2;0;0;0;2;0;0
life;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;6;0;0;8;2;2;0;0;0;2;0;0;0;0;8;0;10;0;2;0;4;0;0;0;0;0;0;0;2;0;0;0;4;0;4;0;2;0;0;6;8;0;0;2;0;0;0;2;0;0;0;0;2;6;0;2;2;8;6;2;0;6;0;2;6;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0
across;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;2;0;0;0;2;4;2;0;2;2;2;4;0;2;0;4;0;2;0;0;0;0;0;0;0;0;2;2;2;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;2;2;0;2;2;2;2;0;4;0;0;2;0;0;0;0;0;0;0;0;0;2;0
justice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;4;2;2;0;0;4;2;0;0;2;0;2;0;0;4;0;0;0;0;0;0;0;2;2;0;0;0;4;0;0;0;0;4;0;0;0;0;0;0;0;0;2;2;2;2;0;0;2;0;0;2;0;0;0;0;0;0;0;2;4;0;0;0;8;0;4;0;0;0;0;0;2;0;0;0;0;0
novel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;4;0;0;2;0;2;2;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;8;0;0;2;0;0;0;0;2;0;0;2;2;0;0;0;4;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0
#covid19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;0;0;4;0;2;2;2;0;0;0;0;0;0;0;2;0;0;0;0;4;0;2;0;0;0;0;4;4;0;0;0;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;4;0;4;0;0;2;2;0;4;0;0;0;0;0;0
year;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;8;0;0;2;10;4;0;6;0;2;0;0;0;8;0;0;0;4;0;2;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0
law;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;0;2;0;0;0;0;0;0;6;0;6;2;4;0;0;0;0;0;0;0;0;0;4;0;0;0;6;0;0;0;0;2;2;6;6;2;0;0;0;0;0;0;0;0;0;0;4;6;0;0;0;6;6;4;0;6;0;0;6;0;2;0;0;0;0;0;0;0;0;0;4;2;0;0;0
online;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;4;0;0;0;0;0;0;0;0;8;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;2;2;0;0;0;0;0;0;0;0
