;mississippi;state;inauguration;work;mississippians;people;days;together;honor;thank;students;working;step;historic;website;mdoc;best;making;system;teachers;governor;check;trafficking;grateful;order;blessed;committed;mission;good;future;human;moment;join;mississippian;parchman;great;hardworking;truly;progress;kids;nation;lead;thanks;national;commissioner;provide;experienced;continue;job;family;forward;24;cant;speak;information;restore;evil;prevent;celebrate;please;enough;creating;prayer;yesterday;lt;israel;opportunity;trust;elee;everyone;law;workers;raise;greatest;rates;safe;gang;correctional;25;@realdonaldtrump;leading;taylor;families;root;mayor;men;road;prison;absolute;meet;happy;legend;administration;violence;real;king;means;manning;take;wont
mississippi;0;12;4;2;6;4;6;6;6;8;6;2;2;8;2;2;2;6;2;6;4;2;2;4;0;6;4;0;0;4;4;4;0;0;2;6;6;6;2;6;4;4;4;4;0;2;2;6;2;4;2;4;4;6;0;0;2;0;4;2;2;4;0;4;4;2;2;0;4;4;2;2;6;2;2;4;0;2;2;4;2;0;4;0;0;0;0;0;2;4;2;2;4;0;0;0;4;2;2;0
state;0;0;0;4;2;8;2;4;0;0;2;2;2;0;0;0;0;2;2;2;2;0;2;0;2;0;0;2;2;2;2;0;2;2;2;6;2;0;4;2;2;2;4;0;2;0;2;4;2;0;2;4;0;2;0;2;2;0;0;0;0;2;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;2;2;0;2;0;0;0;0;2;0;4;0;2;0;0;0
inauguration;0;0;0;0;2;0;10;0;0;0;0;2;0;6;10;0;0;0;0;0;0;8;0;0;0;2;0;0;2;0;0;6;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;2;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
work;0;0;0;0;0;4;0;2;2;2;0;4;2;0;0;2;2;0;2;0;0;0;0;0;4;0;0;0;4;0;0;0;2;2;2;2;0;0;0;0;2;2;0;0;2;0;2;0;2;0;0;2;2;0;4;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;2;2;0;0;0;2;0;2;2;2;0;0;2;0;0;0;2;0;0;2;0;0;2;0
mississippians;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;2;0;2;2;2;2;0;2;2;0;2;2;4;0;0;2;0;0;0;2;0;2;0;0;0;0;0;2;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;2
people;0;0;0;0;0;0;2;2;2;2;0;4;2;0;0;4;2;0;2;0;0;0;2;2;6;0;0;2;4;0;4;0;2;2;2;0;0;0;2;0;0;0;2;0;2;2;2;0;0;0;0;0;2;0;0;4;2;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;2;2;2;0;2;2;0;0;0;2;2;2;0;0;0;0;0
days;0;0;0;0;0;0;0;0;2;0;0;4;0;2;6;2;0;0;2;0;2;4;0;0;0;2;0;0;2;0;2;2;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2
together;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;2;0;4;0;2;2;0;4;0;0;4;0;0;0;2;2;0;0;0;2;4;2;0;0;2;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;2;0
honor;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;2;0;0;2;2;4;0;0;2;0;2;2;0;0;2;2;2;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;2;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;2;0;0;2;0
thank;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;2;0;0;0;2;0;0;0;2;4;0;2;2;0;0;0;2;2;2;0;0;4;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;2;0;0;0;0;4;0;0;2;2;4;0;0;0;0;2;2;0;2;0;2;0;0;0;0;0;2;2;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;2;2;0
