;people;states;great;president;united;new;trump;national;american;house;federal;government;white;news;huge;world;state;administration;republican;washington;obama;fbi;working;best;party;love;america;campaign;americans;country;part;thing;called;hard;man;away;week;thank;democratic;presidential;looking;police;show;may;story;democrats;hillary;strong;york;donald;proud;former;court;win;media;believe;election;number;military;bernie;committee;system;making;life;trying;economy;dnc;businesses;department;2016;governor;left;forward;men;account;greatest;special;billion;according;continue;whether;family;justice;end;care;announce;help;days;bill;finally;big;law;senate;set;year;woman;stronger;could;shooting;democrat
white;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;4;2;4;0;0;0;2;0;0;0;0;0;4;0;2;0;0;0;2;2;2;0;2;0;0;2;0;2;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0
news;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;2;2;0;0;0;0;6;0;2;0;0;2;0;2;0;2;0;0;2;0;2;0;0;0;0;2;0;2;0;0;0;2;6;4;0;2;0;0;0;0;2;0;2;2;0;2;0;0;0;0;0;0;2;0;4;0;4;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
huge;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;2;2;4;2;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;2;6;0;2;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;2;0;0;0;2;0;0;4;2;0;0;0;0;0;0;0
world;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;6;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;4;0;0;2;2;0;0;0;2;0;2;2;0;0
state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;2;0;2;0;4;2;0;0;0;0;2;0;2;2;2;0;0;0;4;0;0;4;0;2;0;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;4;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
administration;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;16;2;0;0;2;0;0;0;0;0;2;0;0;0;4;2;2;2;0;0;2;2;0;4;2;2;2;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;2;0;2;2;0;0;0;0;2;2;2;2;0;2;0;2;0;0;0;2;0;4;0;0;0;0;0;0;0;0;2
republican;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;10;2;2;2;0;4;0;2;2;0;2;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;4;2;0;0;0;0;2;0;0;2;2;0;0;0;2;2;0;0;0;2;4;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0
washington;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;2;2;2;0;0;0;2;2;0;0;0;0;4;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0
obama;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;6;0;2;2;0;0;2;2;0;2;2;2;2;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;2;0;0;2;0;0;0;0;0;2;2;2;0;2;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0
fbi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;2;0;0;2;0;2;4;0;2;0;0;4;8;0;0;0;2;0;2;0;2;0;0;6;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;2;0;2;0;4;0;6;0;6;0;0;0;0;2;0;0;4;2;0;0;0;0;0;0;2;0
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;4;0;2;0;0;2;0;0;2;0;0;0;0;2;0;0;0;4;0;0;0;6;2;0;2;0;4;2;0;2;0;4;0;2;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0
best;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;2;2;4;0;2;0;4;0;0;0;0;2;0;2;2;2;0;2;0;0;0;4;0;0;0;2;2;0;0;0;2;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0
party;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;2;0;0;2;2;0;0;0;0;0;2;0;2;6;0;0;0;0;0;2;2;0;0;4;0;4;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;8
love;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;2;0;0;0;2;0;0;0;4;0;0
america;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;4;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;2;0;0;0;0;0;6;0;0;0;0;2;0;0;2;0;2
campaign;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;10;8;0;0;0;0;0;0;8;0;0;2;0;2;0;0;0;0;4;0;0;2;6;0;0;0;0;0;6;0;4;4;0;0;0;0;2;0;0;0;2;0;2;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2
