;texas;state;#covid19;texans;health;continue;public;tx;covid19;@texasdshs;spread;help;care;new;across;local;protect;communities;testing;medical;executive;coronavirus;professionals;hospital;response;work;provide;safety;may;honor;neighbors;2020;food;essential;order;orders;issued;medicaid;@tdem;combat;respond;together;capabilities;great;txs;reduce;stay;national;businesses;virus;discuss;million;meeting;industry;disaster;capacity;@texasflca;people;services;call;joined;potential;emergency;supply;guidelines;needs;mitigate;workforce;working;announcing;#texasstrong;social;supplies;force;#txlege;contact;resources;community;leaders;strategies;certain;throughout;hall;info;declaration;allowing;patients;ensure;facilities;@texashhsc;support;media;afternoon;ongoing;impact;schools;older;continues;chain;town
texas;0;26;26;10;10;14;8;2;12;4;8;12;10;10;8;8;8;12;4;6;10;6;6;8;8;6;8;4;6;2;0;6;4;6;8;6;8;2;2;4;8;6;4;6;0;6;0;2;6;4;2;6;0;6;6;6;2;6;4;2;4;0;6;6;4;2;2;8;4;4;2;0;6;6;6;4;2;6;2;2;4;4;0;2;4;2;6;2;4;2;2;4;2;2;4;2;2;4;4;0
state;0;0;20;8;10;10;8;2;4;6;6;4;4;4;6;8;4;2;0;4;0;4;2;4;2;4;6;4;2;0;0;0;2;2;0;0;2;4;6;0;6;4;0;4;2;0;2;0;0;0;2;0;4;0;2;4;0;2;2;0;2;0;4;4;2;4;4;2;4;0;2;2;4;2;6;2;2;2;4;2;0;2;4;4;2;0;0;2;2;4;2;4;0;2;0;0;0;2;2;4
#covid19;0;0;0;14;16;6;12;4;2;12;8;6;8;2;2;8;8;4;4;6;4;2;6;6;8;6;8;6;2;0;0;0;4;4;2;2;4;0;6;8;6;4;4;0;4;4;2;0;4;4;4;2;2;0;2;4;0;2;0;2;2;2;0;2;4;0;4;2;8;0;0;2;2;2;0;2;4;2;4;2;0;4;2;6;0;2;0;4;4;2;4;0;0;2;4;0;0;2;2;2
texans;0;0;0;0;4;12;4;6;4;4;4;8;4;0;2;6;6;2;0;2;4;2;2;0;6;6;4;0;0;0;6;0;2;2;0;6;4;2;2;4;4;6;0;0;2;2;4;0;0;4;0;0;0;0;0;0;4;2;2;2;0;6;0;0;4;4;0;0;2;0;2;4;0;2;0;0;2;2;0;2;2;2;2;2;0;0;2;4;2;4;4;2;0;0;0;2;0;2;0;2
health;0;0;0;0;0;4;14;2;2;4;10;4;4;2;0;4;10;6;6;0;0;2;2;2;2;6;4;6;2;0;2;0;4;2;0;2;2;0;2;2;2;6;4;0;4;2;2;0;0;4;0;0;0;0;2;2;2;0;0;4;2;4;2;0;2;0;4;0;4;0;2;0;0;0;0;2;4;2;4;0;0;4;0;2;2;0;0;2;4;2;0;0;0;2;2;0;4;0;0;0
continue;0;0;0;0;0;0;4;2;8;4;6;6;0;0;2;4;6;4;2;0;0;2;0;0;2;6;0;0;2;0;2;0;0;2;0;2;0;2;2;0;0;6;0;2;2;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;4;0;2;0;0;2;0;0;0;2;0;0;2;2;0;0;2;0;4;0;0;4;2;0;2;2;0;0;0;0;2;0;0;0;0
public;0;0;0;0;0;0;0;0;2;4;8;4;0;2;0;4;8;4;2;2;2;0;0;0;2;4;2;6;0;0;0;0;0;2;0;4;4;0;2;2;2;4;2;0;4;4;0;0;0;4;0;0;0;0;2;0;0;0;0;0;2;2;2;0;4;0;2;0;0;0;0;0;0;0;0;2;2;2;4;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0
tx;0;0;0;0;0;0;0;0;2;6;2;0;0;0;2;2;2;0;2;2;0;4;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;4;2;0;0;2;0;2;2;0;2;2;2;0;0;2;0;2;0;0;0;2;0;2;0;2;0;0;2;2;0;0;2;2;0;0;0;0;2;2;0;0;6;4;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;4;0;0
covid19;0;0;0;0;0;0;0;0;0;2;6;4;0;0;2;0;4;2;2;0;2;0;0;2;2;0;0;0;0;0;0;0;0;2;2;0;0;4;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;2;2;0;0;4;0;0;0;0;2;0;2;2;0;0;2;0;0;0;2;0;2;0;0;0;2;2;0;0;0;2;0;4;2;0;4;0;0;0;0;4;2;0;4;2;0
@texasdshs;0;0;0;0;0;0;0;0;0;0;6;0;0;0;2;2;4;0;4;0;2;4;0;2;2;2;0;0;0;0;0;0;0;0;2;0;2;0;8;2;0;0;2;0;4;2;0;0;0;4;2;2;4;0;0;2;0;0;0;0;4;2;2;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;4;0;2;0;0;0;0;2;0;0;0;2;0;0;2;2;2
