;health;#covid19;covid19;state;care;work;call;home;schools;live;visit;children;stay;todays;essential;update;order;homes;tax;critical;leader;information;support;across;necessary;2;child;businesses;thank;public;coronavirus;please;additional;together;#coronavirus;spread;times;utah;provide;updates;orders;city;tomorrow;new;cases;workers;send;working;watch;service;commissioner;33;insurers;community;officials;healthy;increase;life;thanks;email;least;address;focus;county;symptoms;councillor_matlow@torontoca;costs;governor;eviction;receive;#alpolitics;immediately;unprecedented;vote;contain;#ontariospirit;#teamkentucky;vulnerable;briefing;fund;leave;issued;cover;latest;6;close;credit;may;level;ensure;department;reading;force;facilities;testing;due;tried;without;gop;medical
health;0;2;2;6;4;0;0;2;0;0;4;2;0;0;2;0;4;0;0;2;0;2;2;0;0;0;0;0;0;4;0;2;4;0;0;0;0;2;2;2;2;2;0;2;0;2;2;0;0;2;2;2;2;0;4;2;2;0;0;2;2;0;0;4;2;2;4;0;0;0;0;2;0;0;2;0;0;0;0;0;0;4;2;0;0;2;0;0;0;0;4;0;0;0;2;0;0;4;0;2
#covid19;0;0;0;2;4;2;0;0;2;2;2;2;0;2;2;0;0;0;0;0;0;2;0;2;0;0;2;0;2;0;0;0;0;2;0;2;0;0;0;2;0;0;2;0;2;0;0;0;4;0;2;0;2;0;0;0;4;0;2;0;0;0;0;0;0;0;2;2;0;2;2;0;0;0;2;0;4;0;2;0;0;0;2;0;2;2;0;0;0;0;0;0;0;2;2;2;0;2;0;2
covid19;0;0;0;0;2;2;4;2;4;4;2;0;2;2;0;2;2;0;0;0;2;0;2;2;2;0;0;2;2;2;2;0;2;2;0;2;2;0;2;2;2;2;0;2;0;0;2;2;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;4;0;2;0;0;2;2;0;0;0;0;4;0;2;0;0;2;0;2;0;0;0;0;2;0;0;0;0
state;0;0;0;0;6;0;0;2;2;0;0;0;0;0;0;0;4;2;0;0;0;2;0;2;2;0;2;0;0;0;2;0;2;0;0;0;0;2;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;2;2;2;0;0;0;0;0;2;0;0;0;4;0;0;2;0;0;0;2;0;2;0;2;2;0;0;0;2;0;2
care;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;2;0;0;0;0;2;2;2;0;4;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;4;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;2;0;0;4;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;4;2;0;0;4;0;4
work;0;0;0;0;0;0;4;2;0;0;2;0;2;2;2;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0
call;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0
home;0;0;0;0;0;0;0;0;2;0;0;0;6;2;2;0;4;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0
schools;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;2;0;0;0;2;4;0;0;2;0;2;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
live;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
