;trump;president;great;people;states;united;new;american;house;federal;news;government;national;working;white;administration;york;department;party;democrats;state;help;republican;hard;article;world;media;job;obama;fake;campaign;released;former;country;fbi;justice;best;source;man;senate;election;china;security;bill;americans;big;reserve;good;2016;thank;year;information;donald;times;team;clinton;amazing;looking;hillary;war;washington;love;part;may;together;history;thing;presidential;million;law;scrolls;elder;senator;stop;end;russia;tuesday;tax;work;terrorist;political;john;proud;committee;family;left;signed;post;finally;city;2015;nothing;economy;money;win;major;court;called;vote;deal
trump;0;68;14;24;14;14;28;10;20;8;20;10;12;6;16;32;16;10;4;12;6;8;10;4;8;2;12;4;12;14;28;6;2;0;18;12;0;4;0;12;18;8;8;4;4;10;0;4;18;4;4;10;30;14;4;8;0;8;10;2;8;2;4;4;4;6;6;18;4;4;0;0;4;4;4;16;8;6;4;2;12;6;0;10;2;4;4;6;0;4;2;2;2;4;8;6;0;4;4;8
president;0;0;12;18;32;30;26;6;12;10;10;6;12;8;6;10;12;6;8;10;4;6;6;8;0;2;4;6;18;8;4;4;6;8;16;10;2;4;0;12;12;8;8;4;2;6;6;4;16;0;2;4;8;6;0;4;4;4;4;4;10;0;4;4;4;4;2;10;4;8;0;0;0;2;4;4;8;6;2;0;4;8;2;6;2;0;10;8;2;4;0;2;2;2;6;6;4;6;2;6
great;0;0;0;22;6;6;10;16;4;4;10;10;10;14;4;6;0;4;0;10;2;6;4;12;2;16;6;20;4;4;2;2;4;10;2;6;2;0;2;2;4;0;4;6;4;8;2;18;0;16;4;0;0;0;8;2;6;2;2;6;8;14;2;0;4;4;6;2;2;2;0;0;6;2;6;0;4;2;12;0;4;2;0;2;8;0;6;0;2;0;0;4;4;0;6;4;2;4;6;2
people;0;0;0;0;28;26;16;34;12;8;4;8;4;14;10;6;2;8;0;12;8;10;6;8;6;6;2;8;2;2;2;6;6;8;12;10;2;2;4;2;10;4;4;6;2;6;4;4;8;8;4;2;2;0;4;2;2;4;2;0;4;8;6;4;0;4;2;2;8;4;0;0;4;0;8;4;2;4;6;2;4;2;4;0;8;4;2;0;2;2;0;4;6;4;0;2;2;0;4;0
states;0;0;0;0;0;128;18;16;10;12;8;10;6;12;2;8;6;6;6;6;8;4;8;4;4;10;4;10;8;6;0;2;4;4;0;6;0;0;0;0;2;12;6;4;6;4;0;2;6;2;2;0;0;2;2;2;0;0;4;12;0;0;2;4;8;4;2;0;2;2;0;0;6;2;6;0;2;4;0;12;2;2;0;0;2;2;0;0;4;4;0;0;0;2;0;2;4;4;2;0
united;0;0;0;0;0;0;20;14;10;4;10;8;6;12;2;8;6;6;4;6;6;4;6;4;4;12;6;8;8;6;0;4;4;4;0;4;0;0;0;0;2;12;6;4;2;4;0;4;2;2;2;0;0;2;2;8;0;0;10;12;0;0;2;4;8;4;2;0;2;2;0;0;4;2;2;0;4;4;0;12;4;2;0;0;2;2;0;0;4;4;0;2;0;4;0;0;2;0;2;2
new;0;0;0;0;0;0;0;10;12;2;14;6;8;12;12;4;56;6;4;2;2;6;4;6;4;2;4;0;2;8;4;8;6;6;2;6;0;4;4;2;6;8;4;2;0;6;2;4;4;2;2;4;6;22;6;6;2;0;6;4;2;4;0;2;0;4;2;6;2;4;0;0;0;2;0;2;0;0;2;0;2;4;2;2;4;6;2;8;2;8;2;2;4;2;4;6;2;0;0;2
american;0;0;0;0;0;0;0;0;8;2;4;2;12;6;4;4;4;6;2;2;4;8;4;2;2;6;2;6;2;2;2;4;4;4;6;8;4;0;2;0;2;4;2;4;8;0;2;0;6;2;2;6;0;0;2;0;0;0;0;6;0;0;2;4;0;6;2;6;2;4;0;0;4;2;4;0;0;2;6;2;2;4;6;2;2;0;0;0;4;2;0;2;8;0;2;0;0;0;2;0
house;0;0;0;0;0;0;0;0;0;4;10;4;2;4;50;8;10;2;0;10;2;2;0;0;4;0;2;0;8;2;4;6;2;4;2;0;2;6;4;4;2;2;2;6;0;2;2;4;4;2;4;2;2;8;0;2;4;4;0;0;0;0;0;4;0;0;0;2;2;6;2;2;0;4;2;2;2;2;0;0;4;2;0;10;2;0;2;4;6;0;0;0;0;2;2;2;0;2;4;0
federal;0;0;0;0;0;0;0;0;0;0;4;28;4;4;2;2;0;4;2;0;6;2;0;0;2;2;2;6;2;0;2;2;4;2;0;4;0;0;4;0;2;0;2;0;2;4;28;4;4;0;6;0;2;2;0;0;0;0;2;2;2;0;6;2;2;0;0;2;12;4;0;0;2;0;2;2;2;2;4;2;0;0;0;0;4;0;4;0;0;2;0;2;8;6;2;0;6;2;0;2
