;people;united;states;trump;great;new;russia;campaign;president;big;government;republican;american;news;national;election;york;state;working;fbi;investigation;china;best;house;media;fake;looking;department;thank;night;millions;year;investigating;economy;presidential;syrian;democrats;white;order;amazing;2016;act;history;think;administration;justice;federal;committed;week;change;stop;help;obama;released;trumps;committee;serve;party;security;given;tonight;admitted;americans;totally;considering;transcript;@foxnews;democratic;away;trying;copy;talking;chip;another;bill;local;called;talks;could;man;whether;team;power;important;lot;rush;times;illegal;thing;money;full;military;hard;seen;country;social;lost;left;altright;iran
national;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;2;2;0;2;2;0;0;2;0;2;0;0;2;0;2;0;2;0;2;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;2;0;0;8;0;0;4;4;2;0;2;0;0;0;2;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0
election;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;2;0;0;0;0;0;2;2;0;0;2;2;4;0;8;0;4;0;0;0;8;0;0;0;2;2;0;2;0;0;0;2;2;2;4;2;0;0;2;2;2;0;2;0;0;0;2;2;2;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0
york;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;2;2;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;6;0;0;2;0;0;0;0;0;0;0;2;0;0
state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;2;0;4;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;2;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
fbi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;4;0;0;0;0;8;0;4;0;0;0;2;0;2;0;0;0;0;4;0;2;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;2;4;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
investigation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;2;0;0;2;0;0;2;0;0;2;0;0;0;2;2;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0
china;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0
best;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;2;0;0;2;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
house;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;10;2;0;0;4;0;0;2;0;0;2;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;2;2;2;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0
