;great;president;united;new;states;trump;american;obama;administration;times;state;benjamin;fbi;people;house;news;public;court;government;thank;senate;department;special;canadian;big;major;york;national;white;decision;federal;man;justice;nothing;behind;investigation;republican;saturday;victory;love;left;democrats;anthonynathanial;think;reporting;california;supreme;bill;radical;security;night;law;hillary;syrian;navy;updated;prosecutor;amazing;crime;presidential;former;killed;zone;america;support;recent;job;fully;best;used;country;loved;deal;products;poll;incredible;governments;report;congress;hanukkah;order;potions;told;called;flat;trying;quickly;senior;handling;election;attack;existence;countries;life;press;future;week;home;pbe;business
great;0;4;6;2;4;2;2;2;2;2;4;0;0;2;2;0;0;0;0;2;2;0;0;0;4;0;2;2;0;0;0;2;0;2;0;0;2;0;0;6;2;2;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;2;0;2;2;0;0;0;2;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;2;2;0;0;2
president;0;0;4;4;2;10;4;4;2;4;0;0;2;2;2;2;2;0;0;0;2;0;2;0;2;0;2;4;2;2;2;0;0;2;0;2;2;2;2;2;0;0;0;0;4;0;0;2;0;0;2;2;4;0;0;0;4;0;4;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;4;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0
united;0;0;0;0;20;0;6;0;2;0;2;0;0;4;0;2;0;2;0;2;0;0;2;2;0;2;0;0;0;0;0;4;2;0;0;0;0;0;2;4;2;2;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0
new;0;0;0;0;0;2;0;0;0;6;2;0;0;0;0;0;0;0;2;0;4;0;2;0;2;0;8;2;0;0;0;0;0;0;0;0;2;0;0;0;2;2;2;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;2;0;2;0;2;0;0;0;0;0;0;2;0;0;2;2;2;2;2;0;0;2;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;2;2;4;0;2
states;0;0;0;0;0;0;4;0;2;0;2;0;0;2;0;0;0;2;0;2;0;0;2;2;0;2;0;0;0;0;0;4;2;0;0;0;0;0;2;2;2;2;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0
trump;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;2;4;0;0;0;4;0;0;0;2;0;0;2;0;2;2;0;0;0;0;2;4;2;2;0;0;0;0;0;4;0;0;2;0;0;2;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
american;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;2;2;0;2;2;0;0;0;2;0;0;2;4;0;0;4;0;0;2;0;0;2;4;2;0;0;0;0;0;0;2;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
obama;0;0;0;0;0;0;0;0;8;2;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;2;2;0;0;0;2;0;0;2;0;2;0;2;0;0;0;0;0
administration;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;2;0;0;2;2;2;0;2;0;0;0;0;0
times;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;6;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;2;2;0;0;0;0;0;0;2;0;0;2
