;wyoming;covid19;health;cases;confirmed;continue;public;orders;states;distancing;social;communities;home;stay;additional;transition;april;number;#stayhomestaysafe;new;data;people;work;put;recovered;response;safe;#slowthespread;important;holding;county;workers;provide;testing;wyomings;spread;may;help;facebook;thank;remember;businesses;economy;state;available;phase;symptoms;briefing;information;funding;staying;reported;wyomingites;case;media;citizens;statewide;watch;youtube;live;family;resources;critical;results;steps;begin;restrictions;next;impact;#staysafestayhome;days;along;conditions;8;actions;year;lives;update;remain;3;probable;residents;reopen;count;unemployment;protect;counties;include;determine;signed;community;illness;serious;department;coming;take;forward;related;times;virus
wyoming;0;32;24;16;16;14;6;4;10;8;8;8;14;6;8;8;6;8;10;8;10;6;2;6;8;4;6;6;2;4;6;6;4;2;2;6;4;8;4;6;2;4;2;4;4;6;4;4;2;4;6;4;2;2;4;4;6;2;2;4;6;8;4;6;4;4;2;0;0;2;4;4;2;4;4;4;4;2;0;0;2;4;2;2;0;4;6;0;4;4;6;4;2;6;2;0;2;4;2;6
covid19;0;0;16;18;18;14;4;2;10;10;10;2;12;4;10;2;10;8;8;6;8;4;0;4;10;12;6;8;2;8;6;6;6;4;8;10;4;6;8;2;6;4;2;4;4;0;6;6;4;0;6;6;4;4;6;2;6;6;6;6;4;2;2;4;2;2;0;2;0;2;2;4;2;4;0;2;4;4;2;4;4;4;0;2;0;0;6;4;0;2;6;6;2;2;0;0;4;6;0;6
health;0;0;0;10;6;10;16;10;10;10;10;4;8;6;4;4;4;8;6;8;6;0;0;6;2;2;2;2;6;0;8;2;0;2;2;4;0;4;0;0;4;2;6;4;2;2;4;0;4;0;2;4;0;0;0;8;2;0;0;0;4;6;2;2;4;2;6;2;2;4;4;6;4;0;0;0;2;0;2;0;0;4;4;0;0;6;0;2;2;0;4;2;2;6;6;4;2;4;2;2
cases;0;0;0;0;22;10;8;0;6;4;4;2;4;4;6;2;0;6;8;8;8;4;0;0;10;0;2;4;0;0;4;0;0;2;2;2;4;0;0;4;4;0;0;2;2;0;6;0;2;0;2;4;2;4;0;0;0;0;0;0;2;0;2;2;2;2;2;0;2;2;2;6;0;2;2;0;2;0;2;0;4;2;0;2;0;0;6;2;0;0;2;2;2;2;0;0;0;2;2;2
confirmed;0;0;0;0;0;8;4;0;6;4;4;2;6;6;6;0;0;6;8;4;8;4;0;0;10;0;4;4;2;0;6;2;0;2;0;2;4;0;0;4;6;0;0;2;2;0;6;0;2;0;4;2;4;8;0;0;0;0;0;0;4;0;2;2;0;2;0;0;2;0;2;4;0;2;2;0;2;0;2;0;4;2;0;2;0;0;6;2;0;0;2;2;2;2;0;0;0;0;0;4
continue;0;0;0;0;0;0;4;0;2;8;8;2;6;4;2;4;0;4;4;2;2;6;0;0;2;2;2;8;0;0;0;4;2;0;4;6;0;2;0;4;0;2;2;2;0;2;2;0;2;0;4;4;2;2;0;2;2;0;0;0;2;2;2;2;2;2;2;0;2;2;2;2;0;0;2;0;2;0;2;0;0;2;0;0;2;2;4;2;0;0;0;0;0;0;2;2;4;4;0;0
public;0;0;0;0;0;0;0;6;6;2;2;2;0;0;2;2;0;2;2;6;0;2;2;6;0;0;0;0;4;0;2;2;0;2;2;0;0;0;0;4;4;4;0;2;0;0;2;0;0;0;0;2;2;0;0;2;0;0;0;0;2;2;2;0;2;2;2;0;4;2;2;2;2;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;2;0
orders;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;2;6;2;0;4;0;2;4;4;0;0;0;0;2;2;0;2;2;0;0;0;2;0;2;2;2;2;2;2;0;4;0;2;0;0;0;0;2;0;2;4;4;2;2;2;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;2;2;0;0;2;2;0;0;2;0;0;2;0;2;0;4;0;2;2;0;0;0;0
states;0;0;0;0;0;0;0;0;0;2;2;4;0;2;4;0;2;0;2;2;0;0;0;6;2;2;0;0;0;2;2;2;0;2;0;0;4;0;2;0;2;2;2;2;0;0;2;2;0;0;0;4;0;0;2;2;0;2;2;2;0;4;4;2;0;2;0;0;2;2;2;0;2;2;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;2;2;2;0;2;0;2;0;0;2
distancing;0;0;0;0;0;0;0;0;0;0;18;4;4;4;0;4;0;2;0;4;0;2;0;0;0;0;2;6;2;0;0;4;0;0;2;6;0;4;0;0;0;2;2;0;0;2;2;0;0;0;4;4;2;4;0;0;0;0;0;0;2;0;2;2;2;0;2;2;0;6;0;2;2;0;2;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;2;0;0;2;0;2;0;2;0;2
social;0;0;0;0;0;0;0;0;0;0;0;4;4;4;0;4;0;2;0;4;0;2;0;0;0;0;2;6;2;0;0;4;0;0;2;6;0;4;0;0;0;2;2;0;0;2;2;0;0;0;4;4;2;4;0;0;0;0;0;0;2;0;2;2;2;0;2;2;0;6;0;2;2;0;2;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;2;0;0;2;0;2;0;2;0;2
communities;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;2;0;4;0;0;2;2;2;0;0;0;0;2;0;0;0;4;0;0;0;0;4;0;0;0;0;0;0;4;2;0;0;2;0;0;0;0;0;0;0;2;4;4;4;0;2;2;0;0;2;0;0;0;0;4;0;0;2;0;0;0;2;2;0;0;0;0;4;2;0;0;0;0;2;2;0;0;2;0
home;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;2;4;0;0;0;0;0;2;2;0;6;4;0;0;2;2;0;0;0;4;0;4;0;2;0;0;0;0;0;0;0;0;0;2;8;0;2;2;0;2;2;0;0;0;4;2;0;4;0;0;0;0;0;0;0;0;2;0;0;2;4;0;0;0;0;2;0;2;0;2;4;2;2;0;2;2;0;0;0;0;0;2;0;4
stay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;4;2;2;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;4;0;2;2;0;0;0;2;2;2;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;2;0;0;2;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0
