;new;great;united;states;news;president;trump;administration;house;national;thank;job;federal;people;democrats;obama;government;media;white;presidential;trying;law;court;support;election;state;country;police;pass;proud;times;city;press;gop;nation;party;live;york;trade;poll;candidate;subscribe;give;debates;across;deal;looking;american;good;fake;dems;republican;released;2016;respected;violence;allow;statement;accused;francisco;cut;committee;help;work;may;sec;night;guy;taking;navy;big;practice;america;fact;article;holding;close;greatest;strong;usa;amazing;fbi;5;crisis;god;conference;terrorist;man;border;world;democrat;democratic;investigating;security;history;forget;given;4;investigation;terms
new;0;6;2;0;4;4;6;6;8;2;2;6;2;2;0;4;4;2;6;2;2;2;0;0;2;4;0;2;0;0;6;4;2;0;2;0;0;8;4;2;0;0;0;0;4;2;0;2;0;2;0;2;2;2;0;0;4;0;0;2;4;0;0;0;4;4;0;0;2;0;2;2;2;0;0;0;0;2;0;0;2;0;0;4;0;0;0;0;2;0;0;0;4;0;2;2;0;2;0;0
great;0;0;2;2;4;2;2;0;2;2;4;4;4;0;2;0;0;4;2;0;4;2;0;0;0;2;2;0;4;0;0;0;2;0;2;0;0;0;2;0;0;0;0;2;2;6;0;4;2;4;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;2;4;0;0;0;4;2;0;0;0;0;0;0;2;0;0;2;0;2;0;0;4;0;0;0;0;0;0;0;2;0;0;0
united;0;0;0;20;0;6;0;4;0;2;2;2;2;2;0;4;4;2;0;0;2;2;2;0;2;0;2;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;2;2;0;0;0;0;0;2;0;2;0;0;0;0;2;2;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;2;2;0;2;0;0;0;2;0;2;0;0;0;2;2;0;0;0;2;0;0;2;0;0;2
states;0;0;0;0;0;6;0;2;0;2;2;2;0;2;0;2;4;0;0;0;2;0;2;0;2;0;2;0;2;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;2;0;2;0;0;0;4;0;2;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;2;4;0;2;0;0;0;2;0;2;0;0;0;2;2;0;0;0;2;0;0;2;0;0;2
news;0;0;0;0;0;4;2;0;2;0;2;2;2;0;2;0;0;8;2;2;0;0;2;0;0;0;0;2;0;0;4;0;0;0;2;0;2;4;0;0;0;2;0;0;0;0;0;0;2;8;0;0;0;2;2;0;0;2;2;0;0;0;0;0;0;2;2;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;4;0;0;0;0;2;0;2;0;0;0;0;0
president;0;0;0;0;0;0;8;0;2;2;2;2;0;4;2;0;2;2;2;0;0;0;2;0;4;2;0;0;0;0;0;0;0;0;4;0;0;0;4;0;0;0;0;0;0;0;0;2;2;2;2;0;4;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;2;2;0;0;4;2;0;0;2;2;0;2;0;0;0;0
trump;0;0;0;0;0;0;0;4;0;0;0;0;2;2;0;0;0;2;0;0;0;4;2;0;2;2;0;0;0;0;0;2;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;4;0;0;2;0;0;0;0
administration;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;10;2;2;0;0;0;2;2;0;0;0;0;0;2;0;2;2;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;2;0;0
house;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;10;0;0;0;0;0;0;2;0;0;0;0;4;0;6;0;0;0;0;2;2;2;0;0;0;0;0;2;0;2;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0
national;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;2;0;0;2;0;4;0;0;0;2;2;0;0;2;0;0;4;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;2;2;0;0;0;2;4;0;0;0;6;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;2;0;2;0;2;4;0;4;0;0;0;0;0;0
thank;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;4;0;0;4;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0
job;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;2;0;0;0;4;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;4;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0
federal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;4;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0
democrats;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;6;0;0;0;2;0;0;0;4;2;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0
obama;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;2;0;0
government;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
white;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;6;0;0;0;0;2;2;2;0;0;0;0;0;2;0;2;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0
presidential;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;2;0;0;2;0;0;4;0;0;0;2;0;0;0;2;2;4;0;0;0;2;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
trying;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
law;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0
court;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
