;president;#defendourdemocracy;trump;senate;impeachment;americans;trial;american;house;admin;bipartisan;act;witnesses;people;constitution;congress;mcconnell;documents;america;delegation;managers;protect;coverup;leader;committee;protections;trumps;fair;full;articles;live;power;health;tune;congressional;statement;across;preexisting;violence;member;israel;clear;democrats;presidents;capitol;former;care;families;judiciary;law;chairman;liberation;war;new;iran;visit;plan;@housedemocrats;honor;#forthepeople;#protectourcare;commitment;continue;end;world;actions;stop;75;watch;resolution;rico;seen;forward;duty;ensure;forever;environment;lives;message;top;proud;reporters;poland;cannot;survivors;impeached;vote;et;fight;puerto;communities;away;democratic;military;#worldholocaustforum;holocaust;government;year;response;housepassed
president;0;32;22;22;18;8;20;8;10;0;0;2;14;8;12;2;12;14;4;0;10;4;10;8;0;4;10;6;2;8;0;6;0;4;0;0;4;2;0;0;0;4;2;2;0;0;2;2;0;4;0;0;4;4;4;0;4;0;2;0;4;0;0;2;0;4;2;0;0;4;0;6;2;4;0;2;2;0;0;2;0;2;0;2;0;8;4;0;0;0;0;4;0;2;0;0;0;0;0;0
#defendourdemocracy;0;0;14;26;22;2;20;6;18;0;0;0;10;4;14;6;8;8;2;0;14;2;8;4;12;0;2;6;2;10;0;6;0;2;0;0;0;0;0;8;0;4;0;8;0;6;0;0;8;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;2;0;4;0;2;0;0;0;2;0;0;0;2;0;6;0;0;0;0;0;0;2;2;0;0;2;0;0;0
trump;0;0;0;16;8;20;10;6;12;18;0;4;10;2;2;6;6;14;0;0;4;4;6;2;0;6;2;4;10;6;0;0;6;4;0;8;0;6;0;0;0;2;6;2;0;0;4;0;0;2;0;0;0;2;2;0;2;2;0;0;4;0;4;2;0;0;4;0;0;0;6;2;2;0;0;0;4;0;0;2;2;2;0;2;2;2;0;0;2;6;0;4;0;2;0;0;2;0;0;0
senate;0;0;0;0;18;4;18;8;12;0;4;6;16;6;10;2;6;14;0;0;10;2;10;6;0;0;0;6;2;8;0;4;0;2;0;0;0;0;0;0;0;4;2;6;0;0;0;0;0;2;0;0;0;0;0;0;2;2;2;4;0;2;0;0;0;0;2;0;2;2;0;2;0;4;0;2;0;0;0;2;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;2
impeachment;0;0;0;0;0;0;18;4;12;0;0;0;4;4;6;0;0;4;0;0;18;0;4;2;2;0;0;0;0;12;2;0;0;4;0;0;0;0;0;2;0;0;0;2;4;0;0;0;2;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;4;2;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;2;0;0;2
americans;0;0;0;0;0;0;2;4;4;10;2;4;4;2;2;0;4;2;0;0;0;8;2;0;0;8;0;2;2;0;4;0;8;4;0;2;0;8;2;0;0;0;4;2;0;0;4;4;0;0;0;0;2;2;0;0;2;4;0;0;6;2;0;0;4;2;2;0;0;2;4;4;2;0;2;0;2;2;0;0;0;2;0;2;2;0;2;0;4;4;0;2;0;0;0;0;0;2;0;0
trial;0;0;0;0;0;0;0;10;8;0;0;0;14;8;6;8;6;12;0;0;10;0;6;4;0;0;2;12;2;2;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;4;0;4;0;0;0;0;0;0;0;4;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0
american;0;0;0;0;0;0;0;0;4;4;0;4;8;12;2;2;4;6;0;0;0;6;6;2;0;0;2;4;0;0;2;4;2;2;0;0;0;0;2;0;0;4;0;2;0;0;2;6;0;0;0;0;0;0;0;0;2;0;2;0;0;0;4;0;0;2;2;0;0;0;2;2;0;0;0;2;2;4;0;2;0;0;0;4;0;0;0;0;2;2;4;0;0;0;0;0;2;0;0;0
house;0;0;0;0;0;0;0;0;0;4;4;2;2;2;4;4;2;4;0;2;6;0;2;0;10;0;2;2;4;4;0;4;0;4;2;4;0;0;2;8;0;0;2;4;0;6;0;0;8;2;4;2;4;0;4;0;0;0;2;2;0;0;0;0;0;4;0;0;0;6;0;0;2;4;0;0;0;0;0;4;0;2;0;0;0;0;2;0;2;0;0;0;2;4;2;0;2;0;0;0
admin;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;2;0;0;0;2;2;0;2;0;0;0;2;0;0;2;0;2;2;0;0;0;4;2;0;0;0;2;0;0;0;0;2;0;4;0;0;0;0;0;0;0;4;0;0;2;2;0;0;2;6;2;2;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;2;6;2;0;0;4;0;0;0;0;0;0
