;#togetheral;#alpolitics;#covid19;alabama;alabamians;state;thank;al;@alpublichealth;order;health;visit;people;help;support;#saferathome;great;learn;across;continue;social;working;proud;new;please;work;pandemic;distancing;care;businesses;crisis;taking;safe;take;fellow;efforts;#ribbonsofhope;harris;provide;live;states;dr;appreciate;good;stay;als;local;spread;act;folks;#askgovivey;april;#stayathome;weather;resources;news;community;assistance;remember;still;economy;friends;hosting;watch;important;press;practice;program;testing;@yext;members;home;encouraged;partnership;workforce;federal;ive;encourage;business;responsibility;full;forward;economic;precautions;hope;team;ppe;resource;unemployment;find;@madeinal;country;week;cares;workers;additional;update;claims;use;questions
#togetheral;0;90;124;48;64;40;42;34;66;54;38;32;34;32;18;36;24;18;14;26;26;10;12;16;18;16;12;24;20;18;18;12;16;22;18;14;24;22;16;18;16;22;12;14;16;10;14;18;4;14;0;12;20;2;12;14;8;10;10;14;14;8;16;16;6;16;14;4;10;14;10;14;16;10;0;4;8;10;6;12;2;6;8;16;16;6;10;12;8;12;4;10;14;2;10;6;14;4;6;10
#alpolitics;0;0;70;32;26;18;24;18;28;20;14;14;12;16;12;8;14;10;16;8;4;10;6;4;10;6;10;4;10;16;12;8;10;6;8;18;8;14;14;14;8;14;10;6;8;8;14;8;12;6;8;2;8;6;10;16;6;8;6;4;6;2;14;14;8;16;2;6;6;8;8;6;4;2;8;6;4;4;6;0;8;6;6;0;6;4;6;6;6;6;10;0;2;6;6;6;12;4;8;6
#covid19;0;0;0;18;44;22;28;30;34;12;14;22;10;20;10;14;16;8;10;10;6;6;6;16;6;8;16;4;8;10;20;8;8;8;14;18;2;16;18;20;18;16;8;0;8;16;12;20;4;10;6;2;4;2;10;14;8;8;2;6;6;4;16;14;4;18;2;2;16;10;6;4;6;4;4;2;4;10;6;8;2;4;4;6;4;4;4;14;2;10;6;6;4;2;2;4;14;0;6;12
alabama;0;0;0;0;4;18;16;6;4;8;12;12;22;6;8;4;8;2;12;6;4;6;14;6;6;4;6;4;8;6;8;6;8;6;0;4;2;2;0;4;2;2;6;6;6;2;2;2;4;2;2;10;6;2;4;2;2;2;6;2;0;4;4;2;4;2;4;6;0;0;6;0;2;4;2;4;4;4;0;2;4;6;0;2;0;0;0;0;2;2;0;6;6;2;4;2;2;2;2;0
alabamians;0;0;0;0;0;12;16;12;12;10;8;18;10;14;10;10;4;2;4;6;8;4;2;12;6;4;4;6;4;4;2;6;4;6;20;2;6;0;6;4;2;0;8;2;2;2;6;4;4;6;10;0;2;2;6;0;0;4;2;6;0;6;2;0;2;0;4;0;4;10;0;2;6;6;2;4;0;12;2;2;2;4;4;0;2;8;2;6;4;4;4;0;2;4;2;4;0;4;4;8
state;0;0;0;0;0;0;6;6;6;6;10;2;8;2;8;4;2;4;14;6;0;8;10;4;2;10;6;0;4;2;4;6;6;4;6;2;2;0;4;2;2;0;6;4;6;6;6;2;6;6;4;2;4;6;2;2;0;4;2;0;8;6;2;0;0;0;0;2;2;2;0;0;0;4;2;4;8;2;2;0;4;2;4;2;2;2;2;2;0;4;0;6;2;2;2;4;0;0;2;2
thank;0;0;0;0;0;0;0;14;4;2;12;6;8;4;8;2;8;0;0;2;0;2;2;0;0;2;2;0;6;2;4;4;2;0;4;4;8;0;2;0;0;0;4;4;0;2;2;2;2;0;0;2;2;2;4;0;4;2;0;0;2;4;4;0;0;2;0;0;0;0;2;2;0;2;2;0;2;6;4;0;0;2;0;0;6;0;4;0;0;2;6;6;2;2;8;0;0;0;0;0
al;0;0;0;0;0;0;0;0;8;2;8;6;4;14;8;2;10;6;6;4;2;0;2;6;2;6;10;2;2;6;6;4;0;4;2;4;2;0;2;0;8;0;2;0;0;4;0;2;8;2;2;4;0;4;4;2;4;6;0;0;4;2;2;0;2;0;2;4;4;2;0;0;2;2;2;4;2;6;8;4;4;6;8;0;0;0;4;2;0;2;6;2;6;6;2;4;0;0;6;2
@alpublichealth;0;0;0;0;0;0;0;0;0;20;10;10;10;4;4;16;6;6;2;4;4;4;4;6;8;2;0;4;4;2;2;0;2;6;2;10;0;14;8;12;12;14;6;2;0;0;12;0;0;2;2;2;6;0;6;10;0;2;2;0;2;4;10;12;2;12;2;2;12;8;2;2;6;4;0;2;0;0;0;0;0;0;0;2;0;4;2;6;0;8;0;0;6;0;2;2;12;0;4;6
order;0;0;0;0;0;0;0;0;0;0;6;2;14;2;0;30;2;8;0;10;14;4;0;6;2;0;0;12;2;4;0;10;4;4;4;0;0;2;2;0;2;2;0;2;4;4;0;4;0;4;0;8;18;0;2;0;0;0;0;10;2;2;2;2;0;0;4;0;0;0;0;8;8;4;0;0;0;0;0;6;2;0;0;6;2;2;0;0;2;0;0;0;2;0;0;2;0;2;0;2
health;0;0;0;0;0;0;0;0;0;0;0;6;14;8;6;4;6;0;6;6;6;0;2;4;4;0;6;6;26;2;4;4;4;6;4;0;2;0;0;0;2;0;2;2;2;0;0;0;0;2;4;0;0;2;4;0;2;0;4;4;2;4;2;0;0;0;2;2;0;0;0;2;4;2;0;0;2;2;0;0;0;0;2;6;0;2;6;4;0;0;0;4;4;0;10;4;0;0;2;0
visit;0;0;0;0;0;0;0;0;0;0;0;0;4;14;12;4;4;6;6;0;0;0;0;2;6;0;2;0;2;4;2;0;4;0;0;0;0;0;0;0;4;0;0;0;2;0;2;0;0;0;2;0;0;4;6;0;2;8;6;2;0;0;0;0;2;0;2;2;4;6;0;0;0;2;0;2;0;12;0;0;0;0;0;0;0;2;2;6;2;8;0;0;0;0;0;2;0;0;2;4
people;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;0;4;10;12;4;0;0;4;2;0;12;4;2;2;4;2;6;4;0;0;0;0;0;0;0;2;4;2;0;0;2;4;6;2;2;6;0;0;0;0;0;4;4;2;2;0;2;0;0;4;0;0;0;2;4;4;0;0;0;0;2;0;2;6;4;2;4;2;0;0;0;4;0;0;2;6;4;0;0;0;4;2;0
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;4;0;0;4;0;4;4;2;2;0;4;6;8;0;0;2;2;0;0;0;0;0;2;0;4;2;0;4;0;2;4;2;0;4;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;2;2;4;0;0;4;6;0;2;2;4;0;2;4;2;0;0;0;4;2;2;0;4;0;0;2;2;4;0;2;0;2
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;0;0;0;2;0;2;2;4;0;4;2;4;0;0;0;0;2;4;0;0;2;0;0;4;2;0;2;4;0;0;0;4;0;0;2;2;0;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;4;2;0;4;0;0;0;2;4;4;0;0;2;2;0;0;0;2;4;0;0;0;0
#saferathome;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;8;10;0;0;6;4;0;0;8;2;2;0;6;2;2;0;0;0;0;0;0;2;0;0;2;8;0;0;6;0;2;0;0;0;0;2;0;0;0;2;6;0;2;2;0;0;0;2;0;0;0;0;2;6;2;0;0;0;2;0;6;2;0;0;6;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
great;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;2;2;2;6;0;0;0;4;2;0;0;0;0;6;0;0;0;4;0;4;0;0;2;0;2;0;0;4;0;0;0;6;4;0;0;2;0;0;2;2;0;2;2;0;2;0;2;2;0;0;0;0;0;2;2;0;2;0;2;0;0;4;2;0;2;0;0;0;0;2;0;2;0;0;0;0;0
