;covid19;arkansas;state;provide;update;ar;live;governor;news;hutchinson;great;health;media;response;students;conference;care;cases;watch;states;weeks;address;thank;holding;public;outbreak;new;work;social;help;radio;arkansans;school;emergency;spread;people;learn;@adhpio;businesses;support;home;education;distancing;good;130pm;continue;business;general;2020;grateful;announced;governors;honor;year;order;service;positive;march;discuss;week;safe;number;guidelines;assembly;line;across;leadership;honored;13;rock;working;dedication;speak;23;little;commend;thanks;important;safety;sunday;nursing;share;individuals;virus;blood;million;33;future;workers;behalf;national;24;testing;hard;lives;part;mitigate;lab;guidance;daily
covid19;0;30;22;58;56;14;36;32;32;32;0;20;32;32;2;32;14;18;30;8;10;12;4;28;10;22;4;8;8;4;6;12;6;8;20;6;4;18;8;8;8;0;6;0;20;4;10;4;0;10;14;2;0;4;6;2;12;0;6;8;6;8;8;2;2;4;2;0;8;4;4;2;2;2;4;6;0;4;4;0;2;2;6;10;2;0;2;2;6;2;6;0;10;6;2;0;12;4;4;8
arkansas;0;0;30;2;0;2;2;4;4;2;8;10;0;6;12;4;2;12;0;14;12;10;16;0;12;6;2;12;0;6;8;2;12;10;8;6;6;6;10;6;6;6;0;4;0;0;6;2;6;0;10;6;8;2;4;6;10;4;6;6;0;4;6;2;4;6;2;2;8;4;4;8;6;0;4;6;0;4;2;0;0;4;6;4;2;0;0;0;2;8;4;0;2;6;0;4;0;0;4;2
state;0;0;0;2;0;16;2;4;0;2;10;8;0;4;6;0;6;10;0;8;8;10;10;0;8;8;4;6;4;14;6;8;6;10;10;6;2;4;2;6;2;6;2;0;0;2;8;4;2;4;4;4;10;4;4;8;8;0;4;4;6;6;4;4;2;10;2;4;2;2;2;4;2;2;2;6;0;4;0;0;4;0;2;8;0;2;0;6;0;6;0;2;6;4;0;0;4;4;4;2
provide;0;0;0;0;60;2;32;30;28;32;0;4;32;30;0;28;2;0;28;0;2;2;0;28;2;0;0;0;0;0;2;0;0;2;0;0;2;0;0;4;0;0;0;0;20;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
update;0;0;0;0;0;0;34;32;28;34;0;0;34;30;0;28;0;0;28;2;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ar;0;0;0;0;0;0;0;0;4;0;4;10;0;2;4;0;6;6;0;0;0;0;0;0;8;2;6;6;2;8;0;2;0;4;4;4;2;4;6;2;4;6;2;4;0;4;4;6;0;0;4;4;0;2;4;0;4;6;0;0;2;6;0;4;0;2;2;6;6;2;4;0;2;0;2;2;2;2;0;0;6;0;2;4;0;4;0;4;2;2;2;2;4;4;0;2;4;2;0;0
live;0;0;0;0;0;0;0;46;2;48;0;0;40;0;0;4;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
governor;0;0;0;0;0;0;0;0;2;44;2;0;34;0;0;2;0;0;0;4;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
news;0;0;0;0;0;0;0;0;0;2;6;0;0;28;0;32;0;2;28;4;0;4;2;28;0;0;2;2;2;0;0;2;0;0;0;0;0;0;4;0;0;2;2;8;20;0;0;0;0;0;2;0;0;0;0;0;0;0;6;0;0;0;2;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0
hutchinson;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
