;colorado;state;covid19;health;coloradans;care;help;people;@ltgovofco;cases;@kerrydonovansd5;positive;money;year;@mccluskieforco;work;update;important;spread;#doingmypartco;live;saving;provide;home;@cdphe;together;coronavirus;order;testing;watch;presumptive;case;#unitedwaychat;resources;family;working;new;tested;public;economy;great;latest;thanks;lab;relief;stay;la;cost;take;individuals;save;1;22;press;energy;march;bipartisan;12;number;community;thank;friends;insurance;#211colorado;protect;stop;proud;page;8;safe;families;taken;additional;safety;future;emergency;#team211;opportunity;address;housing;de;next;free;#covid19colorado;change;reduce;tests;costs;2;life;confirmed;211;states;local;joined;lives;cannabis;co;communities;#colorado
colorado;0;34;34;20;8;10;10;10;6;18;8;20;8;8;6;4;18;6;2;2;12;2;8;4;10;2;12;8;10;12;14;6;0;4;0;8;6;8;8;4;8;8;4;10;4;4;2;2;6;2;4;6;2;8;0;6;2;4;10;0;6;0;0;0;2;4;4;6;2;2;0;2;8;4;2;6;0;4;4;2;2;2;4;2;2;2;8;0;0;4;8;0;2;0;8;0;4;0;0;0
state;0;0;28;10;10;4;10;12;12;16;14;14;6;6;12;2;10;4;6;4;10;2;8;4;12;12;6;8;10;6;10;4;4;6;0;8;10;4;2;4;8;6;2;10;0;0;0;2;0;0;4;4;4;4;4;4;2;4;10;2;4;0;2;0;6;2;0;2;4;2;2;4;4;4;4;4;4;0;6;6;0;0;2;0;0;4;6;2;2;2;4;0;2;4;4;4;2;4;4;2
covid19;0;0;0;12;12;0;12;12;0;26;0;26;0;0;0;2;22;4;18;10;10;0;8;6;14;2;14;10;12;12;16;16;0;0;4;0;6;16;8;2;0;12;0;8;4;4;2;2;0;0;0;6;2;4;0;6;0;6;12;4;2;4;2;0;6;8;0;4;4;2;0;2;6;4;0;6;0;0;2;0;2;0;2;4;0;4;8;0;2;0;8;0;2;0;6;2;0;6;0;0
health;0;0;0;0;22;34;6;14;14;6;12;4;18;10;10;6;4;4;6;4;8;10;6;2;0;6;4;4;0;6;4;4;0;0;2;10;2;2;14;0;4;2;8;0;2;2;0;8;4;2;8;4;0;2;0;2;6;0;0;4;0;2;6;0;6;2;2;4;2;0;0;2;0;8;0;0;0;0;4;4;0;0;2;0;6;2;0;10;0;0;2;0;2;2;8;2;0;0;0;0
coloradans;0;0;0;0;0;14;10;4;8;0;6;2;14;6;6;2;6;2;10;4;4;10;4;2;0;2;4;4;0;6;2;2;0;2;4;2;2;0;6;4;2;4;4;0;6;2;0;2;4;0;4;2;0;4;0;2;2;0;2;0;0;2;4;0;10;4;4;2;0;2;4;2;0;4;0;2;0;0;2;0;0;2;0;0;0;2;0;4;2;0;0;0;0;0;0;6;0;0;0;0
care;0;0;0;0;0;0;4;10;14;0;12;0;20;10;10;4;0;0;0;0;2;10;2;0;0;2;0;0;0;0;0;0;0;0;0;8;0;0;2;0;4;0;6;0;2;0;0;8;0;0;6;2;0;0;0;0;6;0;0;0;2;0;2;0;0;0;4;0;2;0;0;2;0;0;0;0;0;0;2;4;0;0;2;0;6;0;0;10;0;0;0;0;2;0;0;0;0;0;0;0
help;0;0;0;0;0;0;0;2;2;2;2;0;2;4;2;2;4;2;6;6;2;0;4;6;0;2;2;0;2;4;0;2;6;4;4;2;4;2;0;2;0;2;0;0;4;2;0;4;0;4;2;0;2;2;4;0;0;0;4;2;0;2;2;4;4;4;4;0;0;4;2;2;2;0;0;2;4;0;2;4;0;2;2;2;0;2;0;2;0;2;0;2;2;2;0;0;2;2;2;2
people;0;0;0;0;0;0;0;0;8;8;8;8;8;0;6;2;0;2;0;2;6;6;4;0;4;0;2;0;6;0;2;6;2;0;0;2;2;8;2;0;4;4;2;4;2;0;0;8;0;0;2;6;4;2;2;2;2;0;2;0;0;0;4;2;0;0;0;0;4;2;0;0;0;0;2;0;0;2;0;0;0;0;2;0;6;2;4;2;4;0;0;2;0;2;0;0;0;4;2;0
@ltgovofco;0;0;0;0;0;0;0;0;0;0;30;0;8;6;30;4;0;2;0;0;0;6;2;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;2;2;0;0;6;0;2;0;0;2;0;0;0;0;0;0;4;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;4;0;0;2;0;0;0;2;0;0;6;2;0;8;0;0;0;0;4;2;0;0;0;0;0;0
cases;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;14;2;2;0;2;0;4;2;10;0;8;0;6;4;12;10;0;0;0;0;6;8;4;0;0;8;0;6;0;2;0;0;0;0;0;6;0;2;0;4;0;4;8;0;0;0;0;0;0;0;0;2;4;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;8;0;0;0;4;0;0;6;0;0
