;#waleg;wa;@careerconnectwa;@paidleavewa;state;people;@kpwashington;@seiu1199nw;work;climate;washingtonians;thanks;washington;clean;year;best;help;fight;homelessness;leadership;thank;new;continue;gun;protect;family;energy;leaders;change;proud;stand;students;country;forward;health;world;justice;created;statement;working;@washingtonea;care;communities;workers;big;issue;success;lets;give;grateful;history;vaping;fuel;trump;economy;next;statewide;act;making;americans;skilled;live;nation;full;steps;resources;joined;office;program;local;safety;border;support;together;career;honored;response;trudi;legislative;place;address;action;national;great;congratulations;ban;standard;deserve;@cair_wa;aerospace;bring;toward;@cbp;simply;single;2020;partnerships;taking;commonsense;paid
#waleg;0;26;50;50;20;24;34;34;16;8;12;6;18;8;12;14;6;8;16;4;6;6;2;6;6;4;2;6;2;4;4;4;4;6;4;4;0;12;0;6;12;8;2;6;8;2;4;8;6;2;2;6;6;0;2;10;4;2;0;0;4;6;6;0;2;4;8;0;4;0;0;0;2;8;6;0;4;6;6;6;6;4;2;2;2;2;6;6;8;2;4;0;0;6;4;4;4;0;4;2
wa;0;0;6;2;22;10;2;2;10;8;8;12;0;8;2;8;8;12;0;4;2;4;10;6;6;2;4;4;6;6;8;6;4;6;2;6;4;2;2;4;8;2;0;6;0;4;4;4;2;6;4;0;6;4;4;2;2;2;4;4;4;0;6;0;4;0;6;2;2;2;4;0;4;2;4;6;0;4;0;2;0;2;2;0;4;4;4;6;4;2;2;0;4;0;0;2;2;4;4;2
@careerconnectwa;0;0;0;50;10;10;38;38;10;2;6;8;18;6;4;10;2;0;10;2;0;4;0;2;0;0;2;0;0;0;0;8;2;0;4;4;0;10;0;0;0;8;2;4;8;0;8;4;2;0;0;2;4;0;4;6;4;0;2;0;6;2;4;0;0;2;0;0;2;0;2;0;2;4;6;0;4;0;0;4;4;2;0;0;0;0;4;0;0;4;2;0;0;4;4;0;6;0;2;0
@paidleavewa;0;0;0;0;8;12;36;36;8;2;4;0;20;6;6;10;2;0;10;0;0;8;0;2;0;6;2;0;0;0;0;2;4;0;2;4;0;12;0;0;0;8;2;2;8;0;4;4;2;0;0;2;4;0;0;6;2;0;0;0;2;2;2;0;0;2;0;0;6;0;2;0;0;4;4;0;4;0;0;4;4;2;0;2;0;0;4;0;0;2;2;0;0;4;4;4;4;0;2;6
state;0;0;0;0;0;6;4;4;8;8;4;4;6;2;4;8;6;0;0;6;2;4;6;0;2;2;0;2;4;2;2;4;6;0;2;2;2;2;4;0;4;0;4;2;2;2;2;2;4;6;0;0;2;2;2;0;0;0;2;4;2;2;4;0;2;0;0;0;0;4;2;0;4;2;4;6;0;2;2;0;4;6;4;2;4;2;2;0;2;0;0;2;2;0;0;4;2;2;0;2
people;0;0;0;0;0;0;8;8;4;2;0;2;6;2;0;4;4;4;6;4;2;2;0;0;4;4;2;4;0;2;2;0;2;2;0;2;0;4;2;4;4;6;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;2;0;2;0;0;2;4;2;2;2;0;0;0;2;0;2;2;0;0;2;2;0;0;0;0;0;2;0;0;4;0;2;2;2;4;0;0;0;2;0;2
@kpwashington;0;0;0;0;0;0;0;38;10;2;4;2;8;4;4;2;2;0;10;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;4;2;0;8;0;6;4;2;0;0;2;4;0;0;6;4;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;2;2;0;4;0;0;4;4;2;0;0;0;0;4;0;0;0;2;0;0;4;2;0;6;0;2;0
@seiu1199nw;0;0;0;0;0;0;0;0;10;2;4;2;8;4;4;2;2;0;10;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;4;2;0;8;0;6;4;2;0;0;2;4;0;0;6;4;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;2;2;0;4;0;0;4;4;2;0;0;0;0;4;0;0;0;2;0;0;4;2;0;6;0;2;0
work;0;0;0;0;0;0;0;0;0;0;12;2;4;2;4;6;0;0;2;0;4;0;4;2;4;0;0;0;0;4;2;0;2;2;2;2;2;0;2;0;0;0;4;0;0;0;2;6;2;0;2;0;2;0;0;2;2;2;0;2;0;2;2;0;0;0;0;0;0;2;4;0;0;6;0;0;0;2;2;4;0;0;2;2;2;2;2;0;0;0;0;2;0;0;4;4;2;0;0;0
climate;0;0;0;0;0;0;0;0;0;0;0;4;2;6;2;0;4;12;0;10;6;0;4;0;2;0;4;2;14;2;0;0;0;2;0;2;0;0;2;2;0;0;0;0;2;4;0;0;2;4;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;6;2;0;0;0;2;0;0;0;0;6;0;0;0;0;0;2;0;0
