;utah;state;utahns;public;health;continue;grateful;work;face;use;risk;next;data;utahs;days;legislature;economic;meet;coverings;green;executive;national;safety;return;safe;please;session;service;downturn;cases;special;states;social;yellow;mask;protect;wearing;dc;spread;low;call;due;guidance;distancing;hope;high;called;4;heroic;lake;possible;july;follow;could;hygiene;leadership;community;urge;country;common;conditions;status;tomorrow;place;fire;address;review;recovery;fiscal;1st;order;actions;practice;salt;proud;water;effort;civil;guard;lt;however;department;sense;multicultural;volume;numerous;law;revenue;funding;appreciate;rest;across;extreme;guidelines;employment;lets;offers;hospital;normal;#staystrong
utah;0;4;6;0;6;4;8;4;4;4;4;2;4;6;6;2;0;0;4;4;2;6;2;4;4;4;2;6;0;6;2;2;0;0;0;2;2;6;2;4;2;0;0;0;2;2;6;2;0;2;0;0;0;4;2;0;4;2;4;0;2;4;4;2;2;2;0;4;0;2;2;4;2;2;4;2;0;4;6;2;2;2;0;0;2;4;2;0;0;2;2;2;2;0;2;4;4;2;0;4
state;0;0;0;6;4;2;6;4;2;2;2;4;2;2;2;4;4;2;0;0;6;2;6;4;2;0;4;0;2;0;4;2;2;4;2;0;2;2;0;2;4;2;4;0;0;0;2;0;0;2;0;6;0;0;0;2;0;0;0;0;0;2;0;2;0;4;0;0;4;0;4;0;0;2;2;0;0;2;2;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0
utahns;0;0;0;4;2;6;0;2;6;6;0;0;4;0;0;0;4;0;6;0;0;0;2;2;0;4;0;0;4;2;0;2;4;0;0;2;0;0;4;0;0;0;2;4;4;2;0;2;0;0;2;0;4;2;4;0;0;6;2;2;0;0;0;2;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;2;4;0;0;0;0;0;0;0;2;4;0;2;2;2;2
public;0;0;0;0;4;2;0;0;2;2;0;0;2;2;0;0;0;0;2;0;2;0;6;0;0;2;0;0;2;0;0;0;2;0;2;2;2;0;2;0;0;0;2;2;0;0;0;0;0;0;2;2;6;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0
health;0;0;0;0;0;4;0;0;2;2;4;0;2;2;4;0;2;0;2;4;2;0;0;0;0;4;0;0;2;2;0;2;0;4;0;4;0;0;0;4;0;2;6;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;2;0;4;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
continue;0;0;0;0;0;0;0;2;4;2;2;2;4;2;2;0;0;2;4;0;0;0;0;2;2;2;0;0;2;0;0;0;2;2;0;0;2;0;0;0;0;2;4;2;0;0;0;0;0;0;0;0;2;0;4;0;0;2;2;0;0;2;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;2;2;0;2;2;2
grateful;0;0;0;0;0;0;0;4;2;0;0;0;0;0;2;2;0;2;0;0;0;2;0;2;2;0;2;6;0;0;2;2;2;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;2;0;0;0
work;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;2;0;0;0;0;0;0;0;2;2;0;2;0;0;2;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;2;0;0;0;0;0
face;0;0;0;0;0;0;0;0;0;6;2;0;2;4;0;2;0;0;10;0;0;0;0;2;2;4;2;0;0;2;2;0;6;0;0;4;2;0;4;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;6;0;0;6;0;4;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;4;0;2;0;2;2;4
use;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;6;2;0;0;2;2;0;2;0;0;0;4;0;0;4;0;0;2;0;0;4;2;0;2;0;4;0;0;0;0;0;0;0;0;0;0;4;0;2;6;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;4;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2
risk;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;2;2;4;2;0;0;0;2;2;0;0;0;0;0;2;0;4;0;0;2;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;6;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2
next;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;4;0;0;2;0;0;0;0;0;2;0;2;2;2;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;2;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
data;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;0;2;0;4;0;0;2;2;2;0;0;0;0;0;2;2;0;0;0;0;2;0;2;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2
utahs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;4;2;0;0;0;0;2;2;2;0;2;2;2;0;0;2;0;2;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;2;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;2;0;2;0;2;0;2
days;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;2;0;2;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
legislature;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;6;0;2;0;6;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;2;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
economic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;6;0;2;4;0;2;0;0;0;0;0;2;2;2;2;0;2;2;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;4;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;2;0;0;0;0;0;2;0;0;0;0;0
meet;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;2;0;2;0;0;2;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;2;0;2;0;0;0;2;0;0;2;0;0;0;2;0;0;2;4;0;2;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0
coverings;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;0;0;2;0;0;4;0;0;4;2;0;4;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;6;0;0;6;0;4;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;4;0;2;0;2;2;4
