;trump;united;states;great;new;people;news;department;president;federal;russia;government;justice;man;best;presidential;american;police;life;vote;job;latest;house;working;country;court;2016;following;company;left;proud;history;trial;supreme;nation;york;general;thank;health;foundation;campaign;administration;nations;fire;quickly;help;fbi;arrested;thing;media;article;trying;support;continue;decision;times;thomas;interest;wild;state;democrats;prices;free;response;jeff;wounded;love;dr;web;security;good;money;change;chicago;russian;interview;strong;episode;released;considering;statements;responders;colluded;head;executive;america;human;washington;director;asked;combination;full;system;michigan;2017;approved;senate;crime;story;secretary
trump;0;10;10;4;6;0;4;6;10;0;8;2;4;0;0;6;2;0;2;2;0;0;4;0;2;0;8;2;0;2;0;2;0;0;0;4;2;0;0;0;8;4;0;0;0;4;2;0;2;4;0;2;2;0;0;4;2;0;0;2;4;0;0;0;2;0;0;0;0;2;2;0;0;0;0;2;0;0;2;4;0;0;6;0;2;2;2;4;0;0;0;2;0;0;0;0;0;0;2;0
united;0;0;24;2;6;4;0;2;4;8;4;6;0;2;0;2;2;0;0;2;0;0;2;0;4;2;2;2;0;2;0;0;0;2;0;0;4;0;0;0;2;2;6;0;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;2;0;0;0;0;6;0;2;0;0;0;2;0;0;0;2;0;2;2;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2
states;0;0;0;2;6;4;0;2;4;8;4;6;0;0;0;2;0;0;0;2;0;0;2;0;4;2;2;2;0;2;0;0;0;2;0;0;4;0;0;0;2;2;2;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;6;0;2;0;0;0;0;0;0;0;2;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2
great;0;0;0;0;6;0;2;4;4;0;2;2;0;0;2;0;2;2;0;0;4;0;0;0;4;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0;2;0;2;0;2;0;0;0;2;0;2;0;0;2;0;0;0;0;0;4;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0
new;0;0;0;0;0;2;2;2;4;0;2;0;0;0;2;0;0;2;2;2;0;0;0;0;4;2;0;0;0;0;0;0;2;2;0;8;2;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;6;2;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;2;2;2;0;2;0;2;0;0;0;0;0;0;0;0;4;0
people;0;0;0;0;0;0;2;0;0;4;0;6;0;0;0;0;4;0;0;2;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;2;2;0;2;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;2;0
news;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;2;0;0;2;2;0;4;4;0;0;0;2;2;0;2;0;4;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;4;0;0;0;2;2;0;0;0
department;0;0;0;0;0;0;0;0;0;0;4;0;8;0;2;4;2;2;0;0;0;0;2;2;0;0;6;0;2;0;0;0;0;0;2;2;0;0;2;0;4;0;0;0;0;2;4;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
president;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;4;0;0;0;4;0;0;2;0;0;0;2;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;4;2;0;2;0;0;0;2;2;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;2;2;0;0;0;0;2;0;0;0;0;0;2;0;0
federal;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;4;0;0;0;0
