;coronavirus;covid19;visit;dc;districts;live;district;march;home;positive;captions;delivery;stream;response;new;learn;information;update;health;#fitdc;cases;2;offering;stay;1;case;spread;bringing;continue;workouts;4;help;public;data;includes;providing;3;residents;please;columbia;overall;students;government;support;monday;briefing;10;local;emergency;kids;together;learning;join;seniors;share;ready;schools;community;watch;federal;operations;order;9;stop;work;people;takeout;services;st;provide;move;essential;april;6;additional;call;business;distance;2020;#stayhomedc;gatherings;5;thank;tuesday;energy;operating;germs;700;bring;thread;sites;businesses;fund;burn;use;family;follow;carryout;16;available
coronavirus;0;138;76;36;70;48;56;44;2;42;54;8;50;48;40;36;30;50;10;0;50;0;0;16;14;44;20;36;16;0;12;8;6;40;38;32;2;4;22;16;36;0;10;12;12;24;6;8;4;0;8;0;24;2;6;0;0;4;18;4;6;8;8;4;6;4;0;4;0;18;0;4;0;2;10;12;4;0;0;0;4;2;4;6;0;2;6;20;0;6;0;2;6;0;2;2;0;0;8;0
covid19;0;0;58;26;60;42;50;44;6;42;36;0;32;32;36;38;34;30;14;0;42;10;0;6;18;44;20;36;8;0;12;4;10;38;36;30;2;6;12;16;36;0;8;2;10;6;6;2;10;0;10;0;10;2;4;0;0;10;0;4;8;8;4;2;6;6;0;6;0;6;0;4;0;4;8;8;6;0;0;0;4;2;2;6;0;2;0;20;0;4;2;6;4;0;2;4;0;0;8;0
visit;0;0;0;6;38;52;46;12;14;8;68;2;68;32;8;38;32;48;2;14;18;2;2;6;0;10;10;6;2;14;18;10;4;8;8;32;0;6;20;6;6;2;0;2;4;24;0;4;4;6;2;0;14;12;14;8;0;0;18;0;4;6;4;10;2;0;0;0;0;14;8;2;2;2;2;6;6;0;2;0;2;0;2;2;0;2;8;2;8;0;0;2;0;0;2;2;0;0;0;6
dc;0;0;0;0;8;2;20;14;12;4;0;16;0;16;4;8;6;0;18;0;6;18;0;16;12;2;14;0;18;0;6;2;20;2;0;4;4;10;8;10;0;8;14;8;10;2;2;10;6;0;4;8;4;0;4;4;10;4;4;2;8;6;0;4;6;6;2;6;0;4;0;6;4;4;6;2;4;8;4;4;6;0;4;6;0;8;4;0;0;8;2;4;6;0;4;2;2;0;8;4
districts;0;0;0;0;0;4;6;42;0;38;16;0;16;42;40;2;26;16;6;0;38;6;0;2;6;36;0;36;2;0;14;0;4;40;38;0;0;2;6;4;36;0;4;0;10;16;2;2;6;0;2;4;18;0;0;0;2;2;16;0;6;2;6;0;2;0;0;2;0;16;0;0;6;2;8;2;0;4;2;0;2;4;2;4;0;4;0;20;0;2;0;2;6;0;2;0;2;0;4;0
live;0;0;0;0;0;0;34;2;44;4;58;2;56;2;2;26;0;30;4;46;8;2;0;2;0;6;0;0;0;42;2;2;4;0;0;32;2;2;10;4;0;0;0;0;0;6;0;0;0;22;0;0;10;24;0;22;2;2;2;2;0;0;2;0;4;0;0;0;0;0;22;0;0;2;0;4;2;0;2;0;0;0;2;0;16;0;0;0;20;0;0;0;0;16;0;0;10;0;0;0
district;0;0;0;0;0;0;0;6;2;2;32;2;32;6;4;40;4;30;2;0;10;2;2;8;12;2;12;4;4;0;2;4;4;0;0;32;2;12;4;32;0;6;14;4;4;0;8;2;6;0;6;4;2;0;6;0;4;0;4;6;8;4;4;6;12;0;0;4;0;4;0;4;8;0;0;0;4;2;4;0;4;2;6;4;0;8;6;0;0;6;4;4;2;0;2;0;0;2;4;2
march;0;0;0;0;0;0;0;0;0;38;2;0;2;2;38;4;20;2;4;0;36;4;0;0;10;36;4;36;4;0;6;0;4;40;38;0;4;0;4;4;36;12;4;0;26;2;6;0;2;0;0;2;0;0;0;0;6;0;0;0;4;4;6;0;2;0;0;4;2;2;0;4;8;2;0;0;0;4;6;0;2;0;0;16;2;4;0;20;0;6;4;0;0;0;0;0;0;0;14;2
home;0;0;0;0;0;0;0;0;0;0;14;0;14;0;0;0;0;0;4;46;2;4;0;18;4;0;6;0;2;44;0;4;2;0;0;0;4;6;0;2;0;0;0;0;0;0;0;0;0;24;2;2;2;20;8;22;0;6;2;0;0;2;2;4;0;4;0;0;0;0;22;2;0;0;0;0;0;4;0;12;2;2;0;0;18;0;0;0;20;0;0;0;0;18;4;2;12;0;0;0
positive;0;0;0;0;0;0;0;0;0;0;2;0;2;0;36;0;16;2;4;0;34;0;0;0;4;40;0;36;0;0;2;0;2;38;36;2;0;0;2;2;36;0;0;0;6;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;20;0;0;0;0;0;0;0;0;0;0;4;0
captions;0;0;0;0;0;0;0;0;0;0;0;0;70;14;0;26;0;44;0;14;8;0;0;0;0;2;0;0;0;14;6;0;0;0;0;32;2;0;8;4;0;0;0;0;0;20;0;0;0;6;0;0;14;8;0;8;0;2;18;0;0;0;2;0;0;0;0;0;0;14;8;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0
delivery;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;2;36;8;4;0;0;4;10;0;2;0;0;0;0;2;8;0;6;2;0;0;0;12;0;0;10;18;0;0;0;0;2;0;0;0;0;2;0;0;0;4;6;0;0;0;18;0;0;0;0;0;0;6;0;0;6;0;0;0;0;4;0;0;0;2;0;0;0;6;0;2;0;0;2;0;0;16;0;4
