;new;state;nh;hampshire;granite;#603pride;ensure;todays;year;great;launch;live;human;christa;funding;week;ahead;remain;month;education;sports;executive;potential;administration;trade;best;clean;hampshires;home;job;council;work;services;thanks;tax;law;thank;vigilant;@wbznightside;betting;trafficking;department;future;hero;big;economy;legislature;place;individuals;meeting;king;possible;awesome;later;agreement;public;dad;serve;remember;reflect;news;strengthen;community;across;nhs;energy;enforcement;governors;health;martin;success;lori;million;remains;nation;democrats;take;commerce;system;forward;incredibly;support;order;booming;access;#usmca;help;next;upon;free;@patriots;signed;night;dr;lead;pleased;win;bills;cold;lives
new;0;12;12;34;12;8;6;4;6;8;0;6;4;0;4;6;4;2;4;6;6;4;0;4;2;6;4;10;2;4;2;4;4;2;2;2;0;2;2;4;2;4;4;2;2;4;0;4;4;2;0;0;2;0;2;2;0;2;0;0;2;0;2;4;4;2;2;4;4;0;2;4;4;2;4;0;2;4;4;2;2;2;4;2;4;2;2;0;0;2;4;4;2;0;4;0;4;2;2;2
state;0;0;12;8;16;6;2;6;4;2;4;2;6;4;2;6;4;4;8;4;4;4;6;2;4;4;0;2;2;4;4;4;2;0;2;2;0;8;0;2;4;2;2;4;2;4;0;4;2;4;0;2;0;2;4;4;2;2;2;2;6;2;0;2;2;0;0;0;2;0;4;2;2;6;2;0;0;0;2;2;0;0;2;0;4;4;2;0;0;2;0;2;0;0;2;6;0;0;0;2
nh;0;0;0;2;10;4;6;4;2;2;2;2;0;2;6;4;4;2;6;8;6;6;4;4;4;4;4;2;2;2;4;2;2;2;2;4;2;0;0;4;0;0;0;4;6;2;2;4;4;4;2;2;0;0;4;6;0;2;0;2;2;2;0;4;0;2;2;2;2;2;2;0;4;0;0;4;0;0;2;2;0;2;4;2;4;4;2;0;2;2;2;4;0;2;2;4;4;2;0;2
hampshire;0;0;0;0;8;6;0;2;2;8;0;6;4;0;0;2;4;2;2;2;2;0;0;2;0;6;2;2;0;4;0;4;2;0;2;2;0;2;2;2;2;4;4;2;0;0;0;4;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;4;0;2;4;2;0;0;4;0;2;4;0;0;2;4;2;2;0;0;0;2;0;2;0;0;2;2;0;0;0;4;0;2;0;2;0
granite;0;0;0;0;0;6;2;6;0;4;0;4;2;0;0;4;4;2;4;4;4;4;2;0;4;2;2;2;0;2;4;6;0;0;2;6;2;2;2;2;2;0;4;2;4;4;2;2;2;2;0;2;2;0;4;4;0;2;2;0;4;2;0;4;0;0;4;0;0;0;2;0;2;2;4;0;0;2;4;2;2;2;2;0;2;4;4;0;0;4;0;2;0;0;2;4;2;2;0;2
#603pride;0;0;0;0;0;0;0;4;4;0;2;6;0;2;0;0;2;0;2;0;0;2;2;0;0;6;0;2;0;0;2;6;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;4;4;0;0;0;0;0;0;0;2;0;0;0;0;4;4;0;0;2;0;0;0;0;0;0;2;2;0;0;2;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0
ensure;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;4;0;2;0;2;0;4;0;2;4;2;0;6;0;0;4;0;0;2;0;0;0;0;0;0;0;2;0;0;0;4;0;0;2;2;0;2;0;0;4;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;4;4;0;0;4;0;0;0;2;0;4;2;0;0;0;0;2;0;2
todays;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;2;2;0;0;6;2;0;2;0;0;4;0;0;6;2;0;2;0;0;0;2;0;0;2;0;0;0;2;2;0;0;2;4;2;0;0;0;2;0;0;2;0;2;2;0;2;2;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;2;0;2;0;0;2;2;2;0;4;0;0;0;0
year;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;2;2;0;0;2;0;2;0;2;0;2;0;2;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;2;0;2;2;0;0;0;2;0;0;2;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0
great;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;4;0;0;2;4;2;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
launch;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;2;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;2;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0
