;trump;president;great;united;people;states;new;american;house;government;federal;news;national;administration;state;obama;white;world;country;man;democrats;republican;working;york;media;department;party;fbi;thank;best;big;donald;campaign;court;election;washington;help;job;russia;senate;former;fake;history;police;bill;good;may;security;article;congress;americans;justice;love;2016;city;year;military;america;left;trying;committee;law;hard;story;presidential;times;support;supreme;called;china;released;million;night;thing;work;clinton;post;hillary;russian;proud;senator;think;nothing;another;act;investigation;killed;win;money;political;radical;war;week;team;important;end;following;take;announce;reserve
trump;0;1672;388;338;368;326;406;218;436;146;232;336;208;516;146;204;330;52;150;88;192;256;136;180;200;132;126;312;54;44;126;850;534;90;246;234;94;116;302;140;178;180;94;40;98;78;142;110;72;122;86;146;54;200;38;48;68;74;90;114;148;90;88;90;232;138;64;60;124;82;104;56;100;88;36;126;110;134;150;30;56;64;90;66;68;146;38;86;60;108;72;40;82;46;56;80;52;40;20;36
president;0;0;434;674;414;630;312;284;460;136;180;300;234;168;146;356;358;88;204;108;148;150;142;138;180;96;102;232;60;56;112;344;176;94;178;174;98;158;194;144;238;174;142;42;112;100;110;130;46;130;82;122;62;138;30;58;94;102;76;96;102;94;90;60;128;106;56;68;118;96;90;38;104;92;56;82;78;76;126;48;58;72;66;70;80;132;44;78;40;102;58;66;62;46;96;82;42;38;32;48
great;0;0;0;324;588;324;330;434;176;102;116;228;146;100;282;86;130;126;280;150;134;180;172;104;102;50;102;34;264;148;168;114;60;46;90;88;98;318;28;94;34;78;108;28;86;132;30;44;44;72;96;34;214;46;60;94;124;228;66;74;22;50;138;78;58;50;118;38;58;68;16;40;112;96;156;40;28;32;16;134;154;92;70;90;52;16;28;106;50;52;68;36;36;88;76;50;20;70;76;46
united;0;0;0;0;436;2900;190;204;154;250;126;114;132;206;190;140;126;268;256;58;72;64;114;64;68;78;62;38;92;62;66;96;44;124;72;74;108;68;110;106;46;42;138;24;70;58;64;116;40;68;70;68;54;52;42;86;158;216;46;56;36;76;52;36;60;42;96;92;74;154;50;84;32;58;48;36;30;34;66;66;38;50;32;50;70;30;54;44;40;78;62;124;32;14;70;58;58;58;58;28
people;0;0;0;0;0;430;288;718;158;220;166;176;162;158;178;118;134;192;214;122;118;118;156;106;148;90;112;90;118;124;110;76;88;68;96;96;116;104;54;70;66;102;94;64;68;116;70;90;54;90;60;88;112;48;80;62;74;94;66;96;50;88;100;52;40;46;96;54;70;46;46;120;46;70;100;48;46;52;32;78;58;78;82;64;74;26;168;68;78;78;44;38;52;38;68;74;56;64;42;48
states;0;0;0;0;0;0;198;198;146;254;164;116;130;206;204;140;114;254;242;58;76;56;126;60;62;74;58;42;84;70;68;84;44;156;70;72;128;64;102;110;38;42;120;34;76;62;72;104;40;66;64;70;52;50;36;92;150;222;48;68;32;82;54;36;62;36;98;120;74;134;50;92;24;50;52;38;28;32;64;64;42;42;36;48;82;32;56;42;50;68;58;114;28;14;68;56;54;58;54;32
new;0;0;0;0;0;0;0;148;126;138;138;184;162;160;204;148;102;86;66;72;82;112;86;1012;78;114;104;84;72;86;102;122;106;64;54;100;96;80;60;62;102;70;60;42;88;76;60;66;110;64;106;68;70;44;178;76;44;64;58;54;40;32;58;92;58;464;28;38;96;42;122;62;48;56;48;84;110;76;30;66;68;56;46;58;38;42;30;50;52;40;44;36;78;48;38;42;54;38;84;34
american;0;0;0;0;0;0;0;0;116;86;98;90;110;154;50;136;66;80;102;66;106;82;78;48;64;68;72;58;72;66;68;38;52;66;66;64;62;46;42;50;36;52;162;20;46;38;36;42;44;116;62;72;46;28;26;52;68;68;54;54;44;52;46;58;38;34;58;50;46;42;30;38;24;38;36;38;48;36;24;54;30;26;48;42;82;14;30;62;26;78;46;48;22;18;50;44;48;34;46;32
house;0;0;0;0;0;0;0;0;0;108;64;164;88;110;56;130;1072;34;50;42;156;86;102;44;52;54;58;90;78;30;60;84;88;22;82;86;50;52;84;180;100;56;36;18;186;40;48;52;24;66;34;44;22;64;26;28;40;46;66;42;186;42;52;36;38;48;34;18;44;18;82;40;60;34;28;34;36;26;74;18;28;10;32;58;66;52;22;46;24;28;40;12;34;22;24;40;22;32;32;4
government;0;0;0;0;0;0;0;0;0;0;536;74;76;104;102;72;50;68;74;20;54;28;118;24;62;68;50;38;24;36;40;28;38;88;50;36;98;50;38;50;28;34;40;18;92;40;54;72;18;56;60;54;2;36;28;40;34;18;24;34;32;60;28;8;32;16;60;62;36;22;36;92;12;16;36;16;14;6;86;12;16;26;34;26;54;18;24;14;74;24;16;28;32;16;36;28;16;32;18;16
