;city;housing;toronto;health;public;community;work;new;supportive;coronavirus;supervised;torontos;crisis;staff;homelessness;use;take;building;affordable;response;consumption;music;update;airbnb;rental;drugs;sites;support;citys;next;working;risk;venues;overdose;site;overdoses;week;act;government;year;committee;officer;join;levels;remains;drug;diy;low;case;lives;recent;people;provincial;good;council;prevent;platforms;confirmed;comply;residents;team;still;part;budget;end;medical;contact;strong;16;safe;ensure;important;outbreak;artists;latest;spaces;stand;save;actively;build;details;planning;number;rules;free;cityplace;critical;services;requires;units;regulations;police;islands;waterfront;covid19;street;program;shortterm;supply;million
city;0;24;16;4;4;8;6;12;12;2;2;6;10;12;6;4;10;8;8;4;2;8;0;8;8;0;2;8;8;10;4;2;8;2;2;0;2;2;10;6;8;0;8;6;0;0;6;2;0;0;0;0;6;2;10;0;6;2;8;2;2;0;2;6;2;0;0;0;0;2;0;2;0;4;0;6;4;2;0;4;0;0;2;4;2;4;4;2;2;6;8;2;2;0;0;0;6;6;0;4
housing;0;0;6;0;2;6;2;14;22;0;0;2;10;4;14;2;6;10;10;0;0;0;0;8;6;0;0;0;10;8;0;0;0;0;2;0;0;8;2;4;6;0;2;2;0;0;0;0;0;0;0;2;0;2;6;2;4;0;8;2;0;0;4;4;8;0;0;0;0;2;2;0;0;0;2;0;0;0;0;2;0;4;0;6;0;4;4;0;0;8;6;0;0;0;0;0;2;4;0;0
toronto;0;0;0;26;26;8;10;12;4;18;6;8;6;12;6;6;4;4;2;8;6;4;10;4;0;4;4;4;2;2;8;10;2;0;4;6;0;6;2;4;4;6;0;6;10;4;4;8;10;0;6;0;4;0;2;6;0;6;0;4;8;4;4;0;6;6;8;4;0;2;6;6;6;4;0;2;0;0;8;2;0;0;4;2;0;4;0;4;0;0;0;4;8;4;8;0;4;2;4;0
health;0;0;0;0;34;4;8;4;0;24;12;10;2;8;0;2;4;0;0;10;10;0;10;0;0;6;8;0;2;0;8;12;0;4;6;8;0;2;4;2;2;12;2;2;10;6;0;10;10;2;8;2;6;0;0;6;0;8;0;4;8;0;2;2;0;10;6;2;2;4;4;2;6;0;2;0;0;2;6;0;0;0;6;0;0;0;0;4;4;0;0;0;0;0;8;0;0;0;8;2
public;0;0;0;0;0;4;8;6;2;20;8;6;2;8;0;4;4;2;2;10;8;0;8;0;0;6;4;0;2;0;8;8;0;4;4;6;0;2;4;2;2;6;2;2;6;4;0;6;10;0;6;2;4;0;0;6;0;8;0;0;8;0;2;2;0;4;6;2;0;4;4;2;6;0;2;0;0;0;6;0;0;0;6;0;0;0;0;2;4;0;0;0;0;0;8;0;0;0;6;2
community;0;0;0;0;0;0;4;4;2;4;2;6;4;2;0;2;2;4;2;8;2;2;4;4;2;0;0;4;4;2;2;2;2;2;6;0;6;0;0;0;0;2;0;0;2;0;2;2;0;0;0;0;2;2;2;2;0;0;4;6;0;0;4;0;0;2;0;0;0;2;0;4;2;6;4;0;0;0;0;0;2;2;0;2;0;2;0;2;0;2;2;4;0;0;0;2;4;0;0;0
work;0;0;0;0;0;0;0;4;0;6;2;0;0;2;2;2;0;4;2;6;2;0;0;0;0;0;0;0;0;2;4;2;0;0;2;4;2;2;4;0;0;0;0;4;2;4;0;2;0;2;0;0;0;0;0;4;0;0;0;2;2;2;0;0;2;0;0;2;0;4;2;2;4;2;0;0;0;2;0;0;4;0;0;0;0;0;4;0;2;0;0;0;2;2;0;2;0;0;2;2
new;0;0;0;0;0;0;0;0;10;2;2;2;2;4;6;2;2;8;6;2;2;0;2;2;2;0;2;0;2;6;0;0;0;0;2;2;0;4;4;4;0;0;0;2;0;2;0;0;2;0;0;0;2;0;4;0;2;2;2;2;4;0;0;2;4;0;2;0;0;2;2;2;0;2;2;0;0;0;2;2;0;0;2;0;0;4;4;0;0;6;2;0;0;0;0;0;0;2;2;0
supportive;0;0;0;0;0;0;0;0;0;0;0;0;4;4;12;2;6;6;2;0;0;0;0;0;0;0;0;0;2;6;0;0;0;0;0;0;0;6;2;4;0;0;0;2;0;0;0;0;0;0;0;2;0;0;4;2;0;0;0;0;0;0;4;2;6;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;0;0;0;0;0;0;0;0;0;0
coronavirus;0;0;0;0;0;0;0;0;0;0;0;10;0;4;0;0;2;0;0;6;0;0;8;0;0;0;0;0;0;0;8;10;0;0;0;0;0;0;2;0;0;10;0;2;10;0;0;10;10;0;6;2;4;0;0;6;0;6;0;4;6;0;0;0;0;8;6;2;0;2;4;2;6;0;2;0;0;0;6;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;8;0;0;0;0;0
