;north;covid19;dakota;nd;testing;state;ct;education;learn;330;todays;work;public;@nddoh;free;thanks;events;weeks;join;dakotans;holte;@ndnationalguard;honor;care;officer;local;protect;future;press;safe;celebration;family;dakotas;summit;federal;longterm;across;citizens;help;june;grand;national;innovative;governors;grateful;appointment;cases;congratulations;visitation;forks;details;fargo;briefing;health;facilities;calling;staff;july;lives;save;year;team;approach;bismarck;recovery;register;minot;tomorrow;rider;cody;available;award;rough;6;working;ticket;recognition;happy;ensure;country;less;rest;registration;soon;@lamoureuxtwins;week;place;change;#ndsmart;funding;safety;grant;incredibly;capitol;renew;efforts;equality;month;courage;peace
north;0;4;14;4;0;2;0;4;4;0;0;2;0;0;4;2;0;2;2;8;0;0;4;2;0;2;0;6;0;4;4;0;6;4;4;2;4;4;2;0;2;2;4;2;0;2;4;4;0;2;4;0;0;0;2;4;0;2;0;0;4;0;2;0;2;4;0;0;4;0;0;4;4;2;2;4;2;0;2;0;4;0;0;0;4;2;2;2;2;2;0;0;0;0;2;2;4;4;0;0
covid19;0;0;4;8;8;2;10;0;2;8;8;2;4;6;4;2;4;6;6;0;0;4;0;2;0;2;2;0;6;2;0;0;0;0;4;2;0;2;2;2;2;2;0;0;0;0;4;0;0;2;2;2;6;2;2;0;2;0;0;0;2;4;2;4;4;0;4;2;0;0;2;0;0;2;2;0;0;0;2;0;0;2;0;2;0;2;0;0;2;4;0;2;0;4;0;2;0;0;0;0
dakota;0;0;0;2;0;0;0;4;2;0;0;0;0;0;4;2;0;4;2;2;0;0;0;2;0;2;0;4;0;4;2;0;0;4;2;2;2;4;2;0;0;2;4;2;0;0;4;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;2;0;2;4;0;0;0;0;0;0;0;0;2;4;2;0;2;0;4;0;0;0;0;0;0;0;2;2;0;0;0;0;2;2;2;4;0;0
nd;0;0;0;0;4;0;0;0;2;0;0;4;2;4;0;2;2;0;0;0;0;4;0;2;0;2;2;0;0;2;0;0;2;0;6;2;0;2;2;0;0;4;0;0;2;2;2;2;0;0;2;0;0;2;2;0;2;0;0;0;0;2;0;0;4;0;0;0;0;0;2;0;0;0;2;0;2;0;2;0;0;2;0;0;0;0;0;0;0;4;0;2;2;0;0;2;0;0;0;0
testing;0;0;0;0;0;2;0;0;0;0;2;2;6;6;4;4;6;0;0;0;0;4;0;2;0;4;2;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;2;0;0;2;0;2;0;4;2;0;2;0;0;0;0;2;0;4;0;0;4;2;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0
state;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;2;2;0;0;2;4;0;4;0;4;0;0;0;0;0;0;2;0;0;0;0;4;2;0;2;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;2;0;4;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;4;2;0;0;0;2;0;0;2;0;0;2;0;2;2
ct;0;0;0;0;0;0;0;0;0;8;6;0;0;0;0;0;0;4;6;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
education;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;2;0;4;0;2;0;0;0;6;0;0;0;0;0;0;0;2;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0
learn;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;2;2;0;0;0;2;0;2;0;0;0;0;2;0;2;2;0;4;0;2;0;0;0
330;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
