;trump;new;president;people;states;united;american;great;house;state;administration;government;national;white;senator;bill;media;super;republican;man;party;taking;history;tuesday;obama;military;presidential;help;video;clinton;country;york;radical;act;fbi;hillary;federal;nothing;human;best;james;trying;poll;law;sunday;china;biggest;decision;conservative;released;support;political;rights;democrats;investigating;thank;fantasy;free;article;sanctions;voters;real;vets;stop;border;news;israel;iran;continue;announce;americans;show;left;bowl;comey;working;post;signed;final;amazing;following;commission;believe;number;former;night;world;days;war;senate;move;un;line;campaign;talk;department;fired;clear;thing;big
trump;0;6;20;0;2;2;2;2;4;2;4;2;4;2;4;4;2;0;0;2;2;4;2;2;0;2;0;0;0;2;4;0;0;4;6;2;2;2;0;0;4;0;4;4;4;2;2;2;4;2;2;0;2;0;2;0;0;0;0;0;4;0;0;0;2;0;0;0;0;2;2;2;0;0;4;0;2;2;0;0;2;0;4;0;2;2;2;0;2;2;0;0;2;0;2;0;2;0;2;0
new;0;0;4;2;0;0;2;0;0;2;0;2;0;0;2;6;4;0;2;0;4;2;0;0;0;0;2;2;2;2;0;6;2;0;2;0;0;0;0;4;0;4;4;0;2;2;2;0;2;2;0;2;0;2;2;0;2;2;2;0;2;2;0;0;0;2;0;0;0;2;0;0;2;0;0;4;0;2;2;6;0;0;0;2;0;2;0;0;2;4;2;0;2;2;0;0;0;2;0;0
president;0;0;0;2;4;4;4;6;8;0;0;0;4;4;0;2;0;0;0;2;2;4;2;2;0;2;2;0;0;2;6;0;0;4;6;2;0;0;0;0;4;0;2;2;4;0;2;4;4;2;2;2;2;0;2;0;0;0;0;0;2;0;0;2;2;0;2;0;2;2;0;2;0;0;4;0;0;0;0;0;2;0;4;0;0;2;0;0;0;0;0;0;2;2;2;0;2;2;0;0
people;0;0;0;0;6;4;6;4;0;2;4;0;2;0;0;0;0;0;0;0;0;2;0;0;4;0;0;2;2;0;0;0;2;2;0;0;2;2;0;2;0;0;0;2;2;0;2;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0
states;0;0;0;0;0;18;2;2;2;2;6;2;0;2;2;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;2;2;0;0;2;2;2;0;0;0;0;0;2;2;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0
united;0;0;0;0;0;0;2;4;2;2;4;2;0;2;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
american;0;0;0;0;0;0;0;4;2;0;2;0;4;2;0;0;0;0;0;0;0;0;2;0;2;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;4;4;0;0;2;2;0;0;0;0;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2
great;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;0;0;0;0;0;0;2;2;0;2;4;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0
house;0;0;0;0;0;0;0;0;0;0;2;2;0;12;0;2;2;0;0;0;0;4;0;2;2;0;0;0;0;0;2;0;0;4;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;2;2;0;2;0;0;0;2;0;0;0;0;0;2;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;2;0;2;2;2
state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;4;0;2;4;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0
