;#covid19;new;state;june;granite;million;guidance;hampshire;thread;provide;businesses;nh;staters;may;program;fund;relief;help;care;ensure;across;funding;able;days;capacity;test;15;press;live;click;announced;grants;services;business;work;main;conference;3;street;update;holding;together;health;final;peaceful;29;coming;submission;kids;thanks;support;100;continue;decisions;weeks;spread;child;july;announcing;grant;application;week;order;additional;hope;eligible;accordance;facilities;due;tunein;effective;complete;law;asymptomatic;assistance;#603pride;funds;programs;data;#caresact;children;took;important;unemployment;50;thank;service;selfemployed;22;seen;system;public;march;emergency;allow;number;next;youll;request;6
#covid19;0;22;12;2;16;8;0;12;10;28;0;6;14;0;10;2;0;6;8;12;2;12;2;10;2;14;2;22;16;14;2;4;8;6;0;0;22;20;0;20;20;8;10;0;0;0;8;0;4;4;10;4;0;4;8;10;0;0;6;0;0;2;4;6;12;4;0;4;12;14;0;0;0;10;0;2;4;2;8;4;4;8;0;6;0;4;4;2;4;8;0;2;2;6;2;2;4;12;8;0
new;0;0;14;18;12;12;18;48;10;6;8;2;4;16;0;8;8;12;4;4;6;8;2;8;0;2;8;2;2;0;6;2;6;2;2;8;2;2;8;0;0;6;4;0;0;10;4;0;6;2;10;6;0;2;4;2;2;0;6;2;0;0;2;2;0;2;10;4;2;2;2;0;2;0;0;6;4;2;4;4;8;4;0;2;0;6;2;4;0;4;2;2;4;4;2;2;2;0;2;2
state;0;0;0;0;20;8;0;12;6;4;10;8;6;2;6;8;6;2;4;6;14;4;4;2;2;2;0;0;2;2;4;2;2;2;2;4;0;0;4;0;0;0;2;0;4;0;2;0;0;0;0;4;0;4;4;4;0;0;2;0;0;0;4;0;0;2;0;4;2;0;0;0;2;2;4;4;2;0;0;2;2;0;2;0;2;4;4;0;4;0;2;4;2;2;2;2;0;0;2;0
june;0;0;0;0;0;0;32;2;4;2;4;2;0;24;2;4;4;0;2;2;0;0;10;2;10;0;18;2;0;4;4;2;2;2;0;4;2;2;4;0;0;0;0;8;0;18;0;8;0;0;0;4;0;0;4;0;0;2;0;8;6;10;6;2;0;4;16;6;0;2;0;8;0;0;0;0;2;0;2;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;4;0;6;0;0;2
granite;0;0;0;0;0;10;0;12;6;4;4;2;32;0;4;8;6;4;2;12;4;2;4;2;0;4;2;0;4;0;2;0;4;0;4;4;0;0;4;0;0;4;4;0;2;0;2;0;0;4;4;4;2;2;4;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;6;2;0;2;2;0;2;4;0;2;0;4;2;0;4;0;2;2;0;0;0;0;0;4;2
million;0;0;0;0;0;0;0;10;10;8;6;2;8;2;0;8;6;4;10;6;8;8;2;2;0;0;4;0;0;0;8;4;6;0;4;4;0;0;4;0;0;0;6;0;0;0;0;0;4;0;4;2;2;0;2;0;4;0;6;0;0;0;0;4;0;2;0;2;4;0;0;0;0;0;2;2;4;8;0;8;2;0;0;2;2;0;4;0;2;0;4;0;4;2;0;2;2;0;0;2
guidance;0;0;0;0;0;0;0;0;2;2;0;0;0;22;0;0;0;0;2;0;0;0;6;2;10;0;10;0;0;8;4;0;2;0;0;0;0;0;0;2;0;0;2;0;0;16;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;8;0;2;0;0;16;2;0;0;6;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;4;0;6;0;0;2
hampshire;0;0;0;0;0;0;0;0;8;4;8;2;4;0;0;8;8;10;2;2;6;2;2;6;0;2;2;2;2;0;0;2;0;2;2;8;2;2;8;0;0;4;0;0;0;0;4;0;4;2;6;6;0;2;4;0;2;0;4;2;0;0;2;2;0;2;0;0;2;2;0;0;0;0;0;6;0;0;4;2;4;2;0;2;0;6;2;4;0;4;2;2;2;0;2;2;0;0;2;0
thread;0;0;0;0;0;0;0;0;0;4;2;4;6;4;2;10;8;2;6;4;4;6;2;6;0;0;4;0;0;0;8;4;4;0;0;6;0;0;6;0;0;2;0;4;4;0;2;2;2;0;4;2;4;4;2;0;2;4;4;2;2;2;0;2;0;0;0;0;2;0;2;0;0;0;0;0;2;2;2;6;2;2;2;0;0;2;0;2;0;4;4;0;2;2;0;0;0;0;0;4
provide;0;0;0;0;0;0;0;0;0;0;2;6;2;0;2;2;4;4;0;2;4;4;0;6;0;0;0;20;10;12;2;0;6;0;4;0;20;18;0;20;20;2;4;0;0;0;8;0;4;0;4;2;2;0;0;0;0;2;0;0;0;0;2;4;6;0;0;0;2;8;2;0;0;0;4;0;6;6;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;6;0;0
