;covid19;district;home;coronavirus;districts;live;positive;reported;residents;dc;visit;workouts;april;new;#fitdc;1;#stayhomedc;2;lives;stay;bringing;2020;health;case;cases;overall;includes;data;additional;related;lost;due;deaths;bring;learn;female;move;kids;along;seniors;follow;3;ready;energy;response;burn;captions;care;call;social;stream;5;community;4;distancing;tragically;8;share;continue;male;ward;housing;6;send;park;blurb;public;together;join;order;food;update;family;year;sites;digital@dcgov;work;providing;tune;briefing;million;working;may;help;schedule;essential;friday;12;services;workers;information;monday;medical;brooks;grocery;10;save;homelessness;city;15
covid19;0;86;4;140;72;36;56;102;60;24;34;0;60;56;0;42;20;38;52;0;56;56;14;56;56;56;52;56;46;52;48;50;48;0;38;24;0;0;0;0;0;6;0;0;32;0;34;2;4;6;32;10;4;8;6;26;4;0;2;12;0;0;6;2;0;0;14;4;8;4;4;18;0;0;2;0;0;16;18;18;2;4;2;6;0;8;10;6;0;4;0;8;2;2;6;6;2;0;0;10
district;0;0;4;40;4;26;4;46;50;6;28;0;6;6;0;6;6;40;46;4;4;2;4;4;4;6;0;4;44;46;46;46;40;0;26;22;0;0;0;0;0;6;0;0;14;0;26;4;0;2;26;2;0;4;2;24;2;0;0;10;2;2;0;0;0;0;2;2;2;0;0;16;4;2;6;0;4;18;10;10;6;2;2;0;2;0;0;4;4;0;0;0;0;4;0;0;0;4;0;8
home;0;0;0;2;2;84;0;0;10;14;2;84;0;0;84;6;16;6;6;38;0;0;2;0;0;0;0;0;0;0;0;0;0;42;0;0;42;42;42;42;42;4;42;40;2;40;0;0;0;10;0;4;0;2;10;0;0;12;4;0;2;0;4;10;2;20;2;0;0;4;0;0;4;12;0;18;2;0;0;0;0;0;4;2;0;10;0;0;0;0;2;0;0;2;2;0;2;0;4;0
coronavirus;0;0;0;0;74;34;56;56;12;20;32;0;56;58;0;44;22;4;0;0;56;54;16;56;56;56;52;54;0;6;0;2;6;0;38;0;0;0;0;0;0;2;0;0;32;0;36;2;10;2;32;10;8;6;2;2;4;0;2;0;0;0;4;2;0;0;14;2;8;6;2;16;0;0;2;0;0;16;18;18;0;2;4;4;0;4;8;2;0;4;2;8;2;2;4;6;0;0;0;4
districts;0;0;0;0;0;8;56;56;4;10;10;0;56;58;0;36;12;6;0;2;56;54;2;56;56;56;54;54;0;6;0;2;6;0;12;0;0;0;0;0;0;0;0;0;22;0;6;0;2;2;6;4;2;6;2;2;4;0;0;0;0;0;6;0;0;0;6;0;0;4;2;4;0;0;0;0;0;0;8;4;0;0;2;0;0;2;10;2;0;2;6;10;0;0;0;4;0;2;0;4
live;0;0;0;0;0;0;0;0;0;12;36;84;0;2;84;2;8;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;34;0;42;40;42;42;42;0;42;40;14;40;36;0;2;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;6;0;0;20;0;0;0;0;0;16;0;16;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0
positive;0;0;0;0;0;0;0;56;2;4;0;0;56;56;0;34;0;4;0;0;56;54;0;56;56;56;52;54;0;6;0;2;6;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;2;4;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;0;0;8;0;0;0;2;0;0;0;4
reported;0;0;0;0;0;0;0;0;46;6;0;0;56;56;0;34;0;36;44;0;56;54;0;56;56;56;52;54;46;52;44;46;48;0;6;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;22;4;0;0;12;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;6;0;0;0;8;0;0;0;2;0;0;0;10
residents;0;0;0;0;0;0;0;0;0;18;6;0;4;4;0;10;4;34;54;2;2;2;12;2;4;2;2;4;44;44;50;50;42;2;0;22;0;0;0;0;0;10;0;0;2;0;0;6;6;8;0;8;2;4;8;28;4;0;10;10;0;0;4;4;2;0;6;4;0;6;4;0;0;0;2;0;2;2;0;0;0;2;4;0;0;12;0;4;2;0;6;0;8;4;4;0;2;0;0;6
dc;0;0;0;0;0;0;0;0;0;0;8;0;8;4;0;10;6;12;8;14;4;6;18;6;4;6;4;4;4;4;4;4;6;0;4;0;2;0;0;0;0;8;0;0;4;0;6;10;4;6;4;10;2;8;6;2;6;6;2;0;0;4;4;8;2;10;6;4;6;2;0;2;4;4;4;10;6;4;0;2;4;0;0;6;2;2;8;2;6;6;2;2;8;4;4;4;4;4;4;0
