kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_junYTD,freq_junYTD,kw_q1,freq_q1,kw_q2,freq_q2,kw_q2YTD,freq_q2YTD
reduction,2,legislation,3,priority,4,force,5,national,4,ppe,3,local,15,helping,6,distancing,10,local,15
aerospace,2,together,3,leaders,4,providing,5,freedom,4,lives,3,pandemic,15,part,6,safety,10,pandemic,15
across,2,bureaucracy,3,22,4,census,5,frontlines,4,deliver,3,fellow,15,support,6,lives,10,fellow,15
steps,2,line,3,proud,4,beds,5,virus,4,testing,3,best,15,line,6,honor,10,best,15
job,2,directly,3,meet,4,vulnerable,5,90000,4,june,3,remain,15,quickly,6,yesterday,10,remain,15
25,2,teaching,3,support,4,next,5,3,4,safe,3,food,15,issued,6,proactive,10,food,15
appreciate,2,decision,3,economic,4,federal,5,responders,4,relief,3,decisions,15,life,6,secretary,10,decisions,15
important,2,tribes,3,10,4,responders,5,lives,4,opportunity,3,virus,15,loved,6,virus,10,virus,15
dedicated,2,budget,3,measures,4,fund,5,nation,4,partner,3,national,14,remains,6,cities,9,national,14
joined,2,5,3,owners,4,based,5,next,4,statewide,3,providing,14,kids,6,spread,9,providing,14
enjoyed,2,fiscal,3,risk,4,updates,4,capita,3,communities,3,impact,14,2020,6,forward,9,impact,14
